seat_number,seat_name,winner_name,winner_party,winner_votes,runner_name,runner_party,runner_votes
49,Naogaon 4,Ikramul Bari Tipu,Bangladesh Nationalist Party (BNP),133924,Md. Abdur Rakib,Bangladesh Jamaat-e-Islami (Jamaat),97585
50,Naogaon 5,Md. Zahidul Islam Dhulu,Bangladesh Nationalist Party (BNP),129385,Abu Sadat Md. Sayem,Bangladesh Jamaat-e-Islami (Jamaat),104747
51,Naogaon 6,Sheikh Md. Rezaul Islam,Bangladesh Nationalist Party (BNP),108866,Md. Khabirul Islam,Bangladesh Jamaat-e-Islami (Jamaat),97629
52,Rajshahi 1,Md. Mujibur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),171786,Md. Sharif Uddin,Bangladesh Nationalist Party (BNP),169902
53,Rajshahi 2,Md. Mizanur Rahman Minu,Bangladesh Nationalist Party (BNP),128546,Mohammad Jahangir,Bangladesh Jamaat-e-Islami (Jamaat),100370
54,Rajshahi 3,Mohammad Shafiqul Haque Milon,Bangladesh Nationalist Party (BNP),176318,Md. Abul Kalam Azad,Bangladesh Jamaat-e-Islami (Jamaat),137927
55,Rajshahi 4,Md. Abdul Bari Sardar,Bangladesh Jamaat-e-Islami (Jamaat),115226,"D, M, D Ziaur Rahman",Bangladesh Nationalist Party (BNP),109461
56,Rajshahi 5,Professor Nazrul Islam,Bangladesh Nationalist Party (BNP),153425,Manzoor Rahman,Bangladesh Jamaat-e-Islami (Jamaat),73445
57,Rajshahi 6,Md. Abu Said Chand,Bangladesh Nationalist Party (BNP),148672,Md. Nazmul Haque,Bangladesh Jamaat-e-Islami (Jamaat),92965
58,Natore 1,Farzana Sharmin,Bangladesh Nationalist Party (BNP),102726,Md. Abul Kalam Azad,Bangladesh Jamaat-e-Islami (Jamaat),90568
59,Natore 2,"M, Ruhul Quddus Talukdar Dulu",Bangladesh Nationalist Party (BNP),162841,Md Yunus Ali,Bangladesh Jamaat-e-Islami (Jamaat),130066
60,Natore 3,Md. Anwarul Islam,Bangladesh Nationalist Party (BNP),119768,Md Daudar Mahmud,Independent Candidate (Independent),66492
61,Natore 4,Md. Abdul Aziz,Bangladesh Nationalist Party (BNP),170551,Md. Abdul Hakim,Bangladesh Jamaat-e-Islami (Jamaat),135386
62,Sirajganj 1,Md. Salim Reza,Bangladesh Nationalist Party (BNP),116613,Md. Shahinur Alam,Bangladesh Jamaat-e-Islami (Jamaat),108815
63,Sirajganj 2,Iqbal Hasan Mahmud,Bangladesh Nationalist Party (BNP),176638,Muhammad Zahidul Islam,Bangladesh Jamaat-e-Islami (Jamaat),136595
64,Sirajganj 3,Md. Aynul Haque,Bangladesh Nationalist Party (BNP),174430,Muha: Abdur Rauf Sarkar,Bangladesh Khelafat Majlish (BKM),116802
