seat_name,division,district,total_voters,male_voters,female_voters,hijra_voters,total_votes,top_three_candidates,top_three,bnp_votes,bnp_ratio,jamaat_votes,jamaat_ratio,democracy_platform_votes,democracy_platform_ratio,eleven_party_alliance_votes,eleven_party_alliance_ratio,bnp_alliance_votes,bnp_alliance_ratio,bnp_vs_eleven_party_alliance_votes,bnp_vs_eleven_party_alliance_ratio,Amar Bangladesh Party (AB),Bangladesh Congress,Bangladesh Development Party (BDP),Bangladesh Islami Front (BIF),Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jatiya Party (BJP),Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Bangladesh Khelafat Andolon (BKA),Bangladesh Khelafat Majlish (BKM),Bangladesh Liberal Democratic Party (LDP),Bangladesh Muslim League (BML),Bangladesh Nationalist Front (BNF),Bangladesh Nationalist Party (BNP),Bangladesh Republican Party (BRP),Bangladesh Samajtantrik Dal (Basad),Bangladesh Sangskritik Muktijote (BSM),Communist Party of Bangladesh (CPB),Ganosanhati Andolan (GSA),Gono Odhikar Parishad (GOP),Independent Candidate (Independent),Insaniyat Biplob Bangladesh (IBB),Islami Andolan Bangladesh (IAB),Islamic Front Bangladesh (IFB),Jamiat Ulema-e-Islam Bangladesh (JUIB),Janotar Dol,Jatiya Party (JaPa),Jatiya Party (Manju) (JP–Manju),Khelafat Majlis,National Citizen Party (NCP),Revolutionary Workers Party of Bangladesh (RWPB)
Bhola 3,Barishal,Bhola,388550.0,200497.0,188050.0,3.0,203341.0,"Hafiz Uddin Ahmed (Bangladesh Nationalist Party (BNP)) 71.8%, Md. Nizamul Haque (Bangladesh Development Party (BDP)) 28.2%","Bangladesh Nationalist Party (BNP) (71.8%), Bangladesh Development Party (BDP) (28.2%)",145990.0,0.7179565360650336,0.0,0.0,0.0,0.0,57351.0,0.2820434639349664,145990.0,0.7179565360650336,0.0,0.0,-,-,57351.0,-,-,-,-,-,-,-,-,-,145990.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bhola 4,Barishal,Bhola,502026.0,262843.0,239176.0,7.0,270788.0,"Md. Nurul Islam (Bangladesh Nationalist Party (BNP)) 69.9%, Md. Mustafa Kamal (Bangladesh Jamaat-e-Islami (Jamaat)) 30.1%","Bangladesh Nationalist Party (BNP) (69.9%), Bangladesh Jamaat-e-Islami (Jamaat) (30.1%)",189351.0,0.6992591990782457,81437.0,0.3007408009217543,0.0,0.0,81437.0,0.3007408009217543,189351.0,0.6992591990782457,0.0,0.0,-,-,-,-,81437.0,-,-,-,-,-,-,-,189351.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bogura 1,Rajshahi,Bogura,376019.0,186388.0,189626.0,5.0,229399.0,"Kazi Rafiqul Islam (Bangladesh Nationalist Party (BNP)) 74.7%, Md. Shahabuddin (Bangladesh Jamaat-e-Islami (Jamaat)) 25.3%","Bangladesh Nationalist Party (BNP) (74.7%), Bangladesh Jamaat-e-Islami (Jamaat) (25.3%)",171440.0,0.7473441470974154,57959.0,0.2526558529025846,0.0,0.0,57959.0,0.2526558529025846,171440.0,0.7473441470974154,0.0,0.0,-,-,-,-,57959.0,-,-,-,-,-,-,-,171440.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bogura 2,Rajshahi,Bogura,342155.0,171497.0,170653.0,5.0,238572.0,"Mir Shah Alam (Bangladesh Nationalist Party (BNP)) 60.8%, Abul Azad Md. Shahaduzzaman (Bangladesh Jamaat-e-Islami (Jamaat)) 39.2%","Bangladesh Nationalist Party (BNP) (60.8%), Bangladesh Jamaat-e-Islami (Jamaat) (39.2%)",145024.0,0.6078835739315595,93548.0,0.39211642606844055,0.0,0.0,93548.0,0.39211642606844055,145024.0,0.6078835739315595,0.0,0.0,-,-,-,-,93548.0,-,-,-,-,-,-,-,145024.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bogura 3,Rajshahi,Bogura,339181.0,169347.0,169831.0,3.0,238432.0,"Md. Abdul Mohit Talukder (Bangladesh Nationalist Party (BNP)) 53.4%, Md. Noor Md. (Bangladesh Jamaat-e-Islami (Jamaat)) 46.6%","Bangladesh Nationalist Party (BNP) (53.4%), Bangladesh Jamaat-e-Islami (Jamaat) (46.6%)",127406.0,0.5343494161857468,111026.0,0.4656505838142531,0.0,0.0,111026.0,0.4656505838142531,127406.0,0.5343494161857468,0.0,0.0,-,-,-,-,111026.0,-,-,-,-,-,-,-,127406.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bogura 4,Rajshahi,Bogura,359523.0,178985.0,180530.0,8.0,264317.0,"Md. Mosharraf Hossain (Bangladesh Nationalist Party (BNP)) 58.8%, Md. Mustafa Faisal (Bangladesh Jamaat-e-Islami (Jamaat)) 41.2%","Bangladesh Nationalist Party (BNP) (58.8%), Bangladesh Jamaat-e-Islami (Jamaat) (41.2%)",155339.0,0.5876996182614058,108978.0,0.4123003817385942,0.0,0.0,108978.0,0.4123003817385942,155339.0,0.5876996182614058,0.0,0.0,-,-,-,-,108978.0,-,-,-,-,-,-,-,155339.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bogura 5,Rajshahi,Bogura,572340.0,281287.0,291047.0,6.0,392170.0,"Gulam Md. Siraj (Bangladesh Nationalist Party (BNP)) 63.5%, Md. Dabibur Rahman (Bangladesh Jamaat-e-Islami (Jamaat)) 36.5%","Bangladesh Nationalist Party (BNP) (63.5%), Bangladesh Jamaat-e-Islami (Jamaat) (36.5%)",248841.0,0.6345232934696687,143329.0,0.3654767065303312,0.0,0.0,143329.0,0.3654767065303312,248841.0,0.6345232934696687,0.0,0.0,-,-,-,-,143329.0,-,-,-,-,-,-,-,248841.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bogura 6,Rajshahi,Bogura,454043.0,222796.0,231237.0,10.0,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bogura 7,Rajshahi,Bogura,538092.0,270070.0,268017.0,5.0,158196.0,Morshed Milton (Bangladesh Nationalist Party (BNP)) 100.0%,Bangladesh Nationalist Party (BNP) (100.0%),158196.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,158196.0,1.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,158196.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brahmanbaria 1,Chattogram,Brahmanbaria,275629.0,146269.0,129357.0,3.0,146825.0,"M. A. Hannan (Bangladesh Nationalist Party (BNP)) 46.4%, A. K. M. Kamruzzaman (Independent Candidate (Independent)) 24.0%, A. K. M. Aminul Islam (Bangladesh Jamaat-e-Islami (Jamaat)) 16.6%","Bangladesh Nationalist Party (BNP) (46.4%), Independent Candidate (Independent) (24.0%), Bangladesh Jamaat-e-Islami (Jamaat) (16.6%)",68092.0,0.4637629831431977,24430.0,0.166388557806913,0.0,0.0,24430.0,0.166388557806913,68092.0,0.4637629831431977,0.0,0.0,-,-,-,-,24430.0,-,-,-,-,-,-,-,68092.0,-,-,-,-,-,-,106.0,139.0,907.0,-,-,-,265.0,-,-,-,-
