seat_name,division,district,party,candidate,votes
Bhola 3,Barisal,Bhola,Bangladesh Development Party (BDP),Md. Nizamul Haque,57351.0
Bhola 4,Barisal,Bhola,Nationalist Democratic Movement (NDM),Abul Kalam,-
Bhola 4,Barisal,Bhola,Islami Andolan Bangladesh (IAB),Abul Mukarram Md. Kamal Uddin,-
Bhola 4,Barisal,Bhola,Amjanatar Dol,Md. Jalal Uddin Rumi,-
Bhola 4,Barisal,Bhola,Jatiya Party (JaPa),Md. Mizanur Rahman,-
Bhola 4,Barisal,Bhola,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Mustafa Kamal,81437.0
Bhola 4,Barisal,Bhola,Bangladesh Nationalist Party (BNP),Mohammad Nurul Islam,189351.0
Bhola 4,Barisal,Bhola,Independent Candidate (Independent),Muhammad Rafiqul Islam,-
Bogura 1,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),A. B. M. Mustafa Kemal Pasha,-
Bogura 1,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Kazi Rafiqul Islam,171440.0
Bogura 1,Rajshahi,Bogura,Bangladesh Congress,Md. Asadul Haque,-
Bogura 1,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahabuddin,57959.0
Bogura 1,Rajshahi,Bogura,Gono Forum (GF),Md. Zulfiqar Ali,-
Bogura 2,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Abul Azad Mohammad Shahaduzzaman,93548.0
Bogura 2,Rajshahi,Bogura,Nagorik Oikya (NO),Mahmudur Rahman Manna,-
Bogura 2,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Md. Jamal Uddin,-
Bogura 2,Rajshahi,Bogura,Independent Candidate (Independent),Md. Rezaul Karim Talu,-
Bogura 2,Rajshahi,Bogura,Gono Odhikar Parishad (GOP),Md. Selim Sarkar,-
Bogura 2,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Mir Shah Alam,145024.0
Bogura 2,Rajshahi,Bogura,Jatiya Party (JaPa),Shariful Islam Jinnah,-
Bogura 3,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Md. Abdul Mohit Talukder,127406.0
Bogura 3,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Noor Mohammad,111026.0
Bogura 3,Rajshahi,Bogura,Jatiya Party (JaPa),Md. Shahinul Islam,-
Bogura 3,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Md. Shahjahan Ali Talukder,-
Bogura 4,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Md. Idris Ali,-
Bogura 4,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Md. Mosharraf Hossain,155339.0
Bogura 4,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mustafa Faisal,108978.0
Bogura 4,Rajshahi,Bogura,Jatiya Party (JaPa),Shahin Mustafa Kamal,-
Bogura 5,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Gulam Mohammad Siraj,248841.0
Bogura 5,Rajshahi,Bogura,Bangladesh Liberal Democratic Party (LDP),Khan Qudrat-E-Saqlain,-
Bogura 5,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Dabibur Rahman,143329.0
Bogura 5,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Mir Md. Mahmudur Rahman,-
Bogura 5,Rajshahi,Bogura,Communist Party of Bangladesh (CPB),Shipan Kumar Ravidas,-
Bogura 6,Rajshahi,Bogura,Jatiya Samajtantrik Dal-JASAD,Abdullah Al-Waqi,-
Bogura 6,Rajshahi,Bogura,Islami Andolan Bangladesh (IAB),Abu Numan Md. Mamunur Rashid,-
Bogura 6,Rajshahi,Bogura,Bangladesh Samajtantrik Dal (Basad),Dilruba,-
Bogura 6,Rajshahi,Bogura,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abidur Rahman,-
Bogura 6,Rajshahi,Bogura,Bangladesh Nationalist Party (BNP),Tarique Rahman,-
Bogura 7,Rajshahi,Bogura,Bangladesh Muslim League (BML),Md. Ansar Ali,-
