seat_name,division,district,party,candidate,votes
Dhaka 8,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Kafait Ullah,-
Dhaka 8,Dhaka,Dhaka,Janotar Dol,Md. Golam Sarwar,-
Dhaka 8,Dhaka,Dhaka,Bangladesh Sangskritik Muktijote (BSM),Md. Rasel Kabir,-
Dhaka 8,Dhaka,Dhaka,Jatiya Party (JaPa),Md. Zuber Alam Khan,-
Dhaka 8,Dhaka,Dhaka,Gono Odhikar Parishad (GOP),Meghna Alam,-
Dhaka 8,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Mirza Abbas Uddin Ahmed,59366.0
Dhaka 8,Dhaka,Dhaka,National Citizen Party (NCP),Muhammad Nasiruddin Patwary,54127.0
Dhaka 8,Dhaka,Dhaka,Bangladesh Islami Front (BIF),S. M. Sarwar,-
Dhaka 8,Dhaka,Dhaka,Communist Party of Bangladesh (CPB),Tridip Kumar Saha,-
Dhaka 9,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Habibur Rashid,111212.0
Dhaka 9,Dhaka,Dhaka,Jatiya Party (JaPa),Kazi Abul Khair,-
Dhaka 9,Dhaka,Dhaka,Socialist Party of Bangladesh (Marxist) (SPB-M),Khandoker Mizanur Rahman,-
Dhaka 9,Dhaka,Dhaka,Bangladesh Muslim League (BML),Masud Hossain,-
Dhaka 9,Dhaka,Dhaka,Communist Party of Bangladesh (CPB),Md. Moniruzzaman,-
Dhaka 9,Dhaka,Dhaka,National Citizen Party (NCP),Mohammad Javed Mia,53460.0
Dhaka 9,Dhaka,Dhaka,Bangladesh Nationalist Front (BNF),Mohammad Shafi Ullah Chowdhury,-
Dhaka 9,Dhaka,Dhaka,Insaniyat Biplob Bangladesh (IBB),Nahid Hasan Chowdhury Jonayed,-
Dhaka 9,Dhaka,Dhaka,Gono Forum (GF),Nazma Akhter,-
Dhaka 9,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Shah Iftekhar Ahsan,-
Dhaka 9,Dhaka,Dhaka,National People's Party (NPP),Shaheen Khan,-
Dhaka 9,Dhaka,Dhaka,Independent Candidate (Independent),Tasneem Jara,-
Dhaka 10,Dhaka,Dhaka,Bangladesh Labour Party,Abul Kalam Azad,-
Dhaka 10,Dhaka,Dhaka,Jatiya Party (JaPa),Banhi Bepari,-
Dhaka 10,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Md. Abdul Awal,-
Dhaka 10,Dhaka,Dhaka,Bangladesh Republican Party (BRP),Md. Abu Hanif Redoy,-
Dhaka 10,Dhaka,Dhaka,Bangladesh Sangskritik Muktijote (BSM),Md. Anisur Rahman,-
Dhaka 10,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Md. Jashim Uddin Sarker,77136.0
Dhaka 10,Dhaka,Dhaka,Janotar Dol,Md. Zakir Hossain,-
Dhaka 10,Dhaka,Dhaka,Amar Bangladesh Party (AB),Nasreen Sultana,-
Dhaka 10,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Shaikh Rabiul Alam,80436.0
Dhaka 11,Dhaka,Dhaka,Bangladesh Sangskritik Muktijote (BSM),Kazi Md. Shahidullah,-
Dhaka 11,Dhaka,Dhaka,Independent Candidate (Independent),Kohinoor Akter Bithi,-
Dhaka 11,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),M. A. Quayum,91833.0
Dhaka 11,Dhaka,Dhaka,Gono Forum (GF),Md. Abdul Kader,-
Dhaka 11,Dhaka,Dhaka,Gono Odhikar Parishad (GOP),Md. Arifur Rahman,-
Dhaka 11,Dhaka,Dhaka,National People's Party (NPP),Md. Mizanur Rahman,-
Dhaka 11,Dhaka,Dhaka,National Citizen Party (NCP),Md. Nahid Islam,93872.0
Dhaka 11,Dhaka,Dhaka,Bangladesh Republican Party (BRP),Md. Zakir Hossain,-
Dhaka 11,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Shake Md. Fazlay Bari Masud,-
Dhaka 11,Dhaka,Dhaka,Jatiya Party (JaPa),Shameem Ahmed,-
Dhaka 12,Dhaka,Dhaka,Gono Odhikar Parishad (GOP),Abul Bashar Chowdhury,-
Dhaka 12,Dhaka,Dhaka,Janotar Dol,Farid Ahmed,-
Dhaka 12,Dhaka,Dhaka,Communist Party of Bangladesh (CPB),Kallol Banik,-
Dhaka 12,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Mahamudul Hasan,-
Dhaka 12,Dhaka,Dhaka,Bangladesh Jatiya Party (BJP),Md Nayem Hasan,-
Dhaka 12,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Md. Saiful Alam,53773.0
Dhaka 12,Dhaka,Dhaka,Amjanatar Dol,Md. Tarek Rahman,-
Dhaka 12,Dhaka,Dhaka,Bangladesh Islami Front (BIF),Mohammad Shahjalal,-
Dhaka 12,Dhaka,Dhaka,Nationalist Democratic Movement (NDM),Mominul Amin,-
Dhaka 12,Dhaka,Dhaka,Insaniyat Biplob Bangladesh (IBB),Mst Salma Akhter,-
Dhaka 12,Dhaka,Dhaka,Bangladesh Sangskritik Muktijote (BSM),Muntasir Mahmud,-
Dhaka 12,Dhaka,Dhaka,Independent Candidate (Independent),Saiful Alam Nirob,-
Dhaka 12,Dhaka,Dhaka,Revolutionary Workers Party of Bangladesh (RWPB),Saiful Haq,30963.0
Dhaka 12,Dhaka,Dhaka,Jatiya Party (JaPa),Sarker Mohammad Salauddin,-
Dhaka 12,Dhaka,Dhaka,Ganosanhati Andolan (GSA),Taslima Akhter,-
Dhaka 13,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Bobby Hajjaj,88387.0
Dhaka 13,Dhaka,Dhaka,Insaniyat Biplob Bangladesh (IBB),Fatema Akhter Monia,-
Dhaka 13,Dhaka,Dhaka,Bangladesh Khelafat Majlish (BKM),Md Mamunul Haque,86067.0
Dhaka 13,Dhaka,Dhaka,Bangladesh Samajtantrik Dal (Basad),Md. Khalequzzaman,-
Dhaka 13,Dhaka,Dhaka,Bangladesh Minority Janata Party (BMJP),Md. Shahabuddin,-
Dhaka 13,Dhaka,Dhaka,Gono Odhikar Parishad (GOP),Mizanur Rahman,-
Dhaka 13,Dhaka,Dhaka,Bangladesh Muslim League (BML),Shahriar Iftekhar,-
Dhaka 13,Dhaka,Dhaka,Independent Candidate (Independent),Sheikh Md. Rabiul Islam,-
Dhaka 13,Dhaka,Dhaka,Independent Candidate (Independent),Sohel Rana,-
Dhaka 14,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Md. Abu Yousuf,-
Dhaka 14,Dhaka,Dhaka,Jatiya Party (JaPa),Md. Helal Uddin,-
Dhaka 14,Dhaka,Dhaka,Gono Forum (GF),Md. Jashim Uddin,-
Dhaka 14,Dhaka,Dhaka,Bangladesh Republican Party (BRP),Md. Liton,-
Dhaka 14,Dhaka,Dhaka,Bangladesh Supreme Party (BSP),Md. Osman Ali,-
Dhaka 14,Dhaka,Dhaka,Bangladesh Liberal Democratic Party (LDP),Md. Sohel Rana,-
Dhaka 14,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Mir Ahmad Binqasem,101113.0
Dhaka 14,Dhaka,Dhaka,Amar Bangladesh Party (AB),Mohammad Moniruzzaman,-
Dhaka 14,Dhaka,Dhaka,Jatiya Samajtantrik Dal-JASAD,Nurul Amin,-
Dhaka 14,Dhaka,Dhaka,Communist Party of Bangladesh (CPB),Reaz Uddin,-
Dhaka 14,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Sanjida Islam,83323.0
Dhaka 14,Dhaka,Dhaka,Independent Candidate (Independent),Syed Abu Bakar Siddique,-
Dhaka 15,Dhaka,Dhaka,Communist Party of Bangladesh (CPB),Ahmmad Sajedul Haq,-
Dhaka 15,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Dr. Md. Shafiqur Rahman,85131.0
Dhaka 15,Dhaka,Dhaka,Janotar Dol,Khan Shoeb Aman Ullah,-
Dhaka 15,Dhaka,Dhaka,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Asfaqur Rahman,-
Dhaka 15,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Md. Shafiqul Islam Khan,63517.0
Dhaka 15,Dhaka,Dhaka,Jatiya Party (JaPa),Md. Shamsul Haque,-
Dhaka 15,Dhaka,Dhaka,Bangladesh Supreme Party (BSP),Mubarak Hossain,-
Dhaka 16,Dhaka,Dhaka,Bangladesh Labour Party,Alhajj A. K. M. Moazzem Hossain,-
Dhaka 16,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Baten,88828.0
Dhaka 16,Dhaka,Dhaka,Bangladesh Sangskritik Muktijote (BSM),Md. Abdul Quader Jilani,-
Dhaka 16,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Md. Aminul Haque,85467.0
Dhaka 16,Dhaka,Dhaka,Gono Odhikar Parishad (GOP),Md. Mamun Hossain,-
Dhaka 16,Dhaka,Dhaka,Bangladesh Jatiya Party (BJP),Md. Nazmul Haque,-
Dhaka 16,Dhaka,Dhaka,Socialist Party of Bangladesh (Marxist) (SPB-M),Md. Rashidul Islam,-
Dhaka 16,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Md. Saiful Islam,-
Dhaka 16,Dhaka,Dhaka,Jatiya Party (JaPa),Md. Sultan Ahmed Selim,-
Dhaka 16,Dhaka,Dhaka,National People's Party (NPP),Md. Tariqul Islam,-
Dhaka 16,Dhaka,Dhaka,Bangladesh Khelafat Andolon (BKA),Mohammad Tuhiduzzaman,-
Dhaka 17,Dhaka,Dhaka,Jatiya Party (JaPa),Atique Ahmed,-
Dhaka 17,Dhaka,Dhaka,Bangladesh Jatiya Party (BJP),Kamrul Hasan Nasim,-
Dhaka 17,Dhaka,Dhaka,Independent Candidate (Independent),Kazi Enayet Ullah,-
Dhaka 17,Dhaka,Dhaka,Independent Candidate (Independent),Md. Anisuzzaman Khokon,-
Dhaka 17,Dhaka,Dhaka,Bangladesh Congress,Md. Shamim Ahmed,-
Dhaka 17,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Mohammad Ullah,-
Dhaka 17,Dhaka,Dhaka,Insaniyat Biplob Bangladesh (IBB),Monjur Humayun,-
Dhaka 17,Dhaka,Dhaka,Bangladesh Labour Party,Muhammad Rashedul Haque,-
Dhaka 17,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),S. M. Khaliduzzaman,68300.0
Dhaka 17,Dhaka,Dhaka,Bangladesh Nationalist Front (BNF),SM Abul Kalam Azad,-
Dhaka 17,Dhaka,Dhaka,Jatiya Party (JaPa),Tapu Raihan,-
Dhaka 17,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Tarique Rahman,72699.0
Dhaka 18,Dhaka,Dhaka,National Citizen Party (NCP),Ariful Islam,111297.0
Dhaka 18,Dhaka,Dhaka,Nagorik Oikya (NO),Mahmudur Rahman Manna,-
Dhaka 18,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Md. Anwar Hossain,-
Dhaka 18,Dhaka,Dhaka,Independent Candidate (Independent),Md. Ismail Hossain,-
Dhaka 18,Dhaka,Dhaka,Jatiya Party (JaPa),Md. Jakir Hossain,-
Dhaka 18,Dhaka,Dhaka,Bangladesh Islami Front (BIF),Md. Jasim Uddin,-
Dhaka 18,Dhaka,Dhaka,Independent Candidate (Independent),Md. Mohiuddin Howlader,-
Dhaka 18,Dhaka,Dhaka,National People's Party (NPP),Mrs. Sabina Javed,-
Dhaka 18,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),S. M. Jahangir Hossain,144715.0
Dhaka 18,Dhaka,Dhaka,Bangladesh Samajtantrik Dal (Basad),Syed Harun-Or-Rashid,-
Dhaka 19,Dhaka,Dhaka,Bangladesh Liberal Democratic Party (LDP),Chowdhury Hasan Sarwardy,-
Dhaka 19,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Dewan Mohammad Salahuddin,190976.0
Dhaka 19,Dhaka,Dhaka,National Citizen Party (NCP),Dilshana Parul,123283.0
Dhaka 19,Dhaka,Dhaka,Jatiya Party (JaPa),Md. Bahadur Islam,-
Dhaka 19,Dhaka,Dhaka,National People's Party (NPP),Md. Israfil Hossain Shavery,-
Dhaka 19,Dhaka,Dhaka,Bangladesh Muslim League (BML),Md. Kamrul,-
Dhaka 19,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Mohammad Faruq Khan,-
Dhaka 19,Dhaka,Dhaka,Gono Odhikar Parishad (GOP),Sheikh Shawkat Hossain,-
Dhaka 20,Dhaka,Dhaka,Jatiya Party (JaPa),Ahsan Khan,-
Dhaka 20,Dhaka,Dhaka,Amar Bangladesh Party (AB),Helal Uddin Ahmed,-
Dhaka 20,Dhaka,Dhaka,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Arju Mia,-
Dhaka 20,Dhaka,Dhaka,Khelafat Majlis,Md. Ashraf Ali,-
Dhaka 20,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Md. Tamiz Uddin,162504.0
Dhaka 20,Dhaka,Dhaka,National Citizen Party (NCP),Nabila Tasnid,57787.0
Dinajpur 1,Rangpur,Dinajpur,Islami Andolan Bangladesh (IAB),Md. Chan Mia,-
Dinajpur 1,Rangpur,Dinajpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Matiur Rahman,117481.0
Dinajpur 1,Rangpur,Dinajpur,Bangladesh Nationalist Party (BNP),Md. Monjurul Islam,179314.0
Dinajpur 1,Rangpur,Dinajpur,Gono Odhikar Parishad (GOP),Md. Rezuwanul Islam,-
Dinajpur 1,Rangpur,Dinajpur,Jatiya Party (JaPa),Md. Shahinur Islam,-
Dinajpur 1,Rangpur,Dinajpur,Zaker Party (ZP),Raghunath Chandra Roy,-
Dinajpur 2,Rangpur,Dinajpur,Bangladesh Jamaat-e-Islami (Jamaat),A. K. M. Afjalul Anam,101831.0
Dinajpur 2,Rangpur,Dinajpur,Independent Candidate (Independent),Anowar Chowdhury jibon,-
Dinajpur 2,Rangpur,Dinajpur,Bangladesh Khelafat Majlish (BKM),Jobaier Sayed,-
Dinajpur 2,Rangpur,Dinajpur,Independent Candidate (Independent),Md. ANM Bazlur Rashid,-
Dinajpur 2,Rangpur,Dinajpur,Bangladesh Muslim League (BML),Md. Mokaram Hossain,-
Dinajpur 2,Rangpur,Dinajpur,Bangladesh Nationalist Party (BNP),Md. Sadiq Reaz,144317.0
Dinajpur 2,Rangpur,Dinajpur,Jatiya Party (JaPa),Md. Zulfikar Hossain,-
Dinajpur 2,Rangpur,Dinajpur,Islami Andolan Bangladesh (IAB),Muha Redwanul Karim Rabid,-
Dinajpur 3,Rangpur,Dinajpur,Jatiya Party (JaPa),Ahmed Shafi Rubel,-
Dinajpur 3,Rangpur,Dinajpur,Communist Party of Bangladesh (CPB),Amrit Kumar Roy,-
Dinajpur 3,Rangpur,Dinajpur,Bangladesh Samajtantrik Dal (Basad),Kibria Hossain,-
Dinajpur 3,Rangpur,Dinajpur,Bangladesh Muslim League (BML),Laila Tul Rima,-
Dinajpur 3,Rangpur,Dinajpur,Islami Andolan Bangladesh (IAB),Md. Khairuzzaman,-
Dinajpur 3,Rangpur,Dinajpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Maynul Alam,134618.0
Dinajpur 3,Rangpur,Dinajpur,Janotar Dol,Md. Rabiul Islam,-
Dinajpur 3,Rangpur,Dinajpur,Bangladesh Nationalist Party (BNP),Syed Jahangir Alam,139207.0
Dinajpur 4,Rangpur,Dinajpur,Bangladesh Nationalist Party (BNP),Akhtaruzzaman Mia,165577.0
Dinajpur 4,Rangpur,Dinajpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Aftab Uddin Mollah,127666.0
Dinajpur 4,Rangpur,Dinajpur,Islami Andolan Bangladesh (IAB),Md. Anwar Hossain,-
Dinajpur 4,Rangpur,Dinajpur,Jatiya Party (JaPa),Md. Nurul Amin Shah,-
Dinajpur 5,Rangpur,Dinajpur,Independent Candidate (Independent),A. Z. M. Rezwanul Haque,113650.0
Dinajpur 5,Rangpur,Dinajpur,Bangladesh Nationalist Party (BNP),AKM Qamruzzaman,-
Dinajpur 5,Rangpur,Dinajpur,National Citizen Party (NCP),Md. Abdul Ahad,108948.0
Dinajpur 5,Rangpur,Dinajpur,Independent Candidate (Independent),Md. Hazrat Ali Belal,-
Dinajpur 5,Rangpur,Dinajpur,Jatiya Party (JaPa),Md. Kazi Abdul Gafur,-
Dinajpur 5,Rangpur,Dinajpur,Independent Candidate (Independent),Md. Rustom Ali,-
Dinajpur 5,Rangpur,Dinajpur,Independent Candidate (Independent),SM Zakaria Bacchu,-
Dinajpur 6,Rangpur,Dinajpur,Bangladesh Nationalist Party (BNP),Abu Zafar Md. Zahid Hossain,203887.0
Dinajpur 6,Rangpur,Dinajpur,Bangladesh Samajtantrik Dal (Basad),Md. Abdul Hakim,-
Dinajpur 6,Rangpur,Dinajpur,Independent Candidate (Independent),Md. Abdullah,-
Dinajpur 6,Rangpur,Dinajpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anowarul Islam,188719.0
Dinajpur 6,Rangpur,Dinajpur,Islami Andolan Bangladesh (IAB),Md. Nur Alam Siddik,-
Dinajpur 6,Rangpur,Dinajpur,Jatiya Party (JaPa),Md. Rezaul Haque,-
Dinajpur 6,Rangpur,Dinajpur,Independent Candidate (Independent),Md. Shahnaoj Feroze Shuvo Shah,-
Faridpur 1,Dhaka,Faridpur,Bangladesh Nationalist Party (BNP),Khandaker Nasirul Islam,126475.0
Faridpur 1,Dhaka,Faridpur,Independent Candidate (Independent),Md. Abul Basar Khan,-
Faridpur 1,Dhaka,Faridpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Elias Molla,154772.0
Faridpur 1,Dhaka,Faridpur,Independent Candidate (Independent),Md. Golam Kabir Mia,-
Faridpur 1,Dhaka,Faridpur,Independent Candidate (Independent),Md. Hasibur Rahman,-
Faridpur 1,Dhaka,Faridpur,Independent Candidate (Independent),Mohammad Arifur Rahman,-
Faridpur 1,Dhaka,Faridpur,Bangladesh Minority Janata Party (BMJP),Mrinmoy Kanti Das,-
Faridpur 1,Dhaka,Faridpur,Independent Candidate (Independent),Sheikh Abdur Rahman Ziko,-
Faridpur 1,Dhaka,Faridpur,Jatiya Party (JaPa),Sultan Ahmed Khan,-
Faridpur 2,Dhaka,Faridpur,Insaniyat Biplob Bangladesh (IBB),Akramuzzaman,-
Faridpur 2,Dhaka,Faridpur,Gono Odhikar Parishad (GOP),Farooq Fakir,-
Faridpur 2,Dhaka,Faridpur,Bangladesh Khelafat Majlish (BKM),Md. Akram Ali,89305.0
Faridpur 2,Dhaka,Faridpur,Bangladesh Congress,Md. Nazmul Hasan,-
Faridpur 2,Dhaka,Faridpur,Islami Andolan Bangladesh (IAB),Shah Md. Jamal Uddin,-
Faridpur 2,Dhaka,Faridpur,Bangladesh Nationalist Party (BNP),Shama Obaid Islam,121694.0
Faridpur 3,Dhaka,Faridpur,Jatiya Samajtantrik Dal-JASAD,Arifa Akhter Baby,-
Faridpur 3,Dhaka,Faridpur,Islami Andolan Bangladesh (IAB),K. M. Sarowar,-
Faridpur 3,Dhaka,Faridpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdut Tawab,124115.0
Faridpur 3,Dhaka,Faridpur,Communist Party of Bangladesh (CPB),Md. Rafiquzzaman Mia,-
Faridpur 3,Dhaka,Faridpur,Independent Candidate (Independent),Morshedul Islam Asif,-
Faridpur 3,Dhaka,Faridpur,Bangladesh Nationalist Party (BNP),Nayab Yusuf Ahmed,148545.0
Faridpur 4,Dhaka,Faridpur,Independent Candidate (Independent),A. A. M. Mujahid Beg,-
Faridpur 4,Dhaka,Faridpur,Communist Party of Bangladesh (CPB),Ataur Rahman,-
Faridpur 4,Dhaka,Faridpur,Islami Andolan Bangladesh (IAB),Md. Ishaq Chokder,-
Faridpur 4,Dhaka,Faridpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Sarwar Hossain,75805.0
Faridpur 4,Dhaka,Faridpur,Bangladesh Nationalist Party (BNP),Md. Shahidul Islam,127443.0
Faridpur 4,Dhaka,Faridpur,Bangladesh Khelafat Majlish (BKM),Mizanur Rahman,-
Faridpur 4,Dhaka,Faridpur,Independent Candidate (Independent),Muhammad Mujibur Hossain,-
Faridpur 4,Dhaka,Faridpur,Jatiya Party (JaPa),Raihan Jamil,-
Feni 1,Chattogram,Feni,Bangladesh Khelafat Andolon (BKA),Anwar Ullah Bhuiyan,310.0
Feni 1,Chattogram,Feni,Islami Andolan Bangladesh (IAB),Kazi Golam Kibria,5323.0
Feni 1,Chattogram,Feni,Bangladesh Muslim League (BML),Mahbub Morshed Majumder,188.0
Feni 1,Chattogram,Feni,Bangladesh Congress,Md. Firoz Uddin Chowdhury,215.0
Feni 1,Chattogram,Feni,Jatiya Party (JaPa),Motaher Hossain Chowdhury,940.0
Feni 1,Chattogram,Feni,Bangladesh Nationalist Party (BNP),Munshi Rafiqul Alam,119904.0
Feni 1,Chattogram,Feni,Bangladesh Jamaat-e-Islami (Jamaat),S. M. Kamal Uddin,85615.0
Feni 2,Chattogram,Feni,Socialist Party of Bangladesh (Marxist) (SPB-M),Jasim Uddin,-
Feni 2,Chattogram,Feni,Bangladesh Nationalist Party (BNP),Joynal Abdin,131210.0
Feni 2,Chattogram,Feni,Bangladesh Khelafat Majlish (BKM),Md. Harunur Rashid Bhuiyan,-
Feni 2,Chattogram,Feni,Gono Odhikar Parishad (GOP),Md. Tarequl Islam Bhuiyan,-
Feni 2,Chattogram,Feni,Bangladesh Khelafat Andolon (BKA),Mohammad Abul Hossain,-
Feni 2,Chattogram,Feni,Islami Andolan Bangladesh (IAB),Mohammad Ekramul Haque Bhuiyan,-
Feni 2,Chattogram,Feni,Amar Bangladesh Party (AB),Mohammad Mujibur Rahman Bhuiyan,80058.0
Feni 2,Chattogram,Feni,Amjanatar Dol,Saiful Karim Majumder,-
Feni 2,Chattogram,Feni,Jatiya Samajtantrik Dal-JASAD,Shamsuddin Majumder,-
Feni 2,Chattogram,Feni,Insaniyat Biplob Bangladesh (IBB),Taherul Islam,-
Feni 3,Chattogram,Feni,Bangladesh Samajtantrik Dal (Basad),Abdul Malek,-
Feni 3,Chattogram,Feni,Islamic Front Bangladesh (IFB),Md. Abu Naser,-
Feni 3,Chattogram,Feni,Jatiya Party (JaPa),Md. Abu Sufian,-
Feni 3,Chattogram,Feni,Insaniyat Biplob Bangladesh (IBB),Md. Hasan Ahmed,-
Feni 3,Chattogram,Feni,Islami Andolan Bangladesh (IAB),Md. Saif Uddin,-
Feni 3,Chattogram,Feni,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Fakhruddin,108160.0
Feni 3,Chattogram,Feni,Bangladesh Khelafat Andolon (BKA),Mohammad Khalequzzaman Patwari,-
Feni 3,Chattogram,Feni,Bangladesh Nationalist Party (BNP),Mr. Abdul Awal Mintu,157425.0
Gaibandha 1,Rangpur,Gaibandha,Bangladesh Nationalist Party (BNP),Khandoker Ziaul Islam Mohammad Ali,37997.0
Gaibandha 1,Rangpur,Gaibandha,Amjanatar Dol,Md. Kausor Azam Hannu,-
Gaibandha 1,Rangpur,Gaibandha,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mazedur Rahman,140726.0
Gaibandha 1,Rangpur,Gaibandha,Independent Candidate (Independent),Md. Mostafa Mohsin,-
Gaibandha 1,Rangpur,Gaibandha,Islami Andolan Bangladesh (IAB),Md. Ramzan Ali,-
Gaibandha 1,Rangpur,Gaibandha,Independent Candidate (Independent),Mst Salma Akter,-
Gaibandha 1,Rangpur,Gaibandha,Socialist Party of Bangladesh (Marxist) (SPB-M),Parmanando Das,-
Gaibandha 1,Rangpur,Gaibandha,Jatiya Party (JaPa),Shameem haider patwary,-
Gaibandha 2,Rangpur,Gaibandha,Socialist Party of Bangladesh (Marxist) (SPB-M),Ahsanul Habib Sayeed,-
Gaibandha 2,Rangpur,Gaibandha,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Karim,122630.0
Gaibandha 2,Rangpur,Gaibandha,Jatiya Party (JaPa),Md. Abdur Rashid Sarker,-
Gaibandha 2,Rangpur,Gaibandha,Bangladesh Nationalist Party (BNP),Md. Anisuzzaman Khan Babu,92890.0
Gaibandha 2,Rangpur,Gaibandha,Janotar Dol,Md. Shahedur Jahan,-
Gaibandha 2,Rangpur,Gaibandha,Communist Party of Bangladesh (CPB),Mihir Kumar Ghosh,-
Gaibandha 2,Rangpur,Gaibandha,Islami Andolan Bangladesh (IAB),Mohammad Abdul Majed,-
Gaibandha 3,Rangpur,Gaibandha,Islami Andolan Bangladesh (IAB),ATM Aowlad Hossain,-
Gaibandha 3,Rangpur,Gaibandha,Bangladesh Jamaat-e-Islami (Jamaat),Abul Kausar Mohammad Nazrul Islam,163457.0
Gaibandha 3,Rangpur,Gaibandha,Communist Party of Bangladesh (CPB),Md. Abdullah Adil,-
Gaibandha 3,Rangpur,Gaibandha,Independent Candidate (Independent),Md. Azizar Rahman,-
Gaibandha 3,Rangpur,Gaibandha,Janotar Dol,Md. Mongorul Hoque,-
Gaibandha 3,Rangpur,Gaibandha,Insaniyat Biplob Bangladesh (IBB),Md. Mosaddiqual Islam,-
Gaibandha 3,Rangpur,Gaibandha,Gono Odhikar Parishad (GOP),Md. Shoruj Miah,-
Gaibandha 3,Rangpur,Gaibandha,Jatiya Party (JaPa),Moinur Rabbi Chowdhury,-
Gaibandha 3,Rangpur,Gaibandha,Bangladesh Nationalist Party (BNP),Professor Dr. Syed Mainul Hassain Sadik,139864.0
Gaibandha 3,Rangpur,Gaibandha,Independent Candidate (Independent),S M Khademul Islam Khude,-
Gaibandha 4,Rangpur,Gaibandha,Jatiya Party (JaPa),Kazi Md. Mashiur Rahman,-
Gaibandha 4,Rangpur,Gaibandha,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdur Rahim Sarkar,139738.0
Gaibandha 4,Rangpur,Gaibandha,Independent Candidate (Independent),Md. Abdur Rouf Akanda,-
Gaibandha 4,Rangpur,Gaibandha,Revolutionary Workers Party of Bangladesh (RWPB),Md. Atoarul Islam,-
Gaibandha 4,Rangpur,Gaibandha,Bangladesh Nationalist Party (BNP),Mohammad Shamim Kaiser,142772.0
Gaibandha 4,Rangpur,Gaibandha,Islami Andolan Bangladesh (IAB),Said Touhidul Islam Tuhin,-
Gaibandha 5,Rangpur,Gaibandha,Independent Candidate (Independent),A H M Golam Shahid Ranju,-
Gaibandha 5,Rangpur,Gaibandha,Independent Candidate (Independent),Hasan Mehdi biddut,-
Gaibandha 5,Rangpur,Gaibandha,Independent Candidate (Independent),Md Nahiduzzaman (Nishad),-
Gaibandha 5,Rangpur,Gaibandha,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Wares,89274.0
Gaibandha 5,Rangpur,Gaibandha,Islami Andolan Bangladesh (IAB),Md. Azizul Islam,-
Gaibandha 5,Rangpur,Gaibandha,Bangladesh Nationalist Party (BNP),Md. Faruk Alam Sarker,73483.0
Gaibandha 5,Rangpur,Gaibandha,Socialist Party of Bangladesh (Marxist) (SPB-M),Mst. Rahela Khatun,-
Gaibandha 5,Rangpur,Gaibandha,Jatiya Party (JaPa),Shameem Haider Patwary,-
Gaibandha 5,Rangpur,Gaibandha,Communist Party of Bangladesh (CPB),Sree Nirmol,-
Gazipur 1,Dhaka,Gazipur,Gono Front (GF),Atiqul Islam,-
Gazipur 1,Dhaka,Gazipur,Bangladesh Labour Party,Chowdhury Irad Ahmed Siddiky,-
