seat_id,seat_number,seat_name,division,district,party,candidate,votes
319996,12,Nilphamari 1,Rangpur,Nilphamari,Jatiya Party (Manju) (JP–Manju),Md. Makhdum Azam Mashrafe,4501
319996,12,Nilphamari 1,Rangpur,Nilphamari,Jatiya Party (JaPa),Md. Taslim Uddin,12276
319996,12,Nilphamari 1,Rangpur,Nilphamari,Socialist Party of Bangladesh (Marxist) (SPB-M),Md. Rafiqul Islam,312
319996,12,Nilphamari 1,Rangpur,Nilphamari,Bangladesh Nationalist Front (BNF),Md. Sirajul Islam,210
319996,12,Nilphamari 1,Rangpur,Nilphamari,Jatiya Party (JaPa),Md. Taslim Uddin,12276
320001,13,Nilphamari 2,Rangpur,Nilphamari,Bangladesh Jamaat-e-Islami (Jamaat),Alfaruq Abdul Latif,146430
320001,13,Nilphamari 2,Rangpur,Nilphamari,Independent Candidate (Independent),Md. Minhazul Islam Minhaz,307
320001,13,Nilphamari 2,Rangpur,Nilphamari,Khelafat Majlis,Md. Sarwarul Alam,351
320001,13,Nilphamari 2,Rangpur,Nilphamari,Bangladesh Nationalist Party (BNP),Shahrin Islam,135418
320001,13,Nilphamari 2,Rangpur,Nilphamari,Bangladesh Nationalist Front (BNF),Md. Sirajul Islam,193
320001,13,Nilphamari 2,Rangpur,Nilphamari,Islami Andolan Bangladesh (IAB),Hasibul Islam,3260
320006,14,Nilphamari 3,Rangpur,Nilphamari,Bangladesh Nationalist Party (BNP),Alhaz Sayed Ali,89807
320006,14,Nilphamari 3,Rangpur,Nilphamari,Bangladesh Jamaat-e-Islami (Jamaat),Obaidullah Salafi,109686
320006,14,Nilphamari 3,Rangpur,Nilphamari,Islami Andolan Bangladesh (IAB),Amzad Hossain Sarker,990
320006,14,Nilphamari 3,Rangpur,Nilphamari,Jatiya Party (JaPa),Rohan Chowdhury,3391
320011,15,Nilphamari 4,Rangpur,Nilphamari,Bangladesh Jamaat-e-Islami (Jamaat),Abdul Muttakim,126222
320011,15,Nilphamari 4,Rangpur,Nilphamari,Independent Candidate (Independent),S. M. Mamunur Rashid,436
320011,15,Nilphamari 4,Rangpur,Nilphamari,Independent Candidate (Independent),Jobaidur Rahman Hira,1008
320011,15,Nilphamari 4,Rangpur,Nilphamari,Bangladesh Nationalist Party (BNP),Md. Abdul Gafur Sarkar,82086
320011,15,Nilphamari 4,Rangpur,Nilphamari,Independent Candidate (Independent),Md. Riyad Arfan Sarkar,3826
320011,15,Nilphamari 4,Rangpur,Nilphamari,Islami Andolan Bangladesh (IAB),Md. Shahidul Islam,8335
320011,15,Nilphamari 4,Rangpur,Nilphamari,Jatiya Party (JaPa),Md. Siddiqul Alam,67757
320011,15,Nilphamari 4,Rangpur,Nilphamari,Socialist Party of Bangladesh (Marxist) (SPB-M),Md. Maidul Islam,630
320011,15,Nilphamari 4,Rangpur,Nilphamari,Bangladesh Jatiya Party (Matin),Mirza Md. Shawkat Akbar,97
319636,16,Lalmonirhat 1,Rangpur,Lalmonirhat,Bangladesh Jamaat-e-Islami (Jamaat),Anowarul Islam Razu,129572
319636,16,Lalmonirhat 1,Rangpur,Lalmonirhat,Bangladesh Nationalist Party (BNP),Md. Hasan Razib Prodhan,138686
319641,17,Lalmonirhat 2,Rangpur,Lalmonirhat,Bangladesh Jamaat-e-Islami (Jamaat),Md. Firoz Haidar,107886
319641,17,Lalmonirhat 2,Rangpur,Lalmonirhat,Bangladesh Nationalist Party (BNP),Md. Rokon Uddin Babul,118359
319646,18,Lalmonirhat 3,Rangpur,Lalmonirhat,Bangladesh Nationalist Party (BNP),Asadul Habib Dulu,139651
319646,18,Lalmonirhat 3,Rangpur,Lalmonirhat,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abu Taher,56244
320206,19,Rangpur 1,Rangpur,Rangpur,Bangladesh Nationalist Party (BNP),Md. Mokarram Hossain Sujon,69407
320206,19,Rangpur 1,Rangpur,Rangpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Raihan Siraji,145088
320211,20,Rangpur 2,Rangpur,Rangpur,Jatiya Party (JaPa),Anisul Islam Mondol,19693
