seat_name,candidate_ds,party_ds,party_tbs,tbs_votes,ds_votes,diff,diff_pct,is_significant,issue
Nilphamari 1,Maolana Md. Monjurul Islam,Jamiat Ulema-e-Islam Bangladesh (JUIB),Jamiat Ulema-e-Islam Bangladesh (JUIB),119059,118160,-899,0.76%,False,Vote count mismatch
Nilphamari 1,Md. Abdus Sattar,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),150824,149224,-1600,1.06%,True,Vote count mismatch
Nilphamari 2,Al Faruq Abdul Latif,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),146430,145202,-1228,0.84%,False,Vote count mismatch
Nilphamari 2,Shahrin Islam,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),135418,134579,-839,0.62%,False,Vote count mismatch
Nilphamari 3,Alhaj Syed Ali,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),89807,89102,-705,0.79%,False,Vote count mismatch
Nilphamari 3,Obaidullah Salafi,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),109686,108560,-1126,1.03%,True,Vote count mismatch
Nilphamari 4,Abdul Muntakim,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),126222,124865,-1357,1.08%,True,Vote count mismatch
Nilphamari 4,Md. Abdul Gafur Sarker,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),82086,81526,-560,0.68%,False,Vote count mismatch
Pabna 3,Md. Ali Asghar,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),147475,147465,-10,0.01%,False,Vote count mismatch
Patuakhali 1,Md. Abdul Wahab,Amar Bangladesh Party (AB),Amar Bangladesh Party (AB),46010,46310,300,0.65%,False,Vote count mismatch
Pirojpur 2,Md. Mahibul Hossain,Jatiya Party (Manju) (JP–Manju),Jatiya Party (Manju) (JP–Manju),-,4705,-,-,True,Party not found in TBS for this seat
Rajshahi 2,Md. Mizanur Rahman,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),128546,188546,60000,46.68%,True,Vote count mismatch
Rajshahi 6,Md. Abu Sayed Chad,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),148672,147672,-1000,0.67%,False,Vote count mismatch
Rangpur 2,Atm Azharul Islam,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jamaat-e-Islami (Jamaat),89456,43076,-46380,51.85%,True,Vote count mismatch
Rangpur 2,Md. Ali Sarkar,Bangladesh Nationalist Party (BNP),Bangladesh Nationalist Party (BNP),53626,22100,-31526,58.79%,True,Vote count mismatch
Rangpur 4,Akhtar Hossain,National Citizen Party (NCP),National Citizen Party (NCP),149966,147947,-2019,1.35%,True,Vote count mismatch
