seat_name,party,candidate,votes
Munshiganj 2,Bangladesh Nationalist Party (BNP),Abdus Salam Azad,121154
Munshiganj 2,National Citizen Party (NCP),Majedul Islam,58573
Munshiganj 2,Islami Andolan Bangladesh (IAB),K. M. Billal,13387
Munshiganj 2,Jatiya Party (JaPa),Md. Noman Mia,2857
Munshiganj 2,Islamic Front Bangladesh (IFB),Ashiq Mahmud,651
Munshiganj 3,Bangladesh Nationalist Party (BNP),Md. Kamruzzaman,124691
Munshiganj 3,Independent Candidate (Independent),Md. Mohiuddin,88936
Munshiganj 3,Bangladesh Khelafat Majlish (BKM),Noor Hossain Noorani,54456
Munshiganj 3,Islami Andolan Bangladesh (IAB),Suman Dewan,6392
Munshiganj 3,Jatiya Party (JaPa),Md. Arifuzzaman (Didar),804
Munshiganj 3,Communist Party of Bangladesh (CPB),Sheikh Md. Kamal Hossain,304
Munshiganj 3,Revolutionary Workers Party of Bangladesh (RWPB),Sheikh Md. Shimul,174
Munshiganj 3,Bangladesh Labour Party,Anis Mollah,155
Dhaka 1,Bangladesh Nationalist Party (BNP),Khandaker Abu Ashfaq,173781
Dhaka 1,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Nazrul Islam,112622
Dhaka 1,Islami Andolan Bangladesh (IAB),Nurul Islam,6607
Dhaka 1,Independent Candidate (Independent),Antara Selima Huda,4880
Dhaka 1,Jatiya Party (JaPa),Md. Nasir Uddin Molla,1362
Dhaka 1,Bangladesh Labour Party,Sheikh Md. Ali,271
Dhaka 2,Bangladesh Nationalist Party (BNP),Md. Amanullah Aman,163793
Dhaka 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Haque,80053
Dhaka 2,Islami Andolan Bangladesh (IAB),Md. Jahirul Islam,6352
Dhaka 3,Bangladesh Nationalist Party (BNP),Gayeshwar Chandra Roy,99163
Dhaka 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahinur Islam,83264
Dhaka 3,Islami Andolan Bangladesh (IAB),Md. Sultan Ahmad Khan,6286
Dhaka 3,Jatiya Party (JaPa),Md. Faruk,1075
Dhaka 3,Ganosanhati Andolan (GSA),Md. Bacchu Bhuiyan,378
Dhaka 3,Independent Candidate (Independent),Md. Monir Hossain,313
Dhaka 3,Bangladesh Socialist Party (BASAD),Mojibur Howlader,196
Dhaka 3,Gono Forum (GF),Muhammad Rawshan Yazdani,182
Dhaka 3,Bangladesh Congress,Mohammad Jafar,155
Dhaka 3,Gono Odhikar Parishad (GOP),Md. Sazzad,97
Dhaka 4,Bangladesh Jamaat-e-Islami (Jamaat),Syed Zainul Abedin,77367
Dhaka 4,Bangladesh Nationalist Party (BNP),Tanvir Ahmed,74447
Dhaka 4,Islami Andolan Bangladesh (IAB),Syed Md. Mosaddeq Billah,6518
Dhaka 4,Independent Candidate (Independent),Mohammad Mizanur Rahman,2867
Dhaka 4,Communist Party of Bangladesh (CPB),Mohammad Firoz Alam,367
Dhaka 4,Janata Party,Md. Abul Kalam Azad,191
Dhaka 4,Bangladesh Socialist Party (BASAD),Md. Zakir Hossain,184
Dhaka 4,Bangladesh Cultural Liberation Front (Muktijot),Sahel Ahmed Sohel,128
Dhaka 5,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Kamal Hossain,96641
Dhaka 5,Bangladesh Nationalist Party (BNP),Md. Nabi Ullah,87491
Dhaka 5,Islami Andolan Bangladesh (IAB),Md. Ibrahim,14206
Dhaka 5,Jatiya Party (JaPa),Mir Abdus Sabur,1346
Dhaka 5,Liberal Democratic Party (LDP),Md. Humayun Kabir,788
Dhaka 5,Bangladesh Congress,Md. Saiful Alam,262
Dhaka 5,Bangladesh Socialist Party (Marxist),Shahinur Akter Sumi,221
Dhaka 5,Communist Party of Bangladesh (CPB),Tofazzal Hossain Mostafa,206
Dhaka 5,Gono Odhikar Parishad (GOP),Syed Mohammad Ibrahim,93
Dhaka 5,Bangladesh Labour Party,Md. Golam Azam,81
Dhaka 5,Bangladesh Cultural Liberation Front (Muktijot),Md. Taifur Rahman Rahi,35
Dhaka 6,Bangladesh Nationalist Party (BNP),Ishraq Hossain,78850
Dhaka 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Mannan,55697
Dhaka 6,Jatiya Party (JaPa),Amir Uddin Ahmed (Dalu),1778
Dhaka 6,Bangladesh Congress,Md. Yunus Ali Akand,319
Dhaka 6,Bangladesh Muslim League (BML),Md. Aktar Hossain,245
Dhaka 6,Gono Front,Ahmed Ali Sheikh,152
Dhaka 6,Gono Odhikar Parishad (GOP),Md. Fakhrul Islam,138
Dhaka 7,Bangladesh Nationalist Party (BNP),Hamidur Rahman,104666
Dhaka 7,Bangladesh Jamaat-e-Islami (Jamaat),Md. Enayet Ullah,98483
Dhaka 7,Independent Candidate (Independent),Mohammad Ishaq Sarkar,11517
Dhaka 7,Islami Andolan Bangladesh (IAB),Md. Abdur Rahman,5081
Dhaka 7,Bangladesh Khelafat Andolon (BKA),Md. Habibullah,2783
Dhaka 7,Jatiya Party (JaPa),Mohammad Saifuddin Ahmed Milon,2294
Dhaka 7,Bangladesh Socialist Party (Marxist),Seema Dutta,677
Dhaka 7,Bangladesh Republican Party (BRP),Shafiqul Rahman,218
Dhaka 7,Jatiya Samajtantrik Dal (JSD),Shahana Selim,208
Dhaka 7,Bangladesh Cultural Liberation Front (Muktijot),Maksudur Rahman,150
Dhaka 7,Bangladesh Jatiya Party (BJP),Md. Shahidul Islam,98
Dhaka 8,Bangladesh Nationalist Party (BNP),Mirza Abbas Uddin Ahmed,59366
Dhaka 8,National Citizen Party (NCP),Muhammad Nasiruddin Patwari,54127
Dhaka 8,Islami Andolan Bangladesh (IAB),Kefayet Ullah,1436
Dhaka 8,Jatiya Party (JaPa),Md. Zuber Alam Khan,731
Dhaka 8,Communist Party of Bangladesh (CPB),Tridip Kumar Saha,714
Dhaka 8,Gono Odhikar Parishad (GOP),Meghna Alam,608
Dhaka 8,Bangladesh Islami Front,S. M. Sarwar,326
Dhaka 8,Janata Party,Md. Golam Sarwar,129
Dhaka 8,Bangladesh Socialist Party (Marxist),AHM Rafiquzzaman Akand,96
Dhaka 8,Bangladesh Cultural Liberation Front (Muktijot),Md. Russell Kabir,78
Dhaka 8,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),AFM Ismail Chowdhury,56
Dhaka 9,Bangladesh Nationalist Party (BNP),Habibur Rashid,111212
Dhaka 9,National Citizen Party (NCP),Mohammad Jabed Mia,53460
Dhaka 9,Independent Candidate (Independent),Tasnim Jara,44684
Dhaka 9,Islami Andolan Bangladesh (IAB),Shah Iftekhar Ahsan,5827
Dhaka 9,Jatiya Party (JaPa),Kazi Abul Khair,1202
Dhaka 9,Communist Party of Bangladesh (CPB),Md. Moniruzzaman,462
Dhaka 9,National People's Party (NPP),Shahin Khan,204
Dhaka 9,Gono Forum (GF),Najma Akter,171
Dhaka 9,Insaniyat Biplob Bangladesh,Nahid Hasan Chowdhury Junaid,131
Dhaka 9,Bangladesh Nationalist Front (BNF),Mohammad Shafi Ullah Chowdhury,124
Dhaka 9,Bangladesh Muslim League (BML),Masud Hossain,118
Dhaka 9,Bangladesh Socialist Party (Marxist),Khandaker Mizanur Rahman,93
Dhaka 10,Bangladesh Nationalist Party (BNP),Sheikh Rabiul Alam,79035
Dhaka 10,Bangladesh Jamaat-e-Islami (Jamaat),Md. Jasim Uddin Sarkar,74773
Dhaka 10,Bangladesh Labour Party,Abul Kalam Azad,0
Dhaka 10,Am Janata Party,Abdullah Al Hossain,0
Dhaka 10,Amar Bangladesh Party (AB),Nasreen Sultana,0
Dhaka 10,Jatiya Party (JaPa),Bahni Bepari,0
Dhaka 10,Islami Andolan Bangladesh (IAB),Md. A. Awal,0
Dhaka 10,Bangladesh Cultural Liberation Front (Muktijot),Md. Anichur Rahman,0
Dhaka 10,Bangladesh Republican Party (BRP),Md. Abu Hanif Hridoy,0
Dhaka 10,Am Janata Party,Md. Zakir Hossain,0
Dhaka 11,National Citizen Party (NCP),Md. Nahid Islam,93872
Dhaka 11,Bangladesh Nationalist Party (BNP),M. A. Qayyum,91833
Dhaka 11,Islami Andolan Bangladesh (IAB),Sheikh Md. Fazle Bari Masud,4375
Dhaka 11,Jatiya Party (JaPa),Shamim Ahmed,1048
Dhaka 11,Independent Candidate (Independent),Kohinur Akter Bithi,794
Dhaka 11,Bangladesh Republican Party (BRP),Md. Zakir Hossain,283
Dhaka 11,National People's Party (NPP),Md. Mizanur Rahman,241
Dhaka 11,Bangladesh Cultural Liberation Front (Muktijot),Kazi Md. Shahidullah,196
Dhaka 11,Gono Forum (GF),Md. Abdul Qader,130
Dhaka 11,Gono Odhikar Parishad (GOP),Md. Arifur Rahman,81
Dhaka 12,Revolutionary Workers Party of Bangladesh (RWPB),Saiful Haque,30963
Dhaka 12,Independent Candidate (Independent),Saiful Alam Nirab,29869
Dhaka 12,Bangladesh Jamaat-e-Islami (Jamaat),Md. Saiful Alam,9741
Dhaka 12,Islami Andolan Bangladesh (IAB),Mahmudul Hasan,2058
Dhaka 12,Jatiya Party (JaPa),Sarkar Mohammad Salauddin,1770
Dhaka 12,Ganosanhati Andolan (GSA),Taslima Akhter,1511
Dhaka 12,Am Janata Party,Md. Tarek Rahman,1044
Dhaka 12,Communist Party of Bangladesh (CPB),Kallol Banik,453
Dhaka 12,Bangladesh Islami Front,Mohammad Shahjalal,184
Dhaka 12,Janata Party,Farid Ahmed,175
Dhaka 12,Insaniyat Biplob Bangladesh,Mosammat Salma Akter,133
Dhaka 12,Gono Odhikar Parishad (GOP),Abul Bashar Chowdhury,115
Dhaka 12,Bangladesh Cultural Liberation Front (Muktijot),Muntasir Mahmud,115
Dhaka 12,Nationalist Democratic Movement (NDM),Mominul Amin,58
Dhaka 12,Bangladesh Jatiya Party (BJP),Mohammad Naim Hasan,47
Dhaka 13,Bangladesh Nationalist Party (BNP),Bobby Hajjaj,88387
Dhaka 13,Bangladesh Khelafat Majlish (BKM),Md. Mamunul Haque,86067
Dhaka 13,Independent Candidate (Independent),Sheikh Md. Rabiul Islam,972
Dhaka 13,Independent Candidate (Independent),Sohel Rana,711
Dhaka 13,Insaniyat Biplob Bangladesh,Fatema Akter Munia,513
Dhaka 13,Bangladesh Socialist Party (BASAD),Md. Khalekuzzaman,486
Dhaka 13,Bangladesh Muslim League (BML),Shahriar Iftekhar,464
Dhaka 13,Gono Odhikar Parishad (GOP),Mizanur Rahman,336
Dhaka 13,Bangladesh Minority People’s Party (BMJP),Md. Shahabuddin,331
Dhaka 14,Bangladesh Jamaat-e-Islami (Jamaat),Mir Ahmad Bin Qasem,101113
Dhaka 14,Bangladesh Nationalist Party (BNP),Sanzida Islam,83323
Dhaka 14,Independent Candidate (Independent),Syed Abu Bakar Siddique,16328
Dhaka 14,Islami Andolan Bangladesh (IAB),Md. Abu Yusuf,3760
Dhaka 14,Jatiya Party (JaPa),Md. Helal Uddin,857
Dhaka 14,Liberal Democratic Party (LDP),Md. Sohel Rana,385
Dhaka 14,Communist Party of Bangladesh (CPB),Riyaz Uddin,369
Dhaka 14,Bangladesh Supreme Party (BSP),Md. Osman Ali,302
Dhaka 14,Jatiya Samajtantrik Dal (JSD),Nurul Amin,219
Dhaka 14,Amar Bangladesh Party (AB),Mohammad Moniruzzaman,138
Dhaka 14,Bangladesh Republican Party (BRP),Md. Liton,83
Dhaka 14,Gono Forum (GF),Md. Jasim Uddin,79
Dhaka 15,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shafiqul Rahman,85131
Dhaka 15,Bangladesh Nationalist Party (BNP),Md. Shafiqul Islam Khan,63517
Dhaka 15,Jatiya Party (JaPa),Md. Shamsul Haque,1421
Dhaka 15,Communist Party of Bangladesh (CPB),Ahmad Sajedul Haque,796
Dhaka 15,Am Janata Party,Md. Nilav Parvez,705
Dhaka 15,Janata Party,Khan Shoaib Aman Ullah,378
Dhaka 15,Bangladesh Supreme Party (BSP),Mobarak Hossain,326
Dhaka 15,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Ashfaqur Rahman,210
Dhaka 16,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Baten,88828
Dhaka 16,Bangladesh Nationalist Party (BNP),Md. Aminul Haque,85467
Dhaka 16,Islami Andolan Bangladesh (IAB),Md. Saiful Islam,3679
Dhaka 16,Jatiya Party (JaPa),Md. Sultan Ahmed Selim,1464
Dhaka 16,Bangladesh Labour Party,Alhajj A. K. M. Moyazzem Hossain,494
Dhaka 16,Bangladesh Socialist Party (Marxist),Md. Rashidul Islam,209
Dhaka 16,National People's Party (NPP),Md. Tarikul Islam,167
Dhaka 16,Bangladesh Cultural Liberation Front (Muktijot),Md. Abdul Qader Jilani,142
Dhaka 16,Bangladesh Jatiya Party (BJP),Md. Nazmul Haque,138
Dhaka 16,Gono Odhikar Parishad (GOP),Md. Mamun Hossain,109
Dhaka 16,Bangladesh Khelafat Andolon (BKA),Mohammad Touhiduzzaman,102
Dhaka 17,Bangladesh Nationalist Party (BNP),Tareq Rahman,72699
Dhaka 17,Bangladesh Jamaat-e-Islami (Jamaat),S. M. Khaliduzzaman,68300
Dhaka 17,Islami Andolan Bangladesh (IAB),Mohammad Ullah,1768
Dhaka 17,Jatiya Party (JaPa),Atik Ahmed,1168
Dhaka 17,Jatiya Party (JaPa),Tapu Raihan,1041
Dhaka 17,Independent Candidate (Independent),Kazi Enayet Ullah,167
Dhaka 17,Bangladesh Congress,Md. Shamim Ahmed,130
Dhaka 17,Independent Candidate (Independent),Md. Anisuzzaman Khokon,111
Dhaka 17,Bangladesh Jatiya Party (BJP),Kamrul Hasan Nasim,92
Dhaka 17,Insaniyat Biplob Bangladesh,Manjur Humayun,80
Dhaka 17,Bangladesh Nationalist Front (BNF),S. M. Abul Kalam Azad,61
Dhaka 17,Bangladesh Labour Party,Muhammad Rashidul Haque,60
Dhaka 18,Bangladesh Nationalist Party (BNP),S. M. Jahangir Hossain,144715
Dhaka 18,National Citizen Party (NCP),Ariful Islam,111297
Dhaka 18,Islami Andolan Bangladesh (IAB),Md. Anwar Hossain,4727
Dhaka 18,Independent Candidate (Independent),Md. Mohiuddin Howladar,3205
Dhaka 18,Jatiya Party (JaPa),Md. Zakir Hossain,2557
Dhaka 18,Bangladesh Islami Front,Md. Jasim Uddin,1647
Dhaka 18,Independent Candidate (Independent),Md. Ismail Hossain,930
Dhaka 18,Nagorik Oikya (NO),Mahmudur Rahman Manna,350
Dhaka 18,National People's Party (NPP),Mrs. Sabina Jabed,301
Dhaka 18,Bangladesh Socialist Party (BASAD),Syed Harun-or-Rashid,260
Dhaka 19,Bangladesh Nationalist Party (BNP),Dewan Mohammad Salauddin,101956
Dhaka 19,National Citizen Party (NCP),Dilshana Parul,61269
Dhaka 19,Liberal Democratic Party (LDP),Chowdhury Hasan Sarwardi,0
Dhaka 19,National People's Party (NPP),Md. Israfil Hossain Savari,0
Dhaka 19,Bangladesh Muslim League (BML),Md. Kamrul,0
Dhaka 19,Jatiya Party (JaPa),Md. Bahadur Islam,0
Dhaka 19,Islami Andolan Bangladesh (IAB),Mohammad Faruk Khan,0
Dhaka 19,Gono Odhikar Parishad (GOP),Sheikh Shawkat Hossain,0
Dhaka 20,Bangladesh Nationalist Party (BNP),Md. Tamij Uddin,162504
Dhaka 20,National Citizen Party (NCP),Nabila Tasnid,57787
Dhaka 20,Khelafat Majlis,Md. Ashraf Ali,9255
Dhaka 20,Jatiya Party (JaPa),Ahsan Khan,3135
Dhaka 20,Amar Bangladesh Party (AB),Helal Uddin Ahmed,492
Dhaka 20,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Arju Mia,207
Gazipur 1,Bangladesh Nationalist Party (BNP),Md. Mujibur Rahman,208688
Gazipur 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shah Alam Bokshi,149553
Gazipur 1,Independent Candidate (Independent),Md. Imarat Hossain Khan,6703
Gazipur 1,Islami Andolan Bangladesh (IAB),Ruhul Amin,5696
Gazipur 1,Jatiya Party (JaPa),S. M. Shafiqul Islam,3325
Gazipur 1,Bangladesh Socialist Party (Marxist),Taslima Akter,232
Gazipur 1,Bangladesh Labour Party,Chowdhury Erad Ahmed Siddiqui,168
Gazipur 1,Gono Front,Atikul Islam,129
Gazipur 2,Bangladesh Nationalist Party (BNP),M. Manjurul Karim Rony,188606
Gazipur 2,National Citizen Party (NCP),Ali Naser Khan,140950
Gazipur 2,Islami Andolan Bangladesh (IAB),Hanif Sarkar,12657
Gazipur 2,Jatiya Party (JaPa),Md. Mahbub Alam,4125
Gazipur 2,Communist Party of Bangladesh (CPB),Md. Ziaul Kabir,1397
Gazipur 2,Bangladesh Socialist Party (BASAD),Md. Abdul Qayyum,1155
Gazipur 2,Janata Party,Mohammad Shariful Islam,537
Gazipur 2,Independent Candidate (Independent),Jit Barua,444
Gazipur 2,Jatiya Party (JaPa),Sarkar Taslima Afroze,417
Gazipur 2,Bangladesh Socialist Party (Marxist),Masud Reza,250
Gazipur 2,Gono Odhikar Parishad (GOP),Mahfuzur Rahman Khan,245
Gazipur 2,Gono Front,Atikul Islam,200
Gazipur 3,Bangladesh Nationalist Party (BNP),S. M. Rafiqul Islam,162343
Gazipur 3,Bangladesh Khelafat Majlish (BKM),Muhammad Ehsanul Haque,100539
Gazipur 3,Independent Candidate (Independent),Md. Ejadur Rahman Chowdhury,21963
Gazipur 3,Islami Andolan Bangladesh (IAB),Alamgir Hossain,6036
Gazipur 3,Islamic Front Bangladesh (IFB),Hafiz Mawlana Mufti Shamim Ahmed,2332
Gazipur 3,Jatiya Party (JaPa),Md. Nazim Uddin,1995
Gazipur 3,Bangladesh Socialist Party (BASAD),Ashikul Islam Piyal,484
Gazipur 4,Bangladesh Jamaat-e-Islami (Jamaat),Salah Uddin,101779
Gazipur 4,Bangladesh Nationalist Party (BNP),Shah Riazul Hannan,90390
Gazipur 4,Islami Andolan Bangladesh (IAB),Md. Kazim Uddin,2348
Gazipur 4,Jatiya Party (JaPa),Enamul Kabir,2147
Gazipur 4,Independent Candidate (Independent),Md. Shafiullah,1521
Gazipur 4,Communist Party of Bangladesh (CPB),Manabendra Deb,1091
Gazipur 4,Am Janata Party,Md. Zakir Hossain,278
Gazipur 4,National People's Party (NPP),Monir Hossain,0
Gazipur 5,Bangladesh Nationalist Party (BNP),A. K. M. Fazlul Haque Milon,133869
Gazipur 5,Bangladesh Jamaat-e-Islami (Jamaat),Md. Khairul Hasan,78123
Gazipur 5,Janata Party,Md. Azam Khan,6592
Gazipur 5,Islami Andolan Bangladesh (IAB),Gazi Ataur Rahman,4411
Gazipur 5,Jatiya Party (JaPa),Dr. Md. Safiuddin Sarkar,1497
Gazipur 5,Islamic Front Bangladesh (IFB),Md. Al Amin Dewan,837
Gazipur 5,Gono Forum (GF),Md. Kajol Bhuiyan,223
Narsingdi 1,Bangladesh Nationalist Party (BNP),Khairul Kabir Khokon,161405
Narsingdi 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ibrahim Bhuiyan,92930
Narsingdi 1,Islami Andolan Bangladesh (IAB),Md. Ashraf Hossain Bhuiyan,13547
Narsingdi 1,Jatiya Party (JaPa),Mohammad Mostafa Jamal,1012
Narsingdi 1,Bangladesh Islami Front,Sakhawat Hossain,955
Narsingdi 1,Gono Odhikar Parishad (GOP),Shirin Akter,485
Narsingdi 1,Insaniyat Biplob Bangladesh,Hamidul Haque Parvez,207
Narsingdi 1,Gono Forum (GF),Shahiduzzaman Chowdhury,179
Narsingdi 2,Bangladesh Nationalist Party (BNP),Dr. Abdul Moin Khan,92739
Narsingdi 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Amzad Hossain,55920
Narsingdi 2,National Citizen Party (NCP),Md. Golam Sarwar,19540
Narsingdi 2,Jatiya Party (JaPa),ANM Rafiqul Alam Selim,1285
Narsingdi 2,Islamic Front Bangladesh (IFB),Asif Iqbal,708
Narsingdi 2,Insaniyat Biplob Bangladesh,Mohammad Ibrahim,235
Narsingdi 3,Bangladesh Nationalist Party (BNP),Monjur Elahi,82061
Narsingdi 3,Independent Candidate (Independent),Md. Arif-ul-Islam Mridha,45682
Narsingdi 3,Bangladesh Khelafat Majlish (BKM),Md. Rakibul Islam (Rakib),25493
Narsingdi 3,Islami Andolan Bangladesh (IAB),Md. Waez Hossain Bhuiyan,6843
Narsingdi 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mostafizur Rahman,5066
Narsingdi 3,Zaker Party (ZP),Abu Sadat Mohammad Sayem Ali Pathan,1784
Narsingdi 3,Insaniyat Biplob Bangladesh,Raihan Mia,622
Narsingdi 3,Jatiya Party (JaPa),AKM Rezaul Karim,266
Narsingdi 4,Bangladesh Nationalist Party (BNP),Sardar Md. Sakhawat Hossain,163392
Narsingdi 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Jahangir Alam,78744
Narsingdi 4,Islami Andolan Bangladesh (IAB),Md. Saifullah,7079
Narsingdi 4,Insaniyat Biplob Bangladesh,Mohammad Milon Mia,1728
Narsingdi 4,Jatiya Party (JaPa),Md. Kamal Uddin,1172
Narsingdi 4,Communist Party of Bangladesh (CPB),Kazi Sazzad Zahir,839
Narsingdi 4,Bangladesh Khelafat Majlish (BKM),Mohammad Nasir Uddin,464
Narsingdi 4,Janata Party,Abu Darda Md. Maaz,454
Narsingdi 4,Bangladesh Congress,Kazi Shariful Islam,163
Narsingdi 5,Bangladesh Nationalist Party (BNP),Md. Ashraf Uddin,137690
Narsingdi 5,Bangladesh Khelafat Majlish (BKM),Tajul Islam,44981
Narsingdi 5,Islami Andolan Bangladesh (IAB),Badruzzaman Uzzal,33109
Narsingdi 5,Independent Candidate (Independent),Mohammad Panir Hossain,20580
Narsingdi 5,Independent Candidate (Independent),Jamal Ahmed Chowdhury,5419
Narsingdi 5,Bangladesh Islami Front,Mashiur Rahman,2424
Narsingdi 5,Independent Candidate (Independent),Taufiqur Rahman,1256
Narsingdi 5,Insaniyat Biplob Bangladesh,Tahmina Akter,1076
Narsingdi 5,Jatiya Party (JaPa),Meherun Nessa Khan Hena,500
Narsingdi 5,Independent Candidate (Independent),Md. Solaiman Khandaker,300
Narayanganj 1,Bangladesh Nationalist Party (BNP),Mustafizur Rahman Bhuiyan,156358
Narayanganj 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anwar Hossain Molla,91690
Narayanganj 1,Islami Andolan Bangladesh (IAB),Md. Imdadullah,7186
Narayanganj 1,Independent Candidate (Independent),Mohammad Dulal,463
Narayanganj 1,Communist Party of Bangladesh (CPB),Md. Moniruzzaman Chandan,261
Narayanganj 1,Gono Odhikar Parishad (GOP),Wasim Uddin,219
Narayanganj 1,Insaniyat Biplob Bangladesh,Md. Rehan Afzal,207
Narayanganj 2,Bangladesh Nationalist Party (BNP),Md. Nazrul Islam Azad,124291
Narayanganj 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Elias Molla,81054
Narayanganj 2,Independent Candidate (Independent),Md. Ataur Rahman Khan,18744
Narayanganj 2,Islami Andolan Bangladesh (IAB),Maulana Md. Habibullah,5265
Narayanganj 2,Communist Party of Bangladesh (CPB),Md. Hafizul Islam,350
Narayanganj 2,Bangladesh Republican Party (BRP),Md. Abu Hanif Hridoy,227
Narayanganj 2,Gono Odhikar Parishad (GOP),Kamrul Mia,142
Narayanganj 3,Bangladesh Nationalist Party (BNP),Azharul Islam Mannan,155400
Narayanganj 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Iqbal Hossain Bhuiyan,134918
Narayanganj 3,Independent Candidate (Independent),Mohammad Gias Uddin,20379
Narayanganj 3,Islami Andolan Bangladesh (IAB),Golam Masih,14223
Narayanganj 3,Independent Candidate (Independent),Prof. Md. Rezaul Karim,4596
Narayanganj 3,Bangladesh Khelafat Majlish (BKM),Md. Shahjahan,1193
Narayanganj 3,Bangladesh Khelafat Andolon (BKA),Md. Atikur Rahman Nannu Munshi,1193
Narayanganj 3,Ganosanhati Andolan (GSA),Anjan Das,638
Narayanganj 3,Gono Odhikar Parishad (GOP),Md. Wahidur Rahman Milki,314
Narayanganj 3,Janata Party,Abdul Karim Munshi,285
Narayanganj 3,Amar Bangladesh Party (AB),Ariful Islam,137
Narayanganj 4,National Citizen Party (NCP),Abdullah Al Amin,106171
Narayanganj 4,Jamiat Ulema-e-Islam Bangladesh,Monir Hossain,80619
Narayanganj 4,Independent Candidate (Independent),Md. Shah Alam,39589
Narayanganj 4,Islami Andolan Bangladesh (IAB),Md. Ismail Hossain Kawsar,16746
Narayanganj 4,Bangladesh Republican Party (BRP),Mohammad Ali,11328
Narayanganj 4,Independent Candidate (Independent),Mohammad Gias Uddin,8771
Narayanganj 4,Jatiya Party (JaPa),Md. Salauddin Khoka,817
Narayanganj 4,Bangladesh Khelafat Majlish (BKM),Anwar Hossain,800
Narayanganj 4,Bangladesh Supreme Party (BSP),Md. Selim Ahmed,643
Narayanganj 4,Communist Party of Bangladesh (CPB),Iqbal Hossain,479
Narayanganj 4,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Sulaiman Dewan,370
Narayanganj 4,Bangladesh Socialist Party (BASAD),Selim Mahmud,282
Narayanganj 4,Gono Odhikar Parishad (GOP),Md. Arif Bhuiyan,106
Narayanganj 5,Bangladesh Nationalist Party (BNP),Abul Kalam,114799
Narayanganj 5,Khelafat Majlis,A. B. M. Sirajul Mamun,101196
Narayanganj 5,Independent Candidate (Independent),Md. Maksud Hossain,34151
Narayanganj 5,Islami Andolan Bangladesh (IAB),Mawlana Md. Masum Billah,7708
Narayanganj 5,Islamic Front Bangladesh (IFB),Syed Bahadur Shah Mujaddedi,4650
Narayanganj 5,Communist Party of Bangladesh (CPB),Montu Chandra Ghosh,1575
Narayanganj 5,Ganosanhati Andolan (GSA),Tarikul Islam,1023
Narayanganj 5,Gono Odhikar Parishad (GOP),Md. Nahid Hossain,643
Narayanganj 5,Bangladesh Socialist Party (BASAD),Abu Naim Khan Biplob,370
Narayanganj 5,Bangladesh Cultural Liberation Front (Muktijot),H. M. Amzad Hossain Molla,242
Rajbari 1,Bangladesh Nationalist Party (BNP),Ali Newaz Mahmud Khaiyam,154541
Rajbari 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nurul Islam,101092
Rajbari 1,Zaker Party (ZP),Mohammad Ali Biswas,8087
Rajbari 1,Jatiya Party (JaPa),Khondaker Habibur Rahman,2586
Rajbari 2,Bangladesh Nationalist Party (BNP),Md. Harun-or-Rashid,237254
Rajbari 2,National Citizen Party (NCP),Jamil Hijazi,67299
Rajbari 2,Independent Candidate (Independent),Md. Nasirul Haque Sabu,36338
Rajbari 2,Islami Andolan Bangladesh (IAB),Mohammad Abdul Malek,8503
Rajbari 2,Jatiya Party (JaPa),Md. Shafiul Azam Khan,2052
Rajbari 2,Independent Candidate (Independent),Sohel Molla,1219
Rajbari 2,Gono Odhikar Parishad (GOP),Zahid Sheikh,633
Rajbari 2,Khelafat Majlis,Kazi Minhajul Alam,321
Rajbari 2,Bangladesh Cultural Liberation Front (Muktijot),Md. Abdul Malek Mondol,266
Faridpur 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ilias Mollah,154145
Faridpur 1,Bangladesh Nationalist Party (BNP),Khandaker Nasirul Islam,126476
Faridpur 1,Independent Candidate (Independent),Md. Abul Basar Khan,34387
Faridpur 1,Independent Candidate (Independent),Md. Golam Kabir Mia,2059
Faridpur 1,Bangladesh Minority People’s Party (BMJP),Mrinmoy Kanti Das,786
Faridpur 1,Jatiya Party (JaPa),Sultan Ahmed Khan,506
Faridpur 1,Independent Candidate (Independent),Md. Hasibur Rahman,455
Faridpur 1,Independent Candidate (Independent),Sheikh Abdur Rahman Ziko,84
