seat_name,party,candidate,votes
Jhalokathi 2,Bangladesh Jamaat-e-Islami (Jamaat),S. M. Niamul Karim,70556
Jhalokathi 2,Islami Andolan Bangladesh (IAB),Muhammad Sirajul Islam Siraji,24543
Jhalokathi 2,Independent Candidate (Independent),Syed Razzak Ali,3125
Jhalokathi 2,Gono Odhikar Parishad (GOP),Md. Mahmudul Islam Sagar,212
Jhalokathi 2,National People's Party (NPP),Forkan Hossain,127
Jhalokathi 2,Jatiya Samajtantrik Dal (JSD),Masud Parvez,105
Jhalokathi 2,Independent Candidate (Independent),Md. Nuruddin Sardar,77
Pirojpur 1,Bangladesh Jamaat-e-Islami (Jamaat),Masud Saeedi,132659
Pirojpur 1,Bangladesh Nationalist Party (BNP),Alamgir Hossain,107105
Pirojpur 2,Bangladesh Nationalist Party (BNP),Ahmed Sohel Manjur,105185
Pirojpur 2,Bangladesh Jamaat-e-Islami (Jamaat),Shamim Saeedi,96897
Pirojpur 2,Independent Candidate (Independent),Mahmud Hossain,16219
Pirojpur 2,Islami Andolan Bangladesh (IAB),Md. Abul Kalam Azad,6697
Pirojpur 2,Jatiya Party (JaPa),Md. Mahibul Hossain,4705
Pirojpur 2,Amar Bangladesh Party (AB),Faisal Khan,390
Pirojpur 2,Gono Odhikar Parishad (GOP),Md. Anisur Rahman,145
Pirojpur 3,Bangladesh Nationalist Party (BNP),Md. Ruhul Amin Dulal,63791
Pirojpur 3,National Citizen Party (NCP),Md. Shamim Hamidi,36616
Pirojpur 3,Islami Andolan Bangladesh (IAB),Md. Rustam Ali Farazi,35968
Pirojpur 3,Independent Candidate (Independent),Touhiduzzaman,231
Pirojpur 3,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Karim Sikder,212
Pirojpur 3,Jatiya Party (JaPa),Md. Mashrekul Azam (Rabi),169
Brahmanbaria 1,Bangladesh Nationalist Party (BNP),M. A. Hannan,68092
Brahmanbaria 1,Independent Candidate (Independent),A. K. M. Kamruzzaman,35220
Brahmanbaria 1,Bangladesh Jamaat-e-Islami (Jamaat),A. K. M. Aminul Islam,24430
Brahmanbaria 1,Independent Candidate (Independent),Iqbal Chowdhury,17666
Brahmanbaria 1,Islami Andolan Bangladesh (IAB),Hussain Ahmed,907
Brahmanbaria 1,Jatiya Party (JaPa),Md. Shah Alam,265
Brahmanbaria 1,Insaniyat Biplob Bangladesh,Md. Sharif Mridha,139
Brahmanbaria 1,Independent Candidate (Independent),Md. Habibur Rahman,106
Brahmanbaria 2,Independent Candidate (Independent),Rumin Farhana,118547
Brahmanbaria 2,Jamiat Ulema-e-Islam Bangladesh,Mohammad Junayed Al Habib,80434
Brahmanbaria 2,National Citizen Party (NCP),Ashraf Uddin,20401
Brahmanbaria 2,Independent Candidate (Independent),S. N. Tarun Dey,12560
Brahmanbaria 2,Islami Andolan Bangladesh (IAB),Nesar Ahmad,3851
Brahmanbaria 2,Insaniyat Biplob Bangladesh,Md. Main Uddin,1419
Brahmanbaria 2,Jatiya Party (JaPa),Adv. Md. Ziaul Haque Mridha,199
Brahmanbaria 2,Am Janata Party,Sharifa Akter,181
Brahmanbaria 2,Jatiya Samajtantrik Dal (JSD),Taimur Reza Md. Shahzad,0
Brahmanbaria 3,Bangladesh Nationalist Party (BNP),Md. Khaled Hossain Mahbub,209636
Brahmanbaria 3,National Citizen Party (NCP),Ataullah,62547
Brahmanbaria 3,Islami Andolan Bangladesh (IAB),Niazul Karim,6321
Brahmanbaria 3,Jatiya Party (JaPa),Md. Rezaul Islam Bhuiyan,3891
Brahmanbaria 3,Insaniyat Biplob Bangladesh,Md. Abu Hanif,3345
Brahmanbaria 3,Islamic Front Bangladesh (IFB),Ayesha Akter,1344
Brahmanbaria 3,Independent Candidate (Independent),Md. Omar Yusuf Khan,278
Brahmanbaria 4,Bangladesh Nationalist Party (BNP),Mushfiqur Rahman,139842
Brahmanbaria 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ataur Rahman Sarkar,91796
Brahmanbaria 4,Jatiya Party (JaPa),Md. Jahirul Haque Khan,2453
Brahmanbaria 4,Islami Andolan Bangladesh (IAB),Md. Jasim,2277
Brahmanbaria 4,Insaniyat Biplob Bangladesh,Rafi Uddin,773
Brahmanbaria 4,Gono Odhikar Parishad (GOP),Md. Jahirul Haque Chowdhury,117
Brahmanbaria 4,National People's Party (NPP),Shaheen Khan,109
Brahmanbaria 5,Bangladesh Nationalist Party (BNP),Md. Abdul Mannan,85769
Brahmanbaria 5,Independent Candidate (Independent),Kazi Nazmul Hossain,84708
Brahmanbaria 5,Bangladesh Khelafat Majlish (BKM),Amzad Hossain,60857
Brahmanbaria 5,Islami Andolan Bangladesh (IAB),Nazrul Islam,20696
Brahmanbaria 5,Jatiya Party (JaPa),Mohammad Kamrul Islam,372
Brahmanbaria 5,Communist Party of Bangladesh (CPB),Md. Shaheen Khan,359
Brahmanbaria 5,Ganosanhati Andolan (GSA),Nahida Jahan,266
Brahmanbaria 5,Insaniyat Biplob Bangladesh,Mohammad Ashraful Haque,257
Brahmanbaria 6,Ganosanhati Andolan (GSA),Md. Jonaed Abdur Rahim Saki,95342
Brahmanbaria 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mohsin,29976
Brahmanbaria 6,Islami Andolan Bangladesh (IAB),Saiduddin Khan,8572
Brahmanbaria 6,Bangladesh Islami Front,Md. Abu Naser,2353
Brahmanbaria 6,Independent Candidate (Independent),Dr. Md. Saiduzzaman Kamal,1926
Brahmanbaria 6,Independent Candidate (Independent),Mohammad Abu Kayes Sikder,666
Brahmanbaria 6,Gono Odhikar Parishad (GOP),Safiqul Islam,289
Brahmanbaria 6,Jatiya Samajtantrik Dal (JSD),K. M. Jabir,167
Brahmanbaria 6,Insaniyat Biplob Bangladesh,Md. Habibur Rahman,139
Brahmanbaria 6,National People's Party (NPP),Md. Safiqul Islam,106
Cumilla 1,Bangladesh Nationalist Party (BNP),Dr. Khandaker Mosharraf Hossain,141440
Cumilla 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Moniruzzaman,94845
Cumilla 1,Islami Andolan Bangladesh (IAB),Bashir Ahmed,6502
Cumilla 1,Jatiya Party (JaPa),Syed Md. Iftekhar Ahsan,631
Cumilla 1,Amar Bangladesh Party (AB),Md. Safiul Basar,511
Cumilla 1,Bangladesh Republican Party (BRP),Mohammad Abul Kalam,411
Cumilla 1,Independent Candidate (Independent),Omar Faruk,205
Cumilla 1,Independent Candidate (Independent),Abu Zayed Al Mahmud,201
Cumilla 1,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Barua Manojit Dhiman,144
Cumilla 2,Bangladesh Nationalist Party (BNP),Md. Selim Bhuiyan,77037
Cumilla 2,Independent Candidate (Independent),Md. Abdul Matin,63045
Cumilla 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nazim Uddin,53384
Cumilla 2,Islami Andolan Bangladesh (IAB),Mohammad Ashraful Alam,6611
Cumilla 2,Islamic Front Bangladesh (IFB),Md. Abdus Salam,767
Cumilla 2,Jatiya Party (JaPa),Md. Amir Hossain,570
Cumilla 3,Bangladesh Nationalist Party (BNP),Kazi Shah Mofazzal Hossain (Kaikobad),159291
Cumilla 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Yusuf Sohel,109599
