constituency_id,seat_name,seat_name_bn,district_bn,total_voters,total_votes_cast,valid_votes,rejected_votes,absent_voters,turnout_pct,rejection_pct,absence_pct,total_centers,total_candidates,avg_voters_per_center,bnp_plus_votes,bnp_plus_pct,eleven_parties_votes,eleven_parties_pct,duf_votes,duf_pct,ndf_votes,ndf_pct,greater_sunni_votes,greater_sunni_pct,independent_votes,independent_pct,other_party_votes,other_party_pct,bnp_votes,bnp_pct,jamaat_votes,jamaat_pct,ncp_votes,ncp_pct,winner_name,winner_party,winner_votes,winner_pct,runner_up_name,runner_up_party,runner_up_votes,margin,margin_pct,competitiveness,effective_num_candidates,Bangladesh Nationalist Party - BNP,Bangladesh Jamaat-e-Islami,Jatiyo Nagorik Party - NCP,Islamic Andolan Bangladesh,Bangladesh Khelafat Majlis,Jatiya Party,Khelafat Majlis,Gonodhikar Parishad - GOP,Jamiate Ulama-e-Islam Bangladesh,Bangladesh Islami Front,Liberal Democratic Party - LDP,Amar Bangladesh Party - AB Party,Bangladesh Development Party,Bangladesh Jatiya Party - BJP,Gonoshonghoti Andolon,Islamic Front Bangladesh,Communist Party of Bangladesh,Bangladesh Samajtantrik Dal - BASAD,Jonotar Dol,Biplabi Workers Party,Jatiya Samajtantrik Dal - JSD,Bangladesh Nezame Islam Party,National Party - JP,Insaniyat Biplob Bangladesh,Bangladesh Supreme Party - BSP,Zaker Party,Bangladesh Republican Party - BRP,Bangladesh Samajtantrik Dal (Marxist),Bangladesh Jatiyo Samajtantrik Dal - Jasod,Bangladesh Khilafat Andolan,Nagorik Oikko,Bangladesh Congress,Bangladesh Minority Janta Party - BMJP,Amjanatar Dol,National Peoples Party - NPP,Gonoforum,Bangladesh Labour Party,Bangladesh Muslim League,Bangladesh National Awami Party - Bangladesh NAP,Bangladesh Shanskritik Muktijot (Muktijot),Islami Oikyajote,Bangladesh Muslim League - BML,Jatiya Ganatantrik Party - JAGPA,Jatiyatabadi Ganotantrik Andolon - NDM,Bangladesh Nationalist Front - BNF,Bangladesh Jatiya Party,Gonofront,Bangladesh Kallyan Party,Ganotantri Party,Bangladesh Samadhikar Party - BEP
126,Jhalokathi 2,ঝালকাঠি-২,ঝালকাঠি,360997,212839,209049,3790,148158,59.0,1.78,41.0,147,8,2456,112615,53.9,68924,33.0,0,0.0,0,0.0,0,0.0,3156,1.5,24354,11.6,112279,53.7,68924,33.0,0,0.0,ইসরাত সুলতানা ইলেন ভূট্টো,Bangladesh Nationalist Party - BNP,112279,53.7,এস এম নেয়ামুল করিম,Bangladesh Jamaat-e-Islami,68924,43355,20.7,safe,2.43,112279,68924,,24249,,,,211,,,,,,,,,,,,,105,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,
127,Pirojpur 1,পিরোজপুর-১,পিরোজপুর,387987,241964,236736,5228,146023,62.4,2.16,37.6,167,2,2323,106112,44.8,130624,55.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,106112,44.8,130624,55.2,0,0.0,মাসুদ সাঈদী,Bangladesh Jamaat-e-Islami,130624,55.2,আলমগীর হোসেন,Bangladesh Nationalist Party - BNP,106112,24512,10.4,competitive,1.98,106112,130624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Pirojpur 2,পিরোজপুর-২,পিরোজপুর,405297,232375,227506,4869,172922,57.3,2.1,42.7,166,7,2442,104556,46.0,95561,42.0,0,0.0,4678,2.1,0,0.0,16073,7.1,6638,2.9,104413,45.9,95173,41.8,0,0.0,আহম্মদ সোহেল মনজুর,Bangladesh Nationalist Party - BNP,104413,45.9,শামীম সাঈদী,Bangladesh Jamaat-e-Islami,95173,9240,4.1,very_close,2.55,104413,95173,,6638,,,,143,,,,388,,,,,,,,,,,4678,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Pirojpur 3,পিরোজপুর-৩,পিরোজপুর,237744,137377,134683,2694,100367,57.8,1.96,42.2,85,6,2797,63138,46.9,35318,26.2,209,0.2,162,0.1,0,0.0,227,0.2,35629,26.5,63138,46.9,0,0.0,35318,26.2,মোঃ রুহুল আমীন দুলাল,Bangladesh Nationalist Party - BNP,63138,46.9,মোঃ রুস্তম আলী ফরাজী,Islamic Andolan Bangladesh,35629,27509,20.4,safe,2.79,63138,,35318,35629,,162,,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,
130,Tangail 1,টাংগাইল-১,টাঙ্গাইল,433693,284469,278612,5857,149224,65.6,2.06,34.4,148,6,2930,152908,54.9,93045,33.4,0,0.0,2137,0.8,0,0.0,28811,10.3,1711,0.6,152908,54.9,93045,33.4,0,0.0,ফকির মাহবুব আনাম,Bangladesh Nationalist Party - BNP,152908,54.9,‌মুহাম্মদ আব্দুল্লাহেল কাফী,Bangladesh Jamaat-e-Islami,93045,59863,21.5,safe,2.36,152908,93045,,1711,,2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Tangail 2,টাংগাইল-২,টাঙ্গাইল,413561,266355,261936,4419,147206,64.4,1.66,35.6,138,4,2997,195590,74.7,59873,22.9,0,0.0,1768,0.7,0,0.0,0,0.0,4705,1.8,195590,74.7,59873,22.9,0,0.0,মোঃ আবদুস সালাম পিন্টু,Bangladesh Nationalist Party - BNP,195590,74.7,মোঃ হুমায়ুন কবীর,Bangladesh Jamaat-e-Islami,59873,135717,51.8,safe,1.64,195590,59873,,4705,,1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Tangail 3,টাংগাইল-৩,টাঙ্গাইল,377365,232422,226773,5649,144943,61.6,2.43,38.4,122,5,3093,81734,36.0,33203,14.6,0,0.0,0,0.0,0,0.0,107843,47.6,3993,1.8,81734,36.0,0,0.0,33203,14.6,মোঃ লুৎফর রহমান খান আজাদ,Independent,106794,47.1,এস এম ওবায়দুল হক,Bangladesh Nationalist Party - BNP,81734,25060,11.1,competitive,2.68,81734,,33203,3993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Tangail 4,টাংগাইল-৪,টাঙ্গাইল,370039,225282,221376,3906,144757,60.9,1.73,39.1,114,6,3246,104243,47.1,48560,21.9,0,0.0,755,0.3,0,0.0,66027,29.8,1791,0.8,104243,47.1,48560,21.9,0,0.0,মোঃ লুৎফর রহমান,Bangladesh Nationalist Party - BNP,104243,47.1,আবদুল লতিফ সিদ্দিকী,Independent,61900,42343,19.1,competitive,2.87,104243,48560,,1791,,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Tangail 5,টাংগাইল-৫,টাঙ্গাইল,457173,289036,284704,4332,168137,63.2,1.5,36.8,130,10,3517,130610,45.9,78539,27.6,0,0.0,1620,0.6,1186,0.4,69027,24.2,3722,1.3,130133,45.7,78539,27.6,0,0.0,সুলতান সালাউদ্দিন টুকু,Bangladesh Nationalist Party - BNP,130133,45.7,আহছান হাবিব,Bangladesh Jamaat-e-Islami,78539,51594,18.1,competitive,2.91,130133,78539,,2559,,1620,,261,,,,,,,216,,,,,,1054,,,,1186,,,,,,,109,,,,,,,,,,,,,,,,,,
135,Tangail 6,টাংগাইল-৬,টাঙ্গাইল,462341,279240,273638,5602,183101,60.4,2.01,39.6,154,7,3002,149512,54.6,89643,32.8,0,0.0,4594,1.7,0,0.0,17955,6.6,11934,4.4,149512,54.6,89643,32.8,0,0.0,মোঃ রবিউল আওয়াল,Bangladesh Nationalist Party - BNP,149512,54.6,"এ,কে,এম আব্দুল হামিদ",Bangladesh Jamaat-e-Islami,89643,59869,21.9,safe,2.43,149512,89643,,11934,,1134,,,,,,,,,,,,,,,,,3460,,,,,,,,,,,,,,,,,,,,,,,,,,,
