district,district_bn,seat_count,total_voters,total_votes_cast,valid_votes,rejected_votes,absent_voters,turnout_pct,rejection_pct,absence_pct,total_centers,total_candidates,avg_voters_per_center,avg_candidates_per_seat,safe_seats,competitive_seats,marginal_seats,very_close_seats,bnp_plus_votes,bnp_plus_pct,eleven_parties_votes,eleven_parties_pct,duf_votes,duf_pct,ndf_votes,ndf_pct,greater_sunni_votes,greater_sunni_pct,independent_votes,independent_pct,other_party_votes,other_party_pct,bnp_votes,bnp_pct,jamaat_votes,jamaat_pct,ncp_votes,ncp_pct,leading_party,leading_party_votes,leading_party_pct,runner_up_party,runner_up_votes,runner_up_pct,vote_margin,vote_margin_pct,most_winning_seats_party,most_winning_seats_count,bnp_won_seats,jamaat_won_seats,ncp_won_seats,independent_won_seats,other_party_won_seats,effective_num_parties
Rajbari,রাজবাড়ী,2,976759,625904,611578,14326,350855,64.08,2.29,35.92,354,13,2759.21,6.5,2,0,0,0,388774,63.57,164551,26.91,0,0.0,4795,0.78,0,0.0,37048,6.06,16410,2.68,388143,63.47,98966,16.18,65293,10.68,Bangladesh Nationalist Party - BNP,388143,63.47,Bangladesh Jamaat-e-Islami,98966,16.18,289177,47.28,Bangladesh Nationalist Party - BNP,2,2,0,0,0,0,2.25
Rajshahi,রাজশাহী,6,2269477,1626361,1589651,36710,643116,71.66,2.26,28.34,778,32,2917.07,5.33,2,2,0,2,880674,55.4,684501,43.06,0,0.0,6897,0.43,930,0.06,11846,0.75,4803,0.3,880277,55.38,682282,42.92,0,0.0,Bangladesh Nationalist Party - BNP,880277,55.38,Bangladesh Jamaat-e-Islami,682282,42.92,197995,12.46,Bangladesh Nationalist Party - BNP,4,4,2,0,0,0,2.04
Rangamati,রাঙ্গামাটি,1,503907,270014,260598,9416,233893,53.58,3.49,46.42,213,7,2365.76,7.0,1,0,0,0,201346,77.26,21776,8.36,0,0.0,2914,1.12,0,0.0,30996,11.89,3566,1.37,199855,76.69,0,0.0,0,0.0,Bangladesh Nationalist Party - BNP,199855,76.69,Independent,30996,11.89,168859,64.8,Bangladesh Nationalist Party - BNP,1,1,0,0,0,0,1.64
Rangpur,রংপুর,6,2575613,1701753,1664148,37605,873860,66.07,2.21,33.93,873,45,2950.3,7.5,3,1,0,2,603869,36.29,897448,53.93,2400,0.14,128103,7.7,1087,0.07,1715,0.1,29526,1.77,603869,36.29,748596,44.98,147947,8.89,Bangladesh Jamaat-e-Islami,748596,44.98,Bangladesh Nationalist Party - BNP,603869,36.29,144727,8.7,Bangladesh Jamaat-e-Islami,5,0,5,1,0,0,2.87
Satkhira,সাতক্ষীরা,4,1814005,1315291,1293733,21558,498714,72.51,1.64,27.49,609,20,2978.66,5.0,2,1,1,0,425261,32.87,742440,57.39,291,0.02,8528,0.66,0,0.0,104605,8.09,12608,0.97,425261,32.87,742440,57.39,0,0.0,Bangladesh Jamaat-e-Islami,742440,57.39,Bangladesh Nationalist Party - BNP,425261,32.87,317179,24.52,Bangladesh Jamaat-e-Islami,4,0,4,0,0,0,2.25
Shariatpur,শরিয়তপুর,3,1133940,571905,557911,13994,562035,50.44,2.45,49.56,392,21,2892.7,7.0,2,0,1,0,312540,56.02,197660,35.43,0,0.0,4568,0.82,614,0.11,15303,2.74,27226,4.88,311709,55.87,135819,24.34,368,0.07,Bangladesh Nationalist Party - BNP,311709,55.87,Bangladesh Jamaat-e-Islami,135819,24.34,175890,31.53,Bangladesh Nationalist Party - BNP,3,3,0,0,0,0,2.59
Sherpur,শেরপুর,2,881825,506664,496643,10021,375161,57.46,1.98,42.54,299,10,2949.25,5.0,0,1,0,1,195249,39.31,233979,47.11,0,0.0,735,0.15,0,0.0,61933,12.47,4747,0.96,195249,39.31,232523,46.82,452,0.09,Bangladesh Jamaat-e-Islami,232523,46.82,Bangladesh Nationalist Party - BNP,195249,39.31,37274,7.51,Bangladesh Jamaat-e-Islami,1,1,1,0,0,0,2.57
Sirajganj,সিরাজগঞ্জ,6,2665716,1720852,1688875,31977,944864,64.55,1.86,35.45,923,39,2888.1,6.5,1,3,0,2,932752,55.23,728187,43.12,3006,0.18,7279,0.43,1130,0.07,1922,0.11,14599,0.86,930944,55.12,509901,30.19,102185,6.05,Bangladesh Nationalist Party - BNP,930944,55.12,Bangladesh Jamaat-e-Islami,509901,30.19,421043,24.93,Bangladesh Nationalist Party - BNP,6,6,0,0,0,0,2.48
Sunamganj,সুনামগঞ্জ,5,2062138,1055434,1030855,24579,1006704,51.18,2.33,48.82,720,23,2864.08,4.6,4,1,0,0,604950,58.68,351055,34.05,1210,0.12,3269,0.32,0,0.0,68462,6.64,1909,0.19,604527,58.64,328320,31.85,0,0.0,Bangladesh Nationalist Party - BNP,604527,58.64,Bangladesh Jamaat-e-Islami,328320,31.85,276207,26.79,Bangladesh Nationalist Party - BNP,5,5,0,0,0,0,2.22
Sylhet,সিলেট,6,2871025,1391712,1359086,32626,1479313,48.47,2.34,51.53,1016,33,2825.81,5.5,3,1,0,2,770893,56.72,484468,35.65,2792,0.21,7456,0.55,0,0.0,84537,6.22,8940,0.66,699784,51.49,297187,21.87,0,0.0,Bangladesh Nationalist Party - BNP,699784,51.49,Bangladesh Jamaat-e-Islami,297187,21.87,402597,29.62,Bangladesh Nationalist Party - BNP,5,5,0,0,0,1,3.04
Tangail,টাঙ্গাইল,8,3294307,2043477,2005521,37956,1250830,62.03,1.86,37.97,1063,47,3099.07,5.88,4,4,0,0,1069571,53.33,527524,26.3,0,0.0,11433,0.57,1186,0.06,366131,18.26,29676,1.48,1068587,53.28,494321,24.65,33203,1.66,Bangladesh Nationalist Party - BNP,1068587,53.28,Bangladesh Jamaat-e-Islami,494321,24.65,574266,28.63,Bangladesh Nationalist Party - BNP,7,7,0,0,1,0,2.64
Thakurgaon,ঠাকুরগাঁও,3,1205517,894664,875902,18762,310853,74.21,2.1,25.79,417,20,2890.93,6.67,1,1,0,1,491759,56.14,345254,39.42,1908,0.22,29901,3.41,503,0.06,276,0.03,6301,0.72,489371,55.87,344808,39.37,0,0.0,Bangladesh Nationalist Party - BNP,489371,55.87,Bangladesh Jamaat-e-Islami,344808,39.37,144563,16.5,Bangladesh Nationalist Party - BNP,3,3,0,0,0,0,2.14
