seat,party,ec_votes,our_votes,diff,diff_pct
Chattogram 11,Bangladesh Samajtantrik Dal (Marxist),216,231,15,6.9
Chattogram 11,Bangladesh Samajtantrik Dal - BASAD,119,120,1,0.8
Chattogram 11,Gonodhikar Parishad - GOP,102,104,2,2.0
Chattogram 11,Gonoforum,298,307,9,3.0
Chattogram 11,Independent,170,178,8,4.7
Chattogram 11,Insaniyat Biplob Bangladesh,204,210,6,2.9
Chattogram 11,Islamic Andolan Bangladesh,2511,2557,46,1.8
Chattogram 11,Islamic Front Bangladesh,5096,0,-5096,-100.0
Chattogram 11,Jatiya Party,974,1004,30,3.1
Chattogram 12,Bangladesh Islami Front,28777,28999,222,0.8
Chattogram 12,Bangladesh Jamaat-e-Islami,20942,21706,764,3.6
Chattogram 12,Bangladesh Nationalist Party - BNP,134080,135044,964,0.7
Chattogram 12,Independent,235,243,8,3.4
Chattogram 12,Insaniyat Biplob Bangladesh,923,929,6,0.7
Chattogram 12,Islamic Andolan Bangladesh,879,901,22,2.5
Chattogram 12,Jatiya Party,725,732,7,1.0
Chattogram 12,Liberal Democratic Party - LDP,102,118,16,15.7
Chattogram 13,Bangladesh Islami Front,51062,51450,388,0.8
Chattogram 13,Bangladesh Jamaat-e-Islami,34035,35030,995,2.9
Chattogram 13,Bangladesh Nationalist Party - BNP,125460,126192,732,0.6
Chattogram 13,Gonodhikar Parishad - GOP,168,168,0,0.0
Chattogram 13,Insaniyat Biplob Bangladesh,189,191,2,1.1
Chattogram 13,Jatiya Party,428,440,12,2.8
Chattogram 13,Jatiyatabadi Ganotantrik Andolon - NDM,204,204,0,0.0
Chattogram 14,Bangladesh Islami Front,22617,22992,375,1.7
Chattogram 14,Bangladesh Nationalist Party - BNP,75779,76493,714,0.9
Chattogram 14,Independent,4749,4795,46,1.0
Chattogram 14,Insaniyat Biplob Bangladesh,149,149,0,0.0
Chattogram 14,Islamic Andolan Bangladesh,1499,1539,40,2.7
Chattogram 14,Jatiya Party,286,293,7,2.4
Chattogram 14,Liberal Democratic Party - LDP,72943,75467,2524,3.5
Chattogram 15,Bangladesh Jamaat-e-Islami,171689,181238,9549,5.6
Chattogram 15,Bangladesh Nationalist Party - BNP,129300,130661,1361,1.1
Chattogram 15,Islamic Andolan Bangladesh,2873,2909,36,1.3
Chattogram 16,Bangladesh Islami Front,0,844,844,0
Chattogram 16,Bangladesh Jamaat-e-Islami,89960,93167,3207,3.6
Chattogram 16,Bangladesh Muslim League,104,0,-104,-100.0
Chattogram 16,Bangladesh Muslim League - BML,0,105,105,0
Chattogram 16,Bangladesh Nationalist Party - BNP,82237,83105,868,1.1
Chattogram 16,Gonodhikar Parishad - GOP,241,243,2,0.8
Chattogram 16,Independent,55071,55492,421,0.8
Chattogram 16,Islamic Andolan Bangladesh,3978,4054,76,1.9
Chattogram 16,Islamic Front Bangladesh,811,0,-811,-100.0
Chattogram 3,Bangladesh Jamaat-e-Islami,37157,39662,2505,6.7
Chattogram 3,Bangladesh Nationalist Party - BNP,72353,73037,684,0.9
Chattogram 3,Independent,292,308,16,5.5
Chattogram 3,Islamic Andolan Bangladesh,5055,5145,90,1.8
Chattogram 5,Bangladesh Islami Front,0,15420,15420,0
Chattogram 5,Bangladesh Khelafat Majlis,44630,0,-44630,-100.0
Chattogram 5,Bangladesh Labour Party,278,396,118,42.4
Chattogram 5,Bangladesh Nationalist Party - BNP,145392,147054,1662,1.1
Chattogram 5,Independent,1091,1129,38,3.5
Chattogram 5,Islamic Andolan Bangladesh,2332,2422,90,3.9
Chattogram 5,Islamic Front Bangladesh,15165,0,-15165,-100.0
Chattogram 5,Khelafat Majlis,0,46589,46589,0
Chattogram 6,Bangladesh Islami Front,26696,27146,450,1.7
Chattogram 6,Bangladesh Jamaat-e-Islami,21013,22118,1105,5.3
Chattogram 6,Bangladesh Nationalist Party - BNP,111201,112237,1036,0.9
Chattogram 6,Gonoshonghoti Andolon,820,829,9,1.1
Chattogram 7,Amar Bangladesh Party - AB Party,156,158,2,1.3
Chattogram 7,Bangladesh Islami Front,29633,30239,606,2.0
Chattogram 7,Bangladesh Jamaat-e-Islami,39485,41719,2234,5.7
Chattogram 7,Bangladesh Nationalist Party - BNP,100242,101445,1203,1.2
Chattogram 7,Communist Party of Bangladesh,419,441,22,5.3
Chattogram 7,Gonodhikar Parishad - GOP,128,129,1,0.8
Chattogram 7,Islamic Andolan Bangladesh,1259,1307,48,3.8
Chattogram 7,Jatiya Party,406,411,5,1.2
Chattogram 8,Bangladesh Islami Front,42117,42585,468,1.1
Chattogram 8,Bangladesh Jamaat-e-Islami,52033,53564,1531,2.9
Chattogram 8,Bangladesh Nationalist Party - BNP,151737,152969,1232,0.8
Chattogram 8,Insaniyat Biplob Bangladesh,870,884,14,1.6
Chattogram 8,Islamic Andolan Bangladesh,1188,1208,20,1.7
Chattogram 8,Jatiyo Nagorik Party - NCP,2906,3349,443,15.2
Chattogram 9,Bangladesh Islami Front,0,4204,4204,0
Chattogram 9,Bangladesh Jamaat-e-Islami,52382,53807,1425,2.7
Chattogram 9,Bangladesh Nationalist Party - BNP,108522,109388,866,0.8
Chattogram 9,Bangladesh Samajtantrik Dal (Marxist),488,494,6,1.2
Chattogram 9,Gonoshonghoti Andolon,1025,1040,15,1.5
Chattogram 9,Insaniyat Biplob Bangladesh,109,112,3,2.8
Chattogram 9,Islamic Andolan Bangladesh,925,941,16,1.7
Chattogram 9,Islamic Front Bangladesh,4168,0,-4168,-100.0
Chattogram 9,Jatiya Samajtantrik Dal - JSD,124,128,4,3.2
Chattogram 9,Jonotar Dol,553,561,8,1.4
Chattogram 9,Nagorik Oikko,95,107,12,12.6
Chuadanga 1,Bangladesh Jamaat-e-Islami,208300,211041,2741,1.3
Chuadanga 1,Bangladesh Nationalist Party - BNP,152382,153193,811,0.5
Chuadanga 1,Islamic Andolan Bangladesh,10033,10122,89,0.9
Chuadanga 2,Bangladesh Jamaat-e-Islami,205422,208011,2589,1.3
Chuadanga 2,Bangladesh Nationalist Party - BNP,162712,163877,1165,0.7
Chuadanga 2,Islamic Andolan Bangladesh,6282,6374,92,1.5
