seat,ec_id,ec_valid,our_tvc,our_known,tvc_diff,known_diff,ec_ncand,our_ncand,ec_winner_party,ec_winner_votes,our_winner,our_winner_votes,winner_vote_diff
Barishal 4,122,237213,240506,240506,3293,3293,5,5,Bangladesh Nationalist Party - BNP,127192,Md. Rajib Ahsan,128322,1130
Barishal 5,123,249815,254379,254379,4564,4564,6,6,Bangladesh Nationalist Party - BNP,133008,Md. Mojibur Rahman Sarwar,135146,2138
Barishal 6,124,165162,168100,168100,2938,2938,6,6,Bangladesh Nationalist Party - BNP,81087,Abul Hossain Khan,82217,1130
Jhalokathi 1,125,126722,129000,129000,2278,2278,10,10,Bangladesh Nationalist Party - BNP,61216,Rafiqul Islam Jamal,62010,794
Jhalokathi 2,126,209049,212164,212164,3115,3115,8,8,Bangladesh Nationalist Party - BNP,112279,Israt Sultana Ilein Bhutto,113419,1140
Pirojpur 1,127,236736,239764,239764,3028,3028,2,2,Bangladesh Jamaat-e-Islami,130624,Masud Sayeedi,132659,2035
Pirojpur 2,128,227506,230238,230238,2732,2732,7,7,Bangladesh Nationalist Party - BNP,104413,Ahmad Sohail Manzoor,105185,772
Pirojpur 3,129,134683,136987,136987,2304,2304,6,6,Bangladesh Nationalist Party - BNP,63138,Md. Ruhul Amin Dulal,63791,653
Jamalpur 1,138,274580,271476,271476,-3104,-3104,5,5,Bangladesh Nationalist Party - BNP,172568,M. Rashiduzzaman Millat,173656,1088
Jamalpur 2,139,158900,160181,160181,1281,1281,4,4,Bangladesh Nationalist Party - BNP,95378,"A. , E. , Sultan Mahmud Babu",95860,482
Jamalpur 3,140,312893,316146,316146,3253,3253,9,9,Bangladesh Nationalist Party - BNP,206214,Md. Mostafizur Rahman Babul,207412,1198
Jamalpur 4,141,194048,195731,195731,1683,1683,6,6,Bangladesh Nationalist Party - BNP,146546,Md. Faridul Kabir Talukder,147406,860
Jamalpur 5,142,320407,322457,322457,2050,2050,10,8,Bangladesh Nationalist Party - BNP,198292,Shah Md. Waresh Ali Mamun,199344,1052
Sherpur 1,143,266869,269980,269980,3111,3111,6,6,Bangladesh Jamaat-e-Islami,125941,Md. Rashedul Islam Rashed,127811,1870
Sherpur 2,144,229774,232722,232722,2948,2948,4,4,Bangladesh Nationalist Party - BNP,117441,Mohammad Fahim Chowdhury,118472,1031
Netrakona 1,157,251496,253829,253929,2333,2433,6,6,Bangladesh Nationalist Party - BNP,156924,Barrister Kaiser Kamal,158434,1510
Netrakona 2,158,257275,260851,276071,3576,18796,5,6,Bangladesh Nationalist Party - BNP,169140,Md. Anwarul Haque,171399,2259
Netrakona 3,159,229723,232678,232678,2955,2955,6,6,Bangladesh Nationalist Party - BNP,117318,Rafiqul Islam Hilali,118469,1151
Netrakona 4,160,204095,205730,206307,1635,2212,5,5,Bangladesh Nationalist Party - BNP,159167,Md. Lutfuzzaman Babar,160801,1634
Netrakona 5,161,163233,169930,169930,6697,6697,3,3,Bangladesh Jamaat-e-Islami,81252,Machum Mustafa,82177,925
Kishoreganj 1,162,262385,265551,265551,3166,3166,8,8,Bangladesh Nationalist Party - BNP,122945,Md. Mazharul Islam,124035,1090
Kishoreganj 2,163,268412,272616,272616,4204,4204,7,8,Bangladesh Nationalist Party - BNP,142616,Advocate Md. Jalal Uddin,143669,1053
Kishoreganj 3,164,226659,228764,228764,2105,2105,7,7,Bangladesh Nationalist Party - BNP,111638,Dr. Muhammad Osman Farooq,112466,828
