constituency_id,constituency_name,zilla_name,candidate_name,candidate_symbol,votes,total_centers,total_voters,valid_votes,rejected_votes,absent_voters
10,দিনাজপুর-৫,দিনাজপুর,মোঃ রুস্তম আলী,মোটর সাইকেল,562,141,473429,330053,8581,134795
11,দিনাজপুর-৬,দিনাজপুর,আবু জাফর মোঃ জাহিদ হোসেন,ধানের শীষ,203887,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ আনোয়ারুল ইসলাম,দাঁড়িপাল্লা,188719,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ রেজাউল হক,লাঙ্গল,2669,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ নূর আলম সিদ্দিক,হাতপাখা,1642,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ আবদুল হাকিম,মই,447,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ আব্দুল্লাহ্‌,ফুটবল,411,199,553211,397922,9355,145934
11,দিনাজপুর-৬,দিনাজপুর,মোঃ শাহনেওয়াজ ফিরোজ শুভ শাহ,ঘোড়া,147,199,553211,397922,9355,145934
12,নীলফামারী-১,নীলফামারী,মোঃ আব্দুস সাত্তার,দাঁড়িপাল্লা,149214,154,456603,290779,6120,159704
12,নীলফামারী-১,নীলফামারী,মাওলানা মোঃ মন্জুরুল ইসলাম,খেজুর গাছ,118160,154,456603,290779,6120,159704
12,নীলফামারী-১,নীলফামারী,মোঃ তছলিম উদ্দিন ,লাঙ্গল,12105,154,456603,290779,6120,159704
12,নীলফামারী-১,নীলফামারী,মোঃ মখদুম আজম মাশরাফী,বাইসাইকেল,4499,154,456603,290779,6120,159704
12,নীলফামারী-১,নীলফামারী,জেবেল রহমান গানি,গাভী,4435,154,456603,290779,6120,159704
12,নীলফামারী-১,নীলফামারী,মোঃ আঃ জলিল,হাতপাখা,1854,154,456603,290779,6120,159704
12,নীলফামারী-১,নীলফামারী,মোঃ রফিকুল ইসলাম,কাঁচি,304,154,456603,290779,6120,159704
12,নীলফামারী-১,নীলফামারী,মোঃ সিরাজুল ইসলাম,টেলিভিশন,208,154,456603,290779,6120,159704
13,নীলফামারী-২,নীলফামারী,আলফারুক আব্দুল লতীফ,দাঁড়িপাল্লা,145202,134,382969,283845,4435,94689
13,নীলফামারী-২,নীলফামারী,শাহরিন ইসলাম,ধানের শীষ,134579,134,382969,283845,4435,94689
13,নীলফামারী-২,নীলফামারী,হাছিবুল ইসলাম,হাতপাখা,3236,134,382969,283845,4435,94689
13,নীলফামারী-২,নীলফামারী,মোঃ সরোয়ারুল আলম,দেওয়াল ঘড়ি,346,134,382969,283845,4435,94689
13,নীলফামারী-২,নীলফামারী,মোঃ মিনহাজুল ইসলাম মিনহাজ,ফুটবল,293,134,382969,283845,4435,94689
13,নীলফামারী-২,নীলফামারী,মোঃ সিরাজুল ইসলাম,টেলিভিশন,189,134,382969,283845,4435,94689
14,নীলফামারী-৩,নীলফামারী,ওবায়দুল্লাহ সালাফী,দাঁড়িপাল্লা,108560,105,292070,202009,3755,86306
14,নীলফামারী-৩,নীলফামারী,আলহাজ্ব সৈয়দ আলী,ধানের শীষ,89102,105,292070,202009,3755,86306
14,নীলফামারী-৩,নীলফামারী,মোঃ রোহান চৌধুরী,লাঙ্গল,3362,105,292070,202009,3755,86306
14,নীলফামারী-৩,নীলফামারী,মোঃ আমজাদ হোসেন (সরকার),হাতপাখা,985,105,292070,202009,3755,86306
15,নীলফামারী-৪,নীলফামারী,আব্দুল মুনতাকিম,দাঁড়িপাল্লা,124865,169,448646,287879,6983,153784
15,নীলফামারী-৪,নীলফামারী,মোঃ আবদুল গফুর সরকার,ধানের শীষ,81526,169,448646,287879,6983,153784
15,নীলফামারী-৪,নীলফামারী,মোঃ সিদ্দিকুল আলম,লাঙ্গল,67246,169,448646,287879,6983,153784
