seat_name,candidate,party,votes
Kushtia 4,Syed Mehdi Ahmed Rumi,Bangladesh Nationalist Party (BNP),139603
Chuadanga 1,Md. Masood Parvez,Bangladesh Jamaat-e-Islami (Jamaat),211041
Chuadanga 1,Md. Sharifuzzaman,Bangladesh Nationalist Party (BNP),153193
Chuadanga 2,Md. Ruhul Amin,Bangladesh Jamaat-e-Islami (Jamaat),208011
Chuadanga 2,Mahmud Hasan Khan,Bangladesh Nationalist Party (BNP),163877
Jhenaidah 1,Md. Asaduzzaman,Bangladesh Nationalist Party (BNP),173381
Jhenaidah 1,Abu Saleh Md. Matiur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),57055
Jhenaidah 2,Ali Azam Md. Abu Bakr,Bangladesh Jamaat-e-Islami (Jamaat),195702
Jhenaidah 2,Md. Abdul Majeed,Bangladesh Nationalist Party (BNP),175984
Jhenaidah 3,Md. Motiyar Rahman,Bangladesh Jamaat-e-Islami (Jamaat),175857
Jhenaidah 3,Mohammad Mehdi Hasan,Bangladesh Nationalist Party (BNP),149821
Jhenaidah 4,Md. Abu Talib,Bangladesh Jamaat-e-Islami (Jamaat),105999
Jhenaidah 4,Md. Saiful Islam Feroze,Independent Candidate (Independent),77104
Jashore 1,Muhammad Azizur Rahman.,Bangladesh Jamaat-e-Islami (Jamaat),119093
Jashore 1,Md Nuruzzaman Liton,Bangladesh Nationalist Party (BNP),93542
Jashore 2,Mohammad Moslehuddin Farid,Bangladesh Jamaat-e-Islami (Jamaat),180965
Jashore 2,Deleted: Sabira Sultana,Bangladesh Nationalist Party (BNP),146447
Jashore 3,Anindya Islam Amit,Bangladesh Nationalist Party (BNP),201339
Jashore 3,Md. Abdul Quader,Bangladesh Jamaat-e-Islami (Jamaat),187463
Jashore 4,Md. Gholam Rashul,Bangladesh Jamaat-e-Islami (Jamaat),176912
Jashore 4,মতিয়ার রহমান ফারাজী,Bangladesh Nationalist Party (BNP),131917
Jashore 5,Gazi Enamul Haque,Bangladesh Jamaat-e-Islami (Jamaat),132876
Jashore 5,Shahid Md. Iqbal Hossain,Independent Candidate (Independent),85045
Jashore 6,Md. Mokhtar Ali,Bangladesh Jamaat-e-Islami (Jamaat),92234
Jashore 6,Md. Abul Hossain Azad,Bangladesh Nationalist Party (BNP),80141
Magura 1,Md. Monowar Hossain,Bangladesh Nationalist Party (BNP),185338
Magura 1,Abdul Mateen,Bangladesh Jamaat-e-Islami (Jamaat),89691
Magura 2,Nitai Roy Chowdhury,Bangladesh Nationalist Party (BNP),147896
Magura 2,Md. Mushtarshed Billah,Bangladesh Jamaat-e-Islami (Jamaat),117018
Narail 1,Biswas Jahangir Alam,Bangladesh Nationalist Party (BNP),99975
Narail 1,Md. Obaidullah,Bangladesh Jamaat-e-Islami (Jamaat),75225
Narail 2,Md. Ataur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),118142
Narail 2,Md. Monirul Islam,Independent Candidate (Independent),78457
Bagerhat 1,Md. Moshiur Rahman Khan,Bangladesh Jamaat-e-Islami (Jamaat),117527
Bagerhat 1,Kapil Krishna Mandal,Bangladesh Nationalist Party (BNP),114323
Bagerhat 2,Sheikh Manjurul Haque (Rahad),Bangladesh Jamaat-e-Islami (Jamaat),117709
Bagerhat 2,Sheikh Mohammad Zakir Hossain,Bangladesh Nationalist Party (BNP),66409
Bagerhat 3,Sheikh Faridul Islam,Bangladesh Nationalist Party (BNP),102661
Bagerhat 3,Mohammad Abdul Wadud Sheikh,Bangladesh Jamaat-e-Islami (Jamaat),83550
Bagerhat 4,Md. Abdul Alim,Bangladesh Jamaat-e-Islami (Jamaat),116067
Bagerhat 4,Som Nath De,Bangladesh Nationalist Party (BNP),98326
Khulna 1,Ameer Ejaz Khan,Bangladesh Nationalist Party (BNP),121352
Khulna 1,Krishna Nandi,Bangladesh Jamaat-e-Islami (Jamaat),70346
Khulna 2,Sheikh Jahangir Hussain Helal,Bangladesh Jamaat-e-Islami (Jamaat),93789
Khulna 2,Nazrul Islam Manju,Bangladesh Nationalist Party (BNP),88197
Khulna 3,Rakibul Islam,Bangladesh Nationalist Party (BNP),74845
Khulna 3,Mohammad Mahfuzur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),66010
Khulna 4,SK Azizul Bari,Bangladesh Nationalist Party (BNP),123162
Khulna 4,SM Sakhawat Hossain,Khelafat Majlis,109530
Khulna 5,Mohammad Ali Asghar,Bangladesh Nationalist Party (BNP),148854
Khulna 5,Mia Golam Parwar,Bangladesh Jamaat-e-Islami (Jamaat),146246
Khulna 6,Md. Abul Kalam Azad,Bangladesh Jamaat-e-Islami (Jamaat),150724
Khulna 6,SM Monirul Hasan (Bappi),Bangladesh Nationalist Party (BNP),124710
Satkhira 1,Md. Izzatullah,Bangladesh Jamaat-e-Islami (Jamaat),193772
Satkhira 1,Md. Habibul Islam Habib,Bangladesh Nationalist Party (BNP),169995
Satkhira 2,Muhammad Abdul Khaliq,Bangladesh Jamaat-e-Islami (Jamaat),266959
Satkhira 2,Md Abdur Rauf,Bangladesh Nationalist Party (BNP),116293
Satkhira 3,Hafez Muha: Rabiul Bashar,Bangladesh Jamaat-e-Islami (Jamaat),184233
Satkhira 3,Md. Shahidul Alam,Independent Candidate (Independent),105379
Satkhira 4,"G, M, Nazrul Islam",Bangladesh Jamaat-e-Islami (Jamaat),106913
Satkhira 4,Md. Moniruzzaman,Bangladesh Nationalist Party (BNP),85426
Barguna 1,Md. Ali Ullah,Islami Andolan Bangladesh (IAB),140291
Barguna 1,Md. Nazrul Islam Mollah,Bangladesh Nationalist Party (BNP),136145
Barguna 2,Md. Nurul Islam,Bangladesh Nationalist Party (BNP),90643
Barguna 2,Dr. Sultan Ahmad,Bangladesh Jamaat-e-Islami (Jamaat),85247
Patuakhali 1,Altaf Hossain Chowdhury,Bangladesh Nationalist Party (BNP),152087
Patuakhali 1,Md Feroze Alam,Islami Andolan Bangladesh (IAB),58161
Patuakhali 2,Md. Shafiqul Islam,Bangladesh Jamaat-e-Islami (Jamaat),100750
Patuakhali 2,Md. Sahidul Alam Talukder,Bangladesh Nationalist Party (BNP),72676
Patuakhali 3,Md. Nurul Haque,Gono Odhikar Parishad (GOP),97323
Patuakhali 3,Md Hasan Mamun,Independent Candidate (Independent),81361
Patuakhali 4,ABM Mosharraf Hossain,Bangladesh Nationalist Party (BNP),124013
Patuakhali 4,Mostafizur Rahman,Islami Andolan Bangladesh (IAB),70127
Bhola 1,Andaliv Rahman,Bangladesh Jatiya Party (BJP),105543
Bhola 1,Md. Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),75337
Bhola 2,Md. Hafiz Ibrahim,Bangladesh Nationalist Party (BNP),119085
Bhola 2,Mohammad Fazlul Karim,Bangladesh Jamaat-e-Islami (Jamaat),93703
Bhola 3,Hafiz Uddin Ahmad Bir Bikram,Bangladesh Nationalist Party (BNP),145990
Bhola 3,Muha: Nizamul Haque,Bangladesh Development Party (BDP),57351
Bhola 4,Mohammad Nurul Islam,Bangladesh Nationalist Party (BNP),189351
Bhola 4,Mohammad Mustafa Kamal,Bangladesh Jamaat-e-Islami (Jamaat),81437
Barishal 1,Zahir Uddin Swapan,Bangladesh Nationalist Party (BNP),100522
Barishal 1,Md. Kamrul Islam Khan,Bangladesh Jamaat-e-Islami (Jamaat),46263
