seat,rule,merged_name,merged_source,merged_party,merged_votes,into_name,into_sources,into_party,into_votes,similarity,note
Bandarban 1,1,Abu Jafar Md. Wali Ullah,ds,Jatiya Party (JaPa),ds=2435,Abu Zafar Md. Wali Ullah,tbs,Jatiya Party (JaPa),tbs=2435,0.96,name+party match (sim=0.96) [vote-boosted]
Bandarban 1,1,Abu Zafar Mohammad Waliullah,dt,Jatiya Party (JaPa),dt=2435,Abu Zafar Md. Wali Ullah,"ds,tbs",Jatiya Party (JaPa),ds=2435; tbs=2435,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 1,1,Md. Nazrul Islam Molla,ds,Bangladesh Nationalist Party (BNP),ds=136145,Md. Nazrul Islam Molla,tbs,Bangladesh Nationalist Party (BNP),tbs=136145,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 1,1,Md. Nazrul Islam Mollah,bss,Bangladesh Nationalist Party (BNP),bss=136145,Md. Nazrul Islam Molla,"ds,tbs",Bangladesh Nationalist Party (BNP),ds=136145; tbs=136145,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 1,1,Md. Nazrul Islam Mollah,dt,Bangladesh Nationalist Party (BNP),dt=136145,Md. Nazrul Islam Mollah,"bss,ds,tbs",Bangladesh Nationalist Party (BNP),bss=136145; ds=136145; tbs=136145,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 1,1,Md. Jahangir Hossain,ds,Khelafat Majlis,ds=6232,Md. Jahangir Hossain,tbs,Khelafat Majlis,tbs=6232,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 1,1,Md. Jahangir Hossain,dt,Khelafat Majlis,dt=6232,Md. Jahangir Hossain,"ds,tbs",Khelafat Majlis,ds=6232; tbs=6232,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 1,1,Md. Ali Ullah,ds,Islami Andolan Bangladesh (IAB),ds=140291,Md. Ali Ullah,tbs,Islami Andolan Bangladesh (IAB),tbs=140291,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 1,1,Md. Ali Ullah,bss,Islami Andolan Bangladesh (IAB),bss=140291,Md. Ali Ullah,"ds,tbs",Islami Andolan Bangladesh (IAB),ds=140291; tbs=140291,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 1,1,Md. Oli Ullah,dt,Islami Andolan Bangladesh (IAB),dt=140291,Md. Ali Ullah,"bss,ds,tbs",Islami Andolan Bangladesh (IAB),bss=140291; ds=140291; tbs=140291,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 1,1,Md. Jamal Hossain,ds,Jatiya Party (Manju) (JP–Manju),ds=981,Md. Jamal Hossain,tbs,Jatiya Party (Manju) (JP–Manju),tbs=981,1.00,name+party match (sim=1.00) [vote-boosted]
Barguna 1,2,Md. Jamal Hossain,dt,Jatiya Party (JaPa),dt=981,Md. Jamal Hossain,"ds,tbs",Jatiya Party (Manju) (JP–Manju),ds=981; tbs=981,1.00,"name+votes match, party differs: Jatiya Party (JaPa) → Jatiya Party (Manju) (JP–Manju)"
Barguna 2,1,Md. Nurul Islam,ds,Bangladesh Nationalist Party (BNP),ds=90643,Md. Nurul Islam,tbs,Bangladesh Nationalist Party (BNP),tbs=90643,1.00,name+party match (sim=1.00) [vote-boosted]
