seat_name,candidate,party,votes
Rangpur 5,Md. Golam Rabbani,Bangladesh Jamaat-e-Islami (Jamaat),176411
Rangpur 6,Md. Nurul Amin,Bangladesh Jamaat-e-Islami (Jamaat),120128
Rangpur 6,Md. Saiful Islam,Bangladesh Nationalist Party (BNP),117703
Kurigram 1,Md. Anowarul Islam,Bangladesh Jamaat-e-Islami (Jamaat),141090
Kurigram 1,Saifur Rahman Rana,Bangladesh Nationalist Party (BNP),123025
Kurigram 2,Atiqur Rahman Mujahid,National Citizen Party (NCP),178869
Kurigram 2,Md. Sohel Hossain Kaikobad,Bangladesh Nationalist Party (BNP),170335
Kurigram 3,Md. Akkas Ali Sarker,Islami Andolan Bangladesh (IAB),33380
Kurigram 3,Tasvir Ul Islam,Bangladesh Nationalist Party (BNP),672
Kurigram 3,Md. Mahbubul Alam,Bangladesh Jamaat-e-Islami (Jamaat),106923
Kurigram 4,Md. Azizur Rahman,Bangladesh Nationalist Party (BNP),83762
Kurigram 4,Md. Mostafizur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),106347
Kurigram 4,Md. Hafizur Rahman,Islami Andolan Bangladesh (IAB),9449
Gaibandha 1,Khondokar Ziaul Islam Md. Ali,Bangladesh Nationalist Party (BNP),37997
Gaibandha 1,Md. Mazedur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),140726
Gaibandha 2,Md. Anisuzzam Khan Babu,Bangladesh Nationalist Party (BNP),92890
Gaibandha 2,Md. Abdul Karim,Bangladesh Jamaat-e-Islami (Jamaat),122630
Gaibandha 3,Prof Mainul Hasan Sadik,Bangladesh Nationalist Party (BNP),139864
Gaibandha 3,Abul Kaowsar Md. Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),162457
Gaibandha 4,Md. Shamim Kaisar,Bangladesh Nationalist Party (BNP),142772
Gaibandha 4,Md. Abdur Rahim Sarkar,Bangladesh Jamaat-e-Islami (Jamaat),139738
Gaibandha 5,Md. Abdul Wareth,Bangladesh Jamaat-e-Islami (Jamaat),89274
