seat_name,candidate,party,votes,num_sources,sources,vote_details,comment
Barishal 3,Md. Azmul Hasan Jihad,Bangladesh Samajtantrik Dal (Basad),214,3,"ds,dt,tbs",ds=0; dt=214; tbs=214,
Barishal 4,Md. Rajib Ahsan,Bangladesh Nationalist Party (BNP),128322,4,"bss,ds,dt,tbs",bss=128322; ds=128322; dt=128322; tbs=128322,
Barishal 4,Mohammad Abdul Jabbar,Bangladesh Jamaat-e-Islami (Jamaat),74684,4,"bss,ds,dt,tbs",bss=74684; ds=74684; dt=74684; tbs=74684,
Barishal 4,Syed Eshak Md. Abul Khayer,Islami Andolan Bangladesh (IAB),36753,3,"ds,dt,tbs",ds=0; dt=36753; tbs=36753,
Barishal 4,Abdul Jalil,Bangladesh Sangskritik Muktijote (BSM),413,3,"ds,dt,tbs",ds=0; dt=413; tbs=413,
Barishal 4,Abdus Salam (Khokon),Jatiya Samajtantrik Dal (JSD),334,3,"ds,dt,tbs",ds=0; dt=334; tbs=334,fuzzy-merged 'Abdus Salam Khokon' (tbs) -> 'Abdus Salam (Khokon)' (score=1.00)
Barishal 5,Md. Mojibur Rahman Sarwar,Bangladesh Nationalist Party (BNP),135146,4,"bss,ds,dt,tbs",bss=135146; ds=135146; dt=135146; tbs=135146,
Barishal 5,Mufti Syed Md. Faizul Karim,Islami Andolan Bangladesh (IAB),95044,4,"bss,ds,dt,tbs",bss=95044; ds=95044; dt=95044; tbs=95044,
Barishal 5,Monisha Chakraborty,Bangladesh Samajtantrik Dal (Basad),22486,3,"ds,dt,tbs",ds=0; dt=22486; tbs=22486,
Barishal 5,Akhtar Rahman,Jatiya Party (JaPa),909,3,"ds,dt,tbs",ds=0; dt=909; tbs=909,
Barishal 5,Abdul Hannan Sikdar,National People's Party (NPP),494,3,"ds,dt,tbs",ds=0; dt=494; tbs=494,
Barishal 5,Md. Saidur Rahman,Socialist Party of Bangladesh (Marxist) (SPB-M),300,3,"ds,dt,tbs",ds=0; dt=300; tbs=300,
Barishal 6,Abul Hossain Khan,Bangladesh Nationalist Party (BNP),82217,4,"bss,ds,dt,tbs",bss=82217; ds=82217; dt=82217; tbs=82217,
Barishal 6,Md. Mahmudun Nabi,Bangladesh Jamaat-e-Islami (Jamaat),55988,4,"bss,ds,dt,tbs",bss=55988; ds=55988; dt=55988; tbs=55988,
Barishal 6,Mufti Syed Md. Faizul Karim,Islami Andolan Bangladesh (IAB),29146,3,"ds,dt,tbs",ds=0; dt=29146; tbs=29146,
Barishal 6,Md. Kamrul Islam Khan,Independent Candidate (Independent),366,3,"ds,dt,tbs",ds=0; dt=366; tbs=366,
Barishal 6,Abdul Quddus,Bangladesh Muslim League (BML),244,3,"ds,dt,tbs",ds=0; dt=244; tbs=244,
Barishal 6,Md. Salahuddin Mia,Gono Odhikar Parishad (GOP),139,3,"ds,dt,tbs",ds=0; dt=139; tbs=139,
Bhola 1,Andaleeve Rahman,Bangladesh Jatiya Party (BJP),105543,4,"bss,ds,dt,tbs",bss=105543; ds=105543; dt=105543; tbs=105543,
Bhola 1,Md. Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),75337,4,"bss,ds,dt,tbs",bss=75337; ds=75337; dt=63352; tbs=75337,
Bhola 1,Md. Obaidur Rahman,Islami Andolan Bangladesh (IAB),25245,3,"ds,dt,tbs",ds=0; dt=25245; tbs=25245,
