seat_name,candidate,party,votes
Brahmanbaria 5,Md. Abdul Mannan,Bangladesh Nationalist Party (BNP),85769
Brahmanbaria 5,Md. Shaheen Khan,Communist Party of Bangladesh (CPB),0
Brahmanbaria 5,Md. Ashraful Haque,Insaniyat Biplob Bangladesh (IBB),0
Brahmanbaria 5,Md. Kamrul Islam,Jatiya Party (JaPa),0
Brahmanbaria 5,Nahida Jahan,Ganosanhati Andolan (GSA),0
Brahmanbaria 5,Nazrul Islam,Islami Andolan Bangladesh (IAB),0
Brahmanbaria 6,Md. Saiduzzaman Kamal,Independent Candidate (Independent),0
Brahmanbaria 6,K. M. Jabir,Jatiya Samajtantrik Dal (JSD),0
Brahmanbaria 6,Md. Abu Naser,Bangladesh Islami Front (BIF),2353
Brahmanbaria 6,Md. Habibur Rahman,Insaniyat Biplob Bangladesh (IBB),0
Brahmanbaria 6,Md. Jonayed Abdur Rahim Saki,Ganosanhati Andolan (GSA),95342
Brahmanbaria 6,Md. Mohsin,Bangladesh Jamaat-e-Islami (Jamaat),39976
Brahmanbaria 6,Md. Shafiqul Islam,National People's Party (NPP),0
Brahmanbaria 6,Md. Abu Kayes Sikder,Independent Candidate (Independent),0
Brahmanbaria 6,Saeed Uddin Khan,Islami Andolan Bangladesh (IAB),0
Brahmanbaria 6,Shafiqul Islam,Gono Odhikar Parishad (GOP),0
Chandpur 1,A. N. M. Ehsanul Hoque Milon,Bangladesh Nationalist Party (BNP),133032
Chandpur 1,Abu Nasar Md. Makbol Ahmad,Bangladesh Jamaat-e-Islami (Jamaat),70368
Chandpur 1,Habib Khan,Jatiya Party (JaPa),0
Chandpur 1,Md. Anayet Hossen,Gono Odhikar Parishad (GOP),0
Chandpur 1,Md. Azad Hossain,Gono Forum (GF),0
Chandpur 1,Mohammed Nasir Uddin,Bangladesh Islami Front (BIF),0
Chandpur 2,Mansur,Islami Andolan Bangladesh (IAB),0
Chandpur 2,Md. Amran Hossain Mia,Jatiya Party (JaPa),0
Chandpur 2,Md. Anamul Hoque,Nagorik Oikya (NO),0
Chandpur 2,Md. Billal Hosion,Bangladesh Liberal Democratic Party (LDP),57473
Chandpur 2,Md. Faijunnur,Bangladesh Republican Party (BRP),0
Chandpur 2,Md. Golaf Hossain,Gono Odhikar Parishad (GOP),0
Chandpur 2,Md. Jalal Uddin,Bangladesh Nationalist Party (BNP),172506
Chandpur 2,Nasima Nazneen Sarker,Bangladesh Labour Party,0
Chandpur 3,A. H. M. Ahsan Ullah,Bangladesh Islami Front (BIF),0
Chandpur 3,Md. Jahangir Hossain,Communist Party of Bangladesh (CPB),0
Chandpur 3,Md. Jaynal Abdin Shakh,Islami Andolan Bangladesh (IAB),0
Chandpur 3,Md. Shahjahan Mia,Bangladesh Jamaat-e-Islami (Jamaat),100865
Chandpur 3,Md. Zakir Hossain,Gono Odhikar Parishad (GOP),0
Chandpur 3,Salim Akbar,Gono Forum (GF),0
Chandpur 3,Sk Farid Ahmed,Bangladesh Nationalist Party (BNP),165404
Chandpur 4,Mahmud Alam,Jatiya Party (JaPa),0
Chandpur 4,Md. Abdul Hannan,Independent Candidate (Independent),74175
Chandpur 4,Md. Abdul Malek,Bangladesh Islami Front (BIF),0
Chandpur 4,Md. Billal Hossain Miaji,Bangladesh Jamaat-e-Islami (Jamaat),0
Chandpur 4,Md. Harunur Rashid,Bangladesh Nationalist Party (BNP),69155
Chandpur 4,Md. Munir Chowdhury,Gono Forum (GF),0
Chandpur 4,Mokbul Hossain,Islami Andolan Bangladesh (IAB),0
Chandpur 4,Zakir Hossain,Independent Candidate (Independent),0
Chandpur 5,Md. Mahmud Hasan Nayan,Insaniyat Biplob Bangladesh (IBB),0
Chandpur 5,Md. Maminul Haque,Bangladesh Nationalist Party (BNP),185404
Chandpur 5,Md. Neamul Bashir,Bangladesh Liberal Democratic Party (LDP),75660
Chandpur 5,Md. Jakir Hossain Prodhania,Independent Candidate (Independent),0
Chandpur 5,Mirza Gious Uddin,Jatiya Party (JaPa),0
Chandpur 5,Md. Ali Patwary,Islami Andolan Bangladesh (IAB),0
Chandpur 5,Sayed Bahadur Shah Mujaddedi,Bangladesh Islami Front (BIF),0
Chapainawabganj 1,Md. Abdul Halim,Bangladesh Sangskritik Muktijote (BSM),0
Chapainawabganj 1,Md. Afzal Hossain,Jatiya Party (JaPa),0
Chapainawabganj 1,Md. Keramat Ali,Bangladesh Jamaat-e-Islami (Jamaat),206893
Chapainawabganj 1,Md. Monirul Islam,Islami Andolan Bangladesh (IAB),0
Chapainawabganj 1,Md. Shahjahan Mia,Bangladesh Nationalist Party (BNP),162515
Chapainawabganj 1,Nawab Md. Shamsul Hoda,Bangladesh Islami Front (BIF),0
Chapainawabganj 2,Md. Aminul Islam,Bangladesh Nationalist Party (BNP),155119
Chapainawabganj 2,Md. Ibrahim Khalil,Islami Andolan Bangladesh (IAB),0
Chapainawabganj 2,Md. Mizanur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),171227
Chapainawabganj 2,Md. Sadequl Islam,Communist Party of Bangladesh (CPB),0
Chapainawabganj 2,Mohamod Khurshid Alam,Jatiya Party (JaPa),0
Chapainawabganj 3,Md. Fazlur Islam Khan,Jatiya Samajtantrik Dal (JSD),0
Chapainawabganj 3,Md. Harunur Rashid,Bangladesh Nationalist Party (BNP),127037
Chapainawabganj 3,Md. Monirul Islam,Islami Andolan Bangladesh (IAB),0
Chapainawabganj 3,Md. Nurul Islam,Bangladesh Jamaat-e-Islami (Jamaat),189640
Chapainawabganj 3,Md. Shofikul Islam,Gono Odhikar Parishad (GOP),0
Chattogram 1,A. K. M. Abu Yusufe,Jatiya Samajtantrik Dal (JSD),0
Chattogram 1,Ferdaus Ahmed Chowdhury,Islami Andolan Bangladesh (IAB),0
Chattogram 1,Md. Saifur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),84538
Chattogram 1,Nurul Amin,Bangladesh Nationalist Party (BNP),128799
Chattogram 1,Rezaul Karim,Insaniyat Biplob Bangladesh (IBB),0
Chattogram 1,Sk. Zulfiqur Bulbul Chowdhury,Bangladesh Muslim League (BML),0
Chattogram 1,Syed Sahadat Hossain,Jatiya Party (JaPa),0
Chattogram 2,Ahamed Kabir,Independent Candidate (Independent),0
Chattogram 2,Jinnat Akter,Independent Candidate (Independent),0
Chattogram 2,Md. Golam Nowsher Ali,Janotar Dol,0
Chattogram 2,Md. Sarowar Alamgir,Bangladesh Nationalist Party (BNP),0
Chattogram 2,Md. Nurul Amin,Bangladesh Jamaat-e-Islami (Jamaat),0
Chattogram 2,Mohammed Julfikar Ali Mannan,Islami Andolan Bangladesh (IAB),0
Chattogram 2,Rabiul Hasan,Gono Odhikar Parishad (GOP),0
Chattogram 2,Shajada Syed Saifuddin Ahmed,Bangladesh Supreme Party (BSP),0
Chattogram 3,Md. Moahedul Mawla,Independent Candidate (Independent),0
Chattogram 3,Md. Amzad Hossain,Islami Andolan Bangladesh (IAB),0
Chattogram 3,Mostafa Kamal Pasha,Bangladesh Nationalist Party (BNP),73037
Chattogram 3,Md. Ala Uddin,Bangladesh Jamaat-e-Islami (Jamaat),39662
Chattogram 4,A. T. M. Parvez,Gono Odhikar Parishad (GOP),0
Chattogram 4,Jahidul Alam,Ganosanhati Andolan (GSA),0
Chattogram 4,Md. Aslam Chowdhury,Bangladesh Nationalist Party (BNP),0
Chattogram 4,Md. Anwar Siddiqui,Bangladesh Jamaat-e-Islami (Jamaat),0
Chattogram 4,Md. Didarul Mowla,Islami Andolan Bangladesh (IAB),0
Chattogram 4,Md. Mosiuddowlah,Communist Party of Bangladesh (CPB),0
Chattogram 4,Md. Shahidul Islam Chowdhury,Bangladesh Supreme Party (BSP),0
Chattogram 4,Md. Sirajudollah,Bangladesh Islami Front (BIF),0
Chattogram 4,Md. Zakaria Khaled,Bangladesh Nezame Islam Party (BNIP),0
Chattogram 5,Mati Ullah Noori,Islami Andolan Bangladesh (IAB),0
Chattogram 5,Md. Alauddin,Bangladesh Labour Party,0
Chattogram 5,Md. Nasir Uddin,Khelafat Majlis,46589
Chattogram 5,Mir Mohammed Helal Uddin,Bangladesh Nationalist Party (BNP),147054
Chattogram 5,Mohammed Imam Uddin Riad,Independent Candidate (Independent),0
Chattogram 5,Md. Rafiqul Islam,Bangladesh Islami Front (BIF),0
Chattogram 6,Gias Uddin Quader Chowdhury,Bangladesh Nationalist Party (BNP),112237
Chattogram 6,Md. Shahajahan Monjo,Bangladesh Jamaat-e-Islami (Jamaat),0
Chattogram 6,Md. Elias Nuri,Bangladesh Islami Front (BIF),27146
Chattogram 6,Nasir Uddin Talukder,Ganosanhati Andolan (GSA),0
Chattogram 7,A. T. M. Rezaul Karim,Bangladesh Jamaat-e-Islami (Jamaat),41719
Chattogram 7,Abdullah Al Harun,Islami Andolan Bangladesh (IAB),0
Chattogram 7,Humam Quader Chowdhury,Bangladesh Nationalist Party (BNP),101445
Chattogram 7,Md. Abdur Rahman,Amar Bangladesh Party (AB),0
Chattogram 7,Md. Belal Uddin,Gono Odhikar Parishad (GOP),0
Chattogram 7,Md. Mahade Rashed,Jatiya Party (JaPa),0
Chattogram 7,Md. Ikbal Hasan,Bangladesh Islami Front (BIF),0
Chattogram 7,Pramode Baran Barua,Communist Party of Bangladesh (CPB),0
Chattogram 8,Ershad Ullah,Bangladesh Nationalist Party (BNP),152969
Chattogram 8,Md. Abu Naser,Bangladesh Jamaat-e-Islami (Jamaat),53564
Chattogram 8,Md. Jubairul Hasan Arif,National Citizen Party (NCP),0
Chattogram 8,Md. Amdadul Huq,Insaniyat Biplob Bangladesh (IBB),0
Chattogram 8,Md. Nurul Alam,Islami Andolan Bangladesh (IAB),0
Chattogram 8,Syed Md. Hassan,Bangladesh Islami Front (BIF),0
Chattogram 9,Abdul Momen Chowdhury,Jatiya Samajtantrik Dal (JSD),0
Chattogram 9,Abdus Sukkur,Islami Andolan Bangladesh (IAB),0
Chattogram 9,A. K. M. Fazlul Hoque,Bangladesh Jamaat-e-Islami (Jamaat),53807
Chattogram 9,Md. Haider Ali Chowdhury,Janotar Dol,0
Chattogram 9,Md. Shafi Uddin Kabir,Socialist Party of Bangladesh (Marxist) (SPB-M),0
Chattogram 9,Md. Naim Uddin,Insaniyat Biplob Bangladesh (IBB),0
Chattogram 9,Md. Abu Sufian,Bangladesh Nationalist Party (BNP),109388
Chattogram 9,Md. Wahed Murad,Bangladesh Islami Front (BIF),0
Chattogram 9,Nurul Afsar Mazumder,Nagorik Oikya (NO),0
Chattogram 9,Sayed Md. Hasan Maruf,Ganosanhati Andolan (GSA),0
Chattogram 10,Asma Akther,Socialist Party of Bangladesh (Marxist) (SPB-M),0
Chattogram 10,Md. Liaket Ali,Bangladesh Islami Front (BIF),0
Chattogram 10,Md. Usman Gani,Bangladesh Labour Party,0
Chattogram 10,Mohammed Arman Ali,Independent Candidate (Independent),0
Chattogram 10,Md. Emdad Hossain,Jatiya Party (JaPa),0
Chattogram 10,Md. Shamsuzzaman Helaly,Bangladesh Jamaat-e-Islami (Jamaat),76919
Chattogram 10,Md. Jannatul Islam,Islami Andolan Bangladesh (IAB),0
Chattogram 10,Sabina Khatun,Insaniyat Biplob Bangladesh (IBB),0
Chattogram 10,Sayed Al Noman,Bangladesh Nationalist Party (BNP),122978
Chattogram 11,Abu Taher,Jatiya Party (JaPa),0
Chattogram 11,Amir Khosru Mahmud Chowdhury,Bangladesh Nationalist Party (BNP),115999
Chattogram 11,Dipa Majumder,Socialist Party of Bangladesh (Marxist) (SPB-M),0
Chattogram 11,Md. Jahangir Bhuiyan,Independent Candidate (Independent),0
Chattogram 11,Md. Aziz Meah,Insaniyat Biplob Bangladesh (IBB),0
Chattogram 11,Md. Nizamul Hoq All Kaderi,Bangladesh Samajtantrik Dal (Basad),0
Chattogram 11,Md. Nur Uddin,Islami Andolan Bangladesh (IAB),0
Chattogram 11,Md. Shafiul Alam,Bangladesh Jamaat-e-Islami (Jamaat),76681
Chattogram 11,Md. Abu Taher,Bangladesh Islami Front (BIF),0
Chattogram 11,Md. Nezam Uddin,Gono Odhikar Parishad (GOP),0
Chattogram 11,Uzzwal Bhowmik,Gono Forum (GF),0
Chattogram 12,Farid Ahammed Chowdhury,Jatiya Party (JaPa),0
Chattogram 12,M. Yakub Ali,Bangladesh Liberal Democratic Party (LDP),0
Chattogram 12,Md. Enamul Hoque,Bangladesh Nationalist Party (BNP),135044
Chattogram 12,Md. Faridul Alam,Bangladesh Jamaat-e-Islami (Jamaat),0
Chattogram 12,Md. Shakawat Hossain,Independent Candidate (Independent),0
Chattogram 12,Md. Abu Talab Halaly,Insaniyat Biplob Bangladesh (IBB),0
Chattogram 12,Sm Belal Nur,Islami Andolan Bangladesh (IAB),0
Chattogram 12,Sayed Ayar Md. Peyaru,Bangladesh Islami Front (BIF),28999
Chattogram 13,Abdur Rob Chowdhury,Jatiya Party (JaPa),0
Chattogram 13,Mahmudul Hassan,Bangladesh Jamaat-e-Islami (Jamaat),0
Chattogram 13,Md. Mujibur Rahman Chy.,Gono Odhikar Parishad (GOP),0
Chattogram 13,Md. Rezaul Mustafa,Insaniyat Biplob Bangladesh (IBB),0
Chattogram 13,Md. Amran,Nationalist Democratic Movement (NDM),0
Chattogram 13,S. M. Shahjahan,Bangladesh Islami Front (BIF),51450
Chattogram 13,Sarwar Jamal Nizam,Bangladesh Nationalist Party (BNP),126192
Chattogram 14,Alhajj Jashim Uddin Ahammed,Bangladesh Nationalist Party (BNP),76493
Chattogram 14,H. M. Elias,Insaniyat Biplob Bangladesh (IBB),0
Chattogram 14,Md. Abdul Hamid,Islami Andolan Bangladesh (IAB),0
Chattogram 14,Md. Badsha Meah,Jatiya Party (JaPa),0
Chattogram 14,Mohammd Mizanul Hoque Chowdhury,Independent Candidate (Independent),0
Chattogram 14,Mow. Md. Solaiman,Bangladesh Islami Front (BIF),0
Chattogram 14,Omar Faruq,Bangladesh Liberal Democratic Party (LDP),75467
Chattogram 14,Shafiqul Islam Rahi,Independent Candidate (Independent),0
Chattogram 15,Najmul Mostafa Amin,Bangladesh Nationalist Party (BNP),130661
