seat_name,candidate,party,votes
Brahmanbaria 2,Adv. Md. Ziaul Haque Mridha,Jatiya Party (JaPa),199
Brahmanbaria 2,Sharifa Akter,Amjanatar Dol,181
Brahmanbaria 2,Taimur Reza Md. Shahzad,Jatiya Samajtantrik Dal (JSD),0
Brahmanbaria 3,Md. Khaled Hossain Mahbub,Bangladesh Nationalist Party (BNP),209636
Brahmanbaria 3,Ataullah,National Citizen Party (NCP),62547
Brahmanbaria 3,Niazul Karim,Islami Andolan Bangladesh (IAB),6321
Brahmanbaria 3,Md. Rezaul Islam Bhuiyan,Jatiya Party (JaPa),3891
Brahmanbaria 3,Md. Abu Hanif,Insaniyat Biplob Bangladesh (IBB),3345
Brahmanbaria 3,Ayesha Akter,Bangladesh Islami Front (BIF),1344
Brahmanbaria 3,Md. Omar Yusuf Khan,Independent Candidate (Independent),278
Brahmanbaria 4,Mushfiqur Rahman,Bangladesh Nationalist Party (BNP),139842
Brahmanbaria 4,Md. Ataur Rahman Sarkar,Bangladesh Jamaat-e-Islami (Jamaat),91796
Brahmanbaria 4,Md. Jahirul Haque Khan,Jatiya Party (JaPa),2453
Brahmanbaria 4,Md. Jasim,Islami Andolan Bangladesh (IAB),2277
Brahmanbaria 4,Rafi Uddin,Insaniyat Biplob Bangladesh (IBB),773
Brahmanbaria 4,Md. Jahirul Haque Chowdhury,Gono Odhikar Parishad (GOP),117
Brahmanbaria 4,Shaheen Khan,National People's Party (NPP),109
Brahmanbaria 5,Md. Abdul Mannan,Bangladesh Nationalist Party (BNP),85769
Brahmanbaria 5,Kazi Nazmul Hossain,Independent Candidate (Independent),84708
Brahmanbaria 5,Amzad Hossain,Khelafat Majlis,60857
Brahmanbaria 5,Nazrul Islam,Islami Andolan Bangladesh (IAB),20696
Brahmanbaria 5,Mohammad Kamrul Islam,Jatiya Party (JaPa),372
Brahmanbaria 5,Md. Shaheen Khan,Communist Party of Bangladesh (CPB),359
Brahmanbaria 5,Nahida Jahan,Ganosanhati Andolan (GSA),266
Brahmanbaria 5,Mohammad Ashraful Haque,Insaniyat Biplob Bangladesh (IBB),257
Brahmanbaria 6,Md. Jonaed Abdur Rahim Saki,Ganosanhati Andolan (GSA),95342
Brahmanbaria 6,Md. Mohsin,Bangladesh Jamaat-e-Islami (Jamaat),29976
Brahmanbaria 6,Saiduddin Khan,Islami Andolan Bangladesh (IAB),8572
Brahmanbaria 6,Md. Abu Naser,Bangladesh Islami Front (BIF),2353
Brahmanbaria 6,Dr. Md. Saiduzzaman Kamal,Independent Candidate (Independent),1926
Brahmanbaria 6,Mohammad Abu Kayes Sikder,Independent Candidate (Independent),666
Brahmanbaria 6,Safiqul Islam,Gono Odhikar Parishad (GOP),289
Brahmanbaria 6,K. M. Jabir,Jatiya Samajtantrik Dal (JSD),167
Brahmanbaria 6,Md. Habibur Rahman,Insaniyat Biplob Bangladesh (IBB),139
Brahmanbaria 6,Md. Safiqul Islam,National People's Party (NPP),106
Cumilla 1,Dr. Khandaker Mosharraf Hossain,Bangladesh Nationalist Party (BNP),141440
Cumilla 1,Md. Moniruzzaman,Bangladesh Jamaat-e-Islami (Jamaat),94845
Cumilla 1,Bashir Ahmed,Islami Andolan Bangladesh (IAB),6502
Cumilla 1,Syed Md. Iftekhar Ahsan,Jatiya Party (JaPa),631
Cumilla 1,Md. Safiul Basar,Amar Bangladesh Party (AB),511
Cumilla 1,Mohammad Abul Kalam,Bangladesh Republican Party (BRP),411
Cumilla 1,Omar Faruk,Independent Candidate (Independent),205
Cumilla 1,Abu Zayed Al Mahmud,Independent Candidate (Independent),201
Cumilla 1,Barua Manojit Dhiman,Jatiya Samajtantrik Dal (JSD),144
Cumilla 2,Md. Selim Bhuiyan,Bangladesh Nationalist Party (BNP),77037
Cumilla 2,Md. Abdul Matin,Independent Candidate (Independent),63045
Cumilla 2,Md. Nazim Uddin,Bangladesh Jamaat-e-Islami (Jamaat),53384
Cumilla 2,Mohammad Ashraful Alam,Islami Andolan Bangladesh (IAB),6611
Cumilla 2,Md. Abdus Salam,Bangladesh Islami Front (BIF),767
Cumilla 2,Md. Amir Hossain,Jatiya Party (JaPa),570
Cumilla 3,Kazi Shah Mofazzal Hossain (Kaikobad),Bangladesh Nationalist Party (BNP),159291
Cumilla 3,Md. Yusuf Sohel,Bangladesh Jamaat-e-Islami (Jamaat),109599
Cumilla 3,Ahmed Abdul Qayyum,Islami Andolan Bangladesh (IAB),3593
Cumilla 3,Md. Khorshed Alam,Bangladesh Congress,717
Cumilla 3,Moniruzzaman,Gono Odhikar Parishad (GOP),633
Cumilla 3,Chowdhury Rakibul Haque,Amjanatar Dol,244
Cumilla 3,Md. Sharif Uddin Sarkar,Insaniyat Biplob Bangladesh (IBB),167
Cumilla 3,Riyaz Md. Sharif,Nationalist Democratic Movement (NDM),152
Cumilla 3,Md. Emdadul Haque,Bangladesh Republican Party (BRP),111
Cumilla 4,Md. Abul Hasnat,National Citizen Party (NCP),166583
Cumilla 4,Md. A. Jasim Uddin,Gono Odhikar Parishad (GOP),49885
Cumilla 4,Md. Abdul Karim,Islami Andolan Bangladesh (IAB),2232
Cumilla 4,Irfanul Haque Sarkar,Jatiya Party (JaPa),427
Cumilla 4,Mohammad Mojibur Rahman,Khelafat Majlis,248
Cumilla 5,Md. Jasim Uddin,Bangladesh Nationalist Party (BNP),134485
Cumilla 5,Mobarak Hossain,Bangladesh Jamaat-e-Islami (Jamaat),124547
Cumilla 5,Zobaer Ahmed Bhuiyan,Amar Bangladesh Party (AB),2029
Cumilla 5,Md. Rashedul Islam,Islami Andolan Bangladesh (IAB),1505
Cumilla 5,Md. Emranul Haque,Jatiya Party (JaPa),705
Cumilla 5,Abdullah Al Qafi,Communist Party of Bangladesh (CPB),342
Cumilla 5,Tanzil Ahmed,Insaniyat Biplob Bangladesh (IBB),167
Cumilla 5,Shirin Akter,Jatiya Samajtantrik Dal (JSD),153
Cumilla 5,Abul Kalam Idris,Bangladesh Muslim League (BML),147
Cumilla 5,Md. Abul Basar,National People's Party (NPP),104
Cumilla 6,Md. Monirul Haque Chowdhury,Bangladesh Nationalist Party (BNP),201706
Cumilla 6,Kazi Din Mohammad,Bangladesh Jamaat-e-Islami (Jamaat),119851
Cumilla 6,Md. Masum Billah Miazhi,Bangladesh Islami Front (BIF),4648
Cumilla 6,Mohammad Harunur Rashid,Islami Andolan Bangladesh (IAB),2476
Cumilla 6,Kamrun Nahar Sathi,Bangladesh Samajtantrik Dal (Basad),515
Cumilla 6,Obaidul Kabir Mohon,Jatiya Samajtantrik Dal (JSD),453
Cumilla 6,Mobarak Hossain,Gono Odhikar Parishad (GOP),215
Cumilla 6,Md. Amir Hossain Forayezi,Bangladesh Sangskritik Muktijote (BSM),153
Cumilla 7,Atikul Alam,Independent Candidate (Independent),91690
Cumilla 7,Redowan Ahmed,Bangladesh Nationalist Party (BNP),48509
Cumilla 7,Solaiman Khan,Khelafat Majlis,26319
Cumilla 7,Mawlana Ehteshamul Haque,Islami Andolan Bangladesh (IAB),14277
Cumilla 7,Sajal Kumar Kar,Bangladesh Sangskritik Muktijote (BSM),261
Cumilla 8,Zakaria Taher,Bangladesh Nationalist Party (BNP),169178
Cumilla 8,Md. Shafiqul Alam Helal,Bangladesh Jamaat-e-Islami (Jamaat),45091
Cumilla 8,Mohammad Golam Morshed,Bangladesh Supreme Party (BSP),3224
Cumilla 8,Md. Golam Sadek,Islami Andolan Bangladesh (IAB),2273
Cumilla 8,H. M. M. Irfan,Jatiya Party (JaPa),727
Cumilla 8,Abdul Qader,Bangladesh Islami Front (BIF),279
Cumilla 8,Md. Mofiz Uddin Ahmed,Bangladesh Republican Party (BRP),161
Cumilla 8,Md. Ali Ashraf,Bangladesh Samajtantrik Dal (Basad),160
Cumilla 9,Md. Abul Kalam,Bangladesh Nationalist Party (BNP),170008
Cumilla 9,Syed A. K. M. Sarwar Uddin Siddiqui,Bangladesh Jamaat-e-Islami (Jamaat),118961
Cumilla 9,Selim Mahmud,Islami Andolan Bangladesh (IAB),7626
Cumilla 9,Md. Abu Bakar Siddique,Bangladesh Islami Front (BIF),3919
Cumilla 9,Md. Golam Mostafa Kamal,Jatiya Party (JaPa),1216
Cumilla 9,Samira Azim,Independent Candidate (Independent),476
Cumilla 9,Md. Abul Kashem,Independent Candidate (Independent),335
Cumilla 9,Md. Mizanur Rahman Chowdhury,Bangladesh Sangskritik Muktijote (BSM),124
Cumilla 10,Md. Mobasher Alam Bhuiyan,Bangladesh Nationalist Party (BNP),163667
Cumilla 10,Muhammad Yasin Arafat,Bangladesh Jamaat-e-Islami (Jamaat),123733
Cumilla 10,Md. Shamsuddoha,Islami Andolan Bangladesh (IAB),7959
Cumilla 10,Hasan Ahmed,Bangladesh Congress,400
Cumilla 10,Md. Abdullah Al Noman,Amjanatar Dol,373
Cumilla 10,Kazi Nure Alam Siddiqui,Bangladesh Sangskritik Muktijote (BSM),322
Cumilla 10,Ramiz Bin Arif,Gono Odhikar Parishad (GOP),293
Cumilla 11,Syed Abdullah Mohammad Taher,Bangladesh Jamaat-e-Islami (Jamaat),133308
Cumilla 11,Md. Kamrul Huda,Bangladesh Nationalist Party (BNP),76638
Cumilla 11,Md. Mahiuddin (Shaheed),Islami Andolan Bangladesh (IAB),2766
Cumilla 11,Md. Main Uddin,Jatiya Party (JaPa),704
Cumilla 11,A. F. M. Abdur Rahim,Bangladesh Congress,194
Cumilla 11,Mohammad Yusuf,Bangladesh Sangskritik Muktijote (BSM),186
Cumilla 11,Md. Alamgir,Gono Front (GF),98
Chandpur 1,A. N. M. Ehsanul Haque Milon,Bangladesh Nationalist Party (BNP),133032
Chandpur 1,Abu Nasr Mohammad Mokbul Ahmed,Bangladesh Jamaat-e-Islami (Jamaat),70368
Chandpur 1,Mohammad Nasir Uddin,Bangladesh Islami Front (BIF),4371
Chandpur 1,Habib Khan,Jatiya Party (JaPa),652
Chandpur 1,Mohammad Azad Hossain,Gono Forum (GF),329
Chandpur 1,Md. Enayet Hossain,Gono Odhikar Parishad (GOP),217
Chandpur 2,Md. Jalal Uddin,Bangladesh Nationalist Party (BNP),172506
Chandpur 2,Md. Billal Hossain,Bangladesh Liberal Democratic Party (LDP),57473
Chandpur 2,Mansur,Islami Andolan Bangladesh (IAB),12307
Chandpur 2,Md. Emran Hossain Mia,Jatiya Party (JaPa),1328
Chandpur 2,Md. Fayzunnur,Bangladesh Republican Party (BRP),509
Chandpur 2,Md. Golaf Hossain,Gono Odhikar Parishad (GOP),315
Chandpur 2,Nasima Nazneen Sarkar,Jatiya Party (JaPa),283
Chandpur 2,Md. Enamul Haque,Nagorik Oikya (NO),143
Chandpur 3,Sheikh Farid Ahmed,Bangladesh Nationalist Party (BNP),165404
Chandpur 3,Md. Shahjahan Mia,Bangladesh Jamaat-e-Islami (Jamaat),100865
Chandpur 3,Md. Zainal Abedin Sheikh,Islami Andolan Bangladesh (IAB),14181
Chandpur 3,A. H. M. Ahsan Ullah,Bangladesh Islami Front (BIF),2274
Chandpur 3,Md. Jahangir Hossain,Communist Party of Bangladesh (CPB),676
Chandpur 3,Selim Akbar,Gono Forum (GF),307
Chandpur 3,Md. Zakir Hossain,Gono Odhikar Parishad (GOP),132
Chandpur 4,Md. Abdul Hannan,Independent Candidate (Independent),74175
Chandpur 4,Md. Harunur Rashid,Bangladesh Nationalist Party (BNP),69155
Chandpur 4,Md. Billal Hossain Miazhi,Bangladesh Jamaat-e-Islami (Jamaat),66692
Chandpur 4,Mokbul Hossain,Islami Andolan Bangladesh (IAB),5261
Chandpur 4,Md. Abdul Malek,Bangladesh Islami Front (BIF),509
Chandpur 4,Mahmud Alam,Jatiya Party (JaPa),277
Chandpur 4,Md. Munir Chowdhury,Gono Forum (GF),240
Chandpur 4,Zakir Hossain,Independent Candidate (Independent),184
Chandpur 5,Md. Mominul Haque,Bangladesh Nationalist Party (BNP),185404
Chandpur 5,Md. Niamul Bashir,Bangladesh Liberal Democratic Party (LDP),75660
Chandpur 5,Syed Bahadur Shah Mujaddedi,Bangladesh Islami Front (BIF),13178
Chandpur 5,Mohammad Ali Patowary,Islami Andolan Bangladesh (IAB),6681
Chandpur 5,Mirza Gias Uddin,Jatiya Party (JaPa),1516
Chandpur 5,Md. Zakir Hossain Pradhania,Independent Candidate (Independent),268
Chandpur 5,Md. Mahmud Hasan Nayan,Insaniyat Biplob Bangladesh (IBB),256
Feni 1,Munshi Rafiqul Alam,Bangladesh Nationalist Party (BNP),119904
Feni 1,S. M. Kamal Uddin,Bangladesh Jamaat-e-Islami (Jamaat),85615
Feni 1,Kazi Golam Kibria,Islami Andolan Bangladesh (IAB),5323
Feni 1,Motaher Hossain Chowdhury,Jatiya Party (JaPa),940
Feni 1,Anwar Ullah Bhuiyan,Bangladesh Khelafat Andolon (BKA),310
Feni 1,Md. Firoz Uddin Chowdhury,Bangladesh Congress,215
Feni 1,Mahbub Morshed Majumder,Bangladesh Muslim League (BML),188
Feni 2,Zainal Abedin,Bangladesh Nationalist Party (BNP),131210
Feni 2,Mohammad Mojibur Rahman Bhuiyan,Amar Bangladesh Party (AB),78447
Feni 2,Mohammad Ekramul Haque Bhuiyan,Islami Andolan Bangladesh (IAB),1927
Feni 2,Md. Harunur Rashid Bhuiyan,Khelafat Majlis,820
Feni 2,Saiful Karim Majumder,Amjanatar Dol,801
Feni 2,Md. Ismail,Independent Candidate (Independent),703
Feni 2,Md. Tarek-ul Islam Bhuiyan,Gono Odhikar Parishad (GOP),409
Feni 2,Jasim Uddin,Socialist Party of Bangladesh (Marxist) (SPB-M),322
Feni 2,Mohammad Abul Hossain,Bangladesh Khelafat Andolon (BKA),304
Feni 2,Samsuddin Majumder,Jatiya Samajtantrik Dal (JSD),240
Feni 2,Taherul Islam,Insaniyat Biplob Bangladesh (IBB),239
Feni 3,Abdul Awwal Mintoo,Bangladesh Nationalist Party (BNP),157425
Feni 3,Mohammad Fakhruddin,Bangladesh Jamaat-e-Islami (Jamaat),108160
Feni 3,Md. Saif Uddin,Islami Andolan Bangladesh (IAB),6701
Feni 3,Md. Abu Sufian,Jatiya Party (JaPa),1427
Feni 3,Abdul Malek,Bangladesh Samajtantrik Dal (Basad),731
Feni 3,Md. Abu Nasir,Bangladesh Islami Front (BIF),531
Feni 3,Md. Hasan Ahmed,Insaniyat Biplob Bangladesh (IBB),327
Feni 3,Mohammad Khaleduzzaman Patwari,Bangladesh Khelafat Andolon (BKA),320
Noakhali 1,A. M. Mahbub Uddin,Bangladesh Nationalist Party (BNP),126833
Noakhali 1,Md. Saiful Ullah,Bangladesh Jamaat-e-Islami (Jamaat),98036
Noakhali 1,Jahirul Islam,Islami Andolan Bangladesh (IAB),19289
Noakhali 1,Md. Nurul Amin,Jatiya Party (JaPa),1075
Noakhali 1,Rehana Begum,Jatiya Samajtantrik Dal (JSD),482
Noakhali 1,Md. Mominul Islam,Bangladesh Congress,274
Noakhali 1,Md. Mashirur Rahman,Insaniyat Biplob Bangladesh (IBB),188
Noakhali 2,Zainul Abdin Faruk,Bangladesh Nationalist Party (BNP),83982
Noakhali 2,Sultan Mohammad Zakaria Majumder,National Citizen Party (NCP),67054
Noakhali 2,Kazi Mohammad Mofizur Rahman,Independent Candidate (Independent),44712
Noakhali 2,Khalilur Rahman,Islami Andolan Bangladesh (IAB),6217
Noakhali 2,Md. Shahadat Hossain,Jatiya Party (JaPa),557
Noakhali 3,Md. Borkot Ullah Bulu,Bangladesh Nationalist Party (BNP),141031
Noakhali 3,Md. Borhan Uddin,Bangladesh Jamaat-e-Islami (Jamaat),123941
Noakhali 3,Mohammad Nur Uddin,Islami Andolan Bangladesh (IAB),9861
Noakhali 3,Morshed Alam,Khelafat Majlis,800
Noakhali 3,Md. Siraj Mia,Jatiya Samajtantrik Dal (JSD),747
Noakhali 3,Md. Rajib Uddoula Chowdhury,Independent Candidate (Independent),534
Noakhali 3,Sharif Ahmed,Independent Candidate (Independent),260
Noakhali 4,Md. Shahjahan,Bangladesh Nationalist Party (BNP),219182
Noakhali 4,Md. Ishaq Khandaker,Bangladesh Jamaat-e-Islami (Jamaat),148989
