seat_name,candidate,party,votes
Munshiganj 3,Suman Dewan,Islami Andolan Bangladesh (IAB),6392
Munshiganj 3,Md. Arifuzzaman (Didar),Jatiya Party (JaPa),804
Munshiganj 3,Sheikh Md. Kamal Hossain,Communist Party of Bangladesh (CPB),304
Munshiganj 3,Sheikh Md. Shimul,Revolutionary Workers Party of Bangladesh (RWPB),174
Munshiganj 3,Anis Mollah,Bangladesh Labour Party,155
Dhaka 1,Khandaker Abu Ashfaq,Bangladesh Nationalist Party (BNP),173781
Dhaka 1,Mohammad Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),112622
Dhaka 1,Nurul Islam,Islami Andolan Bangladesh (IAB),6607
Dhaka 1,Antara Selima Huda,Independent Candidate (Independent),4880
Dhaka 1,Md. Nasir Uddin Molla,Jatiya Party (JaPa),1362
Dhaka 1,Sheikh Md. Ali,Bangladesh Labour Party,271
Dhaka 2,Md. Amanullah Aman,Bangladesh Nationalist Party (BNP),163793
Dhaka 2,Md. Abdul Haque,Bangladesh Jamaat-e-Islami (Jamaat),80053
Dhaka 2,Md. Jahirul Islam,Islami Andolan Bangladesh (IAB),6352
Dhaka 3,Gayeshwar Chandra Roy,Bangladesh Nationalist Party (BNP),99163
Dhaka 3,Md. Shahinur Islam,Bangladesh Jamaat-e-Islami (Jamaat),83264
Dhaka 3,Md. Sultan Ahmad Khan,Islami Andolan Bangladesh (IAB),6286
Dhaka 3,Md. Faruk,Jatiya Party (JaPa),1075
Dhaka 3,Md. Bacchu Bhuiyan,Ganosanhati Andolan (GSA),378
Dhaka 3,Md. Monir Hossain,Independent Candidate (Independent),313
Dhaka 3,Mojibur Howlader,Bangladesh Samajtantrik Dal (Basad),196
Dhaka 3,Muhammad Rawshan Yazdani,Gono Forum (GF),182
Dhaka 3,Mohammad Jafar,Bangladesh Congress,155
Dhaka 3,Md. Sazzad,Gono Odhikar Parishad (GOP),97
Dhaka 4,Syed Zainul Abedin,Bangladesh Jamaat-e-Islami (Jamaat),77367
Dhaka 4,Tanvir Ahmed,Bangladesh Nationalist Party (BNP),74447
Dhaka 4,Syed Md. Mosaddeq Billah,Islami Andolan Bangladesh (IAB),6518
Dhaka 4,Mohammad Mizanur Rahman,Independent Candidate (Independent),2867
Dhaka 4,Mohammad Firoz Alam,Communist Party of Bangladesh (CPB),367
Dhaka 4,Md. Abul Kalam Azad,Janotar Dol,191
Dhaka 4,Md. Zakir Hossain,Bangladesh Samajtantrik Dal (Basad),184
Dhaka 4,Sahel Ahmed Sohel,Bangladesh Sangskritik Muktijote (BSM),128
Dhaka 5,Mohammad Kamal Hossain,Bangladesh Jamaat-e-Islami (Jamaat),96641
Dhaka 5,Md. Nabi Ullah,Bangladesh Nationalist Party (BNP),87491
Dhaka 5,Md. Ibrahim,Islami Andolan Bangladesh (IAB),14206
Dhaka 5,Mir Abdus Sabur,Jatiya Party (JaPa),1346
Dhaka 5,Md. Humayun Kabir,Bangladesh Liberal Democratic Party (LDP),788
Dhaka 5,Md. Saiful Alam,Bangladesh Congress,262
Dhaka 5,Shahinur Akter Sumi,Socialist Party of Bangladesh (Marxist) (SPB-M),221
Dhaka 5,Tofazzal Hossain Mostafa,Communist Party of Bangladesh (CPB),206
Dhaka 5,Syed Mohammad Ibrahim,Gono Odhikar Parishad (GOP),93
Dhaka 5,Md. Golam Azam,Bangladesh Labour Party,81
Dhaka 5,Md. Taifur Rahman Rahi,Bangladesh Sangskritik Muktijote (BSM),35
Dhaka 6,Ishraq Hossain,Bangladesh Nationalist Party (BNP),78850
Dhaka 6,Md. Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),55697
Dhaka 6,Amir Uddin Ahmed (Dalu),Jatiya Party (JaPa),1778
Dhaka 6,Md. Yunus Ali Akand,Bangladesh Congress,319
Dhaka 6,Md. Aktar Hossain,Bangladesh Muslim League (BML),245
Dhaka 6,Ahmed Ali Sheikh,Gono Front (GF),152
Dhaka 6,Md. Fakhrul Islam,Gono Odhikar Parishad (GOP),138
Dhaka 7,Hamidur Rahman,Bangladesh Nationalist Party (BNP),104666
Dhaka 7,Md. Enayet Ullah,Bangladesh Jamaat-e-Islami (Jamaat),98483
Dhaka 7,Mohammad Ishaq Sarkar,Independent Candidate (Independent),11517
Dhaka 7,Md. Abdur Rahman,Islami Andolan Bangladesh (IAB),5081
Dhaka 7,Md. Habibullah,Bangladesh Khelafat Andolon (BKA),2783
Dhaka 7,Mohammad Saifuddin Ahmed Milon,Jatiya Party (JaPa),2294
Dhaka 7,Seema Dutta,Socialist Party of Bangladesh (Marxist) (SPB-M),677
Dhaka 7,Shafiqul Rahman,Bangladesh Republican Party (BRP),218
Dhaka 7,Shahana Selim,Jatiya Samajtantrik Dal (JSD),208
Dhaka 7,Maksudur Rahman,Bangladesh Sangskritik Muktijote (BSM),150
Dhaka 7,Md. Shahidul Islam,Bangladesh Jatiya Party (BJP),98
Dhaka 8,Mirza Abbas Uddin Ahmed,Bangladesh Nationalist Party (BNP),59366
Dhaka 8,Muhammad Nasiruddin Patwari,National Citizen Party (NCP),54127
Dhaka 8,Kefayet Ullah,Islami Andolan Bangladesh (IAB),1436
Dhaka 8,Md. Zuber Alam Khan,Jatiya Party (JaPa),731
Dhaka 8,Tridip Kumar Saha,Communist Party of Bangladesh (CPB),714
Dhaka 8,Meghna Alam,Gono Odhikar Parishad (GOP),608
Dhaka 8,S. M. Sarwar,Bangladesh Islami Front (BIF),326
Dhaka 8,Md. Golam Sarwar,Janotar Dol,129
Dhaka 8,AHM Rafiquzzaman Akand,Socialist Party of Bangladesh (Marxist) (SPB-M),96
Dhaka 8,Md. Russell Kabir,Bangladesh Sangskritik Muktijote (BSM),78
Dhaka 8,AFM Ismail Chowdhury,Jatiya Samajtantrik Dal (JSD),56
Dhaka 9,Habibur Rashid,Bangladesh Nationalist Party (BNP),111212
Dhaka 9,Mohammad Jabed Mia,National Citizen Party (NCP),53460
Dhaka 9,Tasnim Jara,Independent Candidate (Independent),44684
Dhaka 9,Shah Iftekhar Ahsan,Islami Andolan Bangladesh (IAB),5827
Dhaka 9,Kazi Abul Khair,Jatiya Party (JaPa),1202
Dhaka 9,Md. Moniruzzaman,Communist Party of Bangladesh (CPB),462
Dhaka 9,Shahin Khan,National People's Party (NPP),204
Dhaka 9,Najma Akter,Gono Forum (GF),171
Dhaka 9,Nahid Hasan Chowdhury Junaid,Insaniyat Biplob Bangladesh (IBB),131
Dhaka 9,Mohammad Shafi Ullah Chowdhury,Bangladesh Nationalist Front (BNF),124
Dhaka 9,Masud Hossain,Bangladesh Muslim League (BML),118
Dhaka 9,Khandaker Mizanur Rahman,Socialist Party of Bangladesh (Marxist) (SPB-M),93
Dhaka 10,Sheikh Rabiul Alam,Bangladesh Nationalist Party (BNP),79035
Dhaka 10,Md. Jasim Uddin Sarkar,Bangladesh Jamaat-e-Islami (Jamaat),74773
Dhaka 10,Abul Kalam Azad,Bangladesh Labour Party,0
Dhaka 10,Abdullah Al Hossain,Amjanatar Dol,0
Dhaka 10,Nasreen Sultana,Amar Bangladesh Party (AB),0
Dhaka 10,Bahni Bepari,Jatiya Party (JaPa),0
Dhaka 10,Md. A. Awal,Islami Andolan Bangladesh (IAB),0
Dhaka 10,Md. Anichur Rahman,Bangladesh Sangskritik Muktijote (BSM),0
Dhaka 10,Md. Abu Hanif Hridoy,Bangladesh Republican Party (BRP),0
Dhaka 10,Md. Zakir Hossain,Amjanatar Dol,0
Dhaka 11,Md. Nahid Islam,National Citizen Party (NCP),93872
Dhaka 11,M. A. Qayyum,Bangladesh Nationalist Party (BNP),91833
Dhaka 11,Sheikh Md. Fazle Bari Masud,Islami Andolan Bangladesh (IAB),4375
Dhaka 11,Shamim Ahmed,Jatiya Party (JaPa),1048
Dhaka 11,Kohinur Akter Bithi,Independent Candidate (Independent),794
Dhaka 11,Md. Zakir Hossain,Bangladesh Republican Party (BRP),283
Dhaka 11,Md. Mizanur Rahman,National People's Party (NPP),241
Dhaka 11,Kazi Md. Shahidullah,Bangladesh Sangskritik Muktijote (BSM),196
Dhaka 11,Md. Abdul Qader,Gono Forum (GF),130
Dhaka 11,Md. Arifur Rahman,Gono Odhikar Parishad (GOP),81
Dhaka 12,Saiful Haque,Revolutionary Workers Party of Bangladesh (RWPB),30963
Dhaka 12,Saiful Alam Nirab,Independent Candidate (Independent),29869
Dhaka 12,Md. Saiful Alam,Bangladesh Jamaat-e-Islami (Jamaat),9741
Dhaka 12,Mahmudul Hasan,Islami Andolan Bangladesh (IAB),2058
Dhaka 12,Sarkar Mohammad Salauddin,Jatiya Party (JaPa),1770
Dhaka 12,Taslima Akhter,Ganosanhati Andolan (GSA),1511
Dhaka 12,Md. Tarek Rahman,Amjanatar Dol,1044
Dhaka 12,Kallol Banik,Communist Party of Bangladesh (CPB),453
Dhaka 12,Mohammad Shahjalal,Bangladesh Islami Front (BIF),184
Dhaka 12,Farid Ahmed,Janotar Dol,175
Dhaka 12,Mosammat Salma Akter,Insaniyat Biplob Bangladesh (IBB),133
Dhaka 12,Abul Bashar Chowdhury,Gono Odhikar Parishad (GOP),115
Dhaka 12,Muntasir Mahmud,Bangladesh Sangskritik Muktijote (BSM),115
Dhaka 12,Mominul Amin,Nationalist Democratic Movement (NDM),58
Dhaka 12,Mohammad Naim Hasan,Bangladesh Jatiya Party (BJP),47
Dhaka 13,Bobby Hajjaj,Bangladesh Nationalist Party (BNP),88387
Dhaka 13,Md. Mamunul Haque,Khelafat Majlis,86067
Dhaka 13,Sheikh Md. Rabiul Islam,Independent Candidate (Independent),972
Dhaka 13,Sohel Rana,Independent Candidate (Independent),711
Dhaka 13,Fatema Akter Munia,Insaniyat Biplob Bangladesh (IBB),513
Dhaka 13,Md. Khalekuzzaman,Bangladesh Samajtantrik Dal (Basad),486
Dhaka 13,Shahriar Iftekhar,Bangladesh Muslim League (BML),464
Dhaka 13,Mizanur Rahman,Gono Odhikar Parishad (GOP),336
Dhaka 13,Md. Shahabuddin,Bangladesh Minority Janata Party (BMJP),331
Dhaka 14,Mir Ahmad Bin Qasem,Bangladesh Jamaat-e-Islami (Jamaat),101113
Dhaka 14,Sanzida Islam,Bangladesh Nationalist Party (BNP),83323
Dhaka 14,Syed Abu Bakar Siddique,Independent Candidate (Independent),16328
Dhaka 14,Md. Abu Yusuf,Islami Andolan Bangladesh (IAB),3760
Dhaka 14,Md. Helal Uddin,Jatiya Party (JaPa),857
Dhaka 14,Md. Sohel Rana,Bangladesh Liberal Democratic Party (LDP),385
Dhaka 14,Riyaz Uddin,Communist Party of Bangladesh (CPB),369
Dhaka 14,Md. Osman Ali,Bangladesh Supreme Party (BSP),302
Dhaka 14,Nurul Amin,Jatiya Samajtantrik Dal (JSD),219
Dhaka 14,Mohammad Moniruzzaman,Amar Bangladesh Party (AB),138
Dhaka 14,Md. Liton,Bangladesh Republican Party (BRP),83
Dhaka 14,Md. Jasim Uddin,Gono Forum (GF),79
Dhaka 15,Md. Shafiqul Rahman,Bangladesh Jamaat-e-Islami (Jamaat),85131
Dhaka 15,Md. Shafiqul Islam Khan,Bangladesh Nationalist Party (BNP),63517
Dhaka 15,Md. Shamsul Haque,Jatiya Party (JaPa),1421
Dhaka 15,Ahmad Sajedul Haque,Communist Party of Bangladesh (CPB),796
Dhaka 15,Md. Nilav Parvez,Amjanatar Dol,705
Dhaka 15,Khan Shoaib Aman Ullah,Janotar Dol,378
Dhaka 15,Mobarak Hossain,Bangladesh Supreme Party (BSP),326
Dhaka 15,Md. Ashfaqur Rahman,Jatiya Samajtantrik Dal (JSD),210
Dhaka 16,Md. Abdul Baten,Bangladesh Jamaat-e-Islami (Jamaat),88828
Dhaka 16,Md. Aminul Haque,Bangladesh Nationalist Party (BNP),85467
Dhaka 16,Md. Saiful Islam,Islami Andolan Bangladesh (IAB),3679
Dhaka 16,Md. Sultan Ahmed Selim,Jatiya Party (JaPa),1464
Dhaka 16,Alhajj A. K. M. Moyazzem Hossain,Bangladesh Labour Party,494
Dhaka 16,Md. Rashidul Islam,Socialist Party of Bangladesh (Marxist) (SPB-M),209
Dhaka 16,Md. Tarikul Islam,National People's Party (NPP),167
Dhaka 16,Md. Abdul Qader Jilani,Bangladesh Sangskritik Muktijote (BSM),142
Dhaka 16,Md. Nazmul Haque,Bangladesh Jatiya Party (BJP),138
Dhaka 16,Md. Mamun Hossain,Gono Odhikar Parishad (GOP),109
Dhaka 16,Mohammad Touhiduzzaman,Bangladesh Khelafat Andolon (BKA),102
Dhaka 17,Tareq Rahman,Bangladesh Nationalist Party (BNP),72699
Dhaka 17,S. M. Khaliduzzaman,Bangladesh Jamaat-e-Islami (Jamaat),68300
Dhaka 17,Mohammad Ullah,Islami Andolan Bangladesh (IAB),1768
Dhaka 17,Atik Ahmed,Jatiya Party (JaPa),1168
Dhaka 17,Tapu Raihan,Jatiya Party (JaPa),1041
Dhaka 17,Kazi Enayet Ullah,Independent Candidate (Independent),167
Dhaka 17,Md. Shamim Ahmed,Bangladesh Congress,130
Dhaka 17,Md. Anisuzzaman Khokon,Independent Candidate (Independent),111
Dhaka 17,Kamrul Hasan Nasim,Bangladesh Jatiya Party (BJP),92
Dhaka 17,Manjur Humayun,Insaniyat Biplob Bangladesh (IBB),80
Dhaka 17,S. M. Abul Kalam Azad,Bangladesh Nationalist Front (BNF),61
Dhaka 17,Muhammad Rashidul Haque,Bangladesh Labour Party,60
Dhaka 18,S. M. Jahangir Hossain,Bangladesh Nationalist Party (BNP),144715
Dhaka 18,Ariful Islam,National Citizen Party (NCP),111297
Dhaka 18,Md. Anwar Hossain,Islami Andolan Bangladesh (IAB),4727
Dhaka 18,Md. Mohiuddin Howladar,Independent Candidate (Independent),3205
Dhaka 18,Md. Zakir Hossain,Jatiya Party (JaPa),2557
Dhaka 18,Md. Jasim Uddin,Bangladesh Islami Front (BIF),1647
Dhaka 18,Md. Ismail Hossain,Independent Candidate (Independent),930
Dhaka 18,Mahmudur Rahman Manna,Nagorik Oikya (NO),350
Dhaka 18,Mrs. Sabina Jabed,National People's Party (NPP),301
Dhaka 18,Syed Harun-or-Rashid,Bangladesh Samajtantrik Dal (Basad),260
Dhaka 19,Dewan Mohammad Salauddin,Bangladesh Nationalist Party (BNP),101956
Dhaka 19,Dilshana Parul,National Citizen Party (NCP),61269
Dhaka 19,Chowdhury Hasan Sarwardi,Bangladesh Liberal Democratic Party (LDP),0
Dhaka 19,Md. Israfil Hossain Savari,National People's Party (NPP),0
Dhaka 19,Md. Kamrul,Bangladesh Muslim League (BML),0
Dhaka 19,Md. Bahadur Islam,Jatiya Party (JaPa),0
Dhaka 19,Mohammad Faruk Khan,Islami Andolan Bangladesh (IAB),0
Dhaka 19,Sheikh Shawkat Hossain,Gono Odhikar Parishad (GOP),0
Dhaka 20,Md. Tamij Uddin,Bangladesh Nationalist Party (BNP),162504
Dhaka 20,Nabila Tasnid,National Citizen Party (NCP),57787
Dhaka 20,Md. Ashraf Ali,Khelafat Majlis,9255
Dhaka 20,Ahsan Khan,Jatiya Party (JaPa),3135
Dhaka 20,Helal Uddin Ahmed,Amar Bangladesh Party (AB),492
Dhaka 20,Md. Arju Mia,Jatiya Samajtantrik Dal (JSD),207
Gazipur 1,Md. Mujibur Rahman,Bangladesh Nationalist Party (BNP),208688
Gazipur 1,Md. Shah Alam Bokshi,Bangladesh Jamaat-e-Islami (Jamaat),149553
Gazipur 1,Md. Imarat Hossain Khan,Independent Candidate (Independent),6703
Gazipur 1,Ruhul Amin,Islami Andolan Bangladesh (IAB),5696
Gazipur 1,S. M. Shafiqul Islam,Jatiya Party (JaPa),3325
Gazipur 1,Taslima Akter,Socialist Party of Bangladesh (Marxist) (SPB-M),232
Gazipur 1,Chowdhury Erad Ahmed Siddiqui,Bangladesh Labour Party,168
Gazipur 1,Atikul Islam,Gono Front (GF),129
Gazipur 2,M. Manjurul Karim Rony,Bangladesh Nationalist Party (BNP),188606
Gazipur 2,Ali Naser Khan,National Citizen Party (NCP),140950
Gazipur 2,Hanif Sarkar,Islami Andolan Bangladesh (IAB),12657
Gazipur 2,Md. Mahbub Alam,Jatiya Party (JaPa),4125
Gazipur 2,Md. Ziaul Kabir,Communist Party of Bangladesh (CPB),1397
Gazipur 2,Md. Abdul Qayyum,Bangladesh Samajtantrik Dal (Basad),1155
Gazipur 2,Mohammad Shariful Islam,Janotar Dol,537
Gazipur 2,Jit Barua,Independent Candidate (Independent),444
Gazipur 2,Sarkar Taslima Afroze,Jatiya Party (JaPa),417
Gazipur 2,Masud Reza,Socialist Party of Bangladesh (Marxist) (SPB-M),250
Gazipur 2,Mahfuzur Rahman Khan,Gono Odhikar Parishad (GOP),245
Gazipur 2,Atikul Islam,Gono Front (GF),200
Gazipur 3,S. M. Rafiqul Islam,Bangladesh Nationalist Party (BNP),162343
Gazipur 3,Muhammad Ehsanul Haque,Khelafat Majlis,100539
Gazipur 3,Md. Ejadur Rahman Chowdhury,Independent Candidate (Independent),21963
Gazipur 3,Alamgir Hossain,Islami Andolan Bangladesh (IAB),6036
Gazipur 3,Hafiz Mawlana Mufti Shamim Ahmed,Bangladesh Islami Front (BIF),2332
Gazipur 3,Md. Nazim Uddin,Jatiya Party (JaPa),1995
Gazipur 3,Ashikul Islam Piyal,Bangladesh Samajtantrik Dal (Basad),484
Gazipur 4,Salah Uddin,Bangladesh Jamaat-e-Islami (Jamaat),101779
Gazipur 4,Shah Riazul Hannan,Bangladesh Nationalist Party (BNP),90390
Gazipur 4,Md. Kazim Uddin,Islami Andolan Bangladesh (IAB),2348
Gazipur 4,Enamul Kabir,Jatiya Party (JaPa),2147
Gazipur 4,Md. Shafiullah,Independent Candidate (Independent),1521
Gazipur 4,Manabendra Deb,Communist Party of Bangladesh (CPB),1091
Gazipur 4,Md. Zakir Hossain,Amjanatar Dol,278
Gazipur 4,Monir Hossain,National People's Party (NPP),0
Gazipur 5,A. K. M. Fazlul Haque Milon,Bangladesh Nationalist Party (BNP),133869
Gazipur 5,Md. Khairul Hasan,Bangladesh Jamaat-e-Islami (Jamaat),78123
Gazipur 5,Md. Azam Khan,Janotar Dol,6592
Gazipur 5,Gazi Ataur Rahman,Islami Andolan Bangladesh (IAB),4411
Gazipur 5,Dr. Md. Safiuddin Sarkar,Jatiya Party (JaPa),1497
Gazipur 5,Md. Al Amin Dewan,Bangladesh Islami Front (BIF),837
Gazipur 5,Md. Kajol Bhuiyan,Gono Forum (GF),223
Narsingdi 1,Khairul Kabir Khokon,Bangladesh Nationalist Party (BNP),161405
Narsingdi 1,Md. Ibrahim Bhuiyan,Bangladesh Jamaat-e-Islami (Jamaat),92930
Narsingdi 1,Md. Ashraf Hossain Bhuiyan,Islami Andolan Bangladesh (IAB),13547
Narsingdi 1,Mohammad Mostafa Jamal,Jatiya Party (JaPa),1012
Narsingdi 1,Sakhawat Hossain,Bangladesh Islami Front (BIF),955
Narsingdi 1,Shirin Akter,Gono Odhikar Parishad (GOP),485
Narsingdi 1,Hamidul Haque Parvez,Insaniyat Biplob Bangladesh (IBB),207
Narsingdi 1,Shahiduzzaman Chowdhury,Gono Forum (GF),179
Narsingdi 2,Dr. Abdul Moin Khan,Bangladesh Nationalist Party (BNP),92739
Narsingdi 2,Md. Amzad Hossain,Bangladesh Jamaat-e-Islami (Jamaat),55920
Narsingdi 2,Md. Golam Sarwar,National Citizen Party (NCP),19540
Narsingdi 2,ANM Rafiqul Alam Selim,Jatiya Party (JaPa),1285
Narsingdi 2,Asif Iqbal,Bangladesh Islami Front (BIF),708
Narsingdi 2,Mohammad Ibrahim,Insaniyat Biplob Bangladesh (IBB),235
Narsingdi 3,Monjur Elahi,Bangladesh Nationalist Party (BNP),82061
Narsingdi 3,Md. Arif-ul-Islam Mridha,Independent Candidate (Independent),45682
Narsingdi 3,Md. Rakibul Islam (Rakib),Khelafat Majlis,25493
Narsingdi 3,Md. Waez Hossain Bhuiyan,Islami Andolan Bangladesh (IAB),6843
Narsingdi 3,Md. Mostafizur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),5066
Narsingdi 3,Abu Sadat Mohammad Sayem Ali Pathan,Zaker Party (ZP),1784
Narsingdi 3,Raihan Mia,Insaniyat Biplob Bangladesh (IBB),622
Narsingdi 3,AKM Rezaul Karim,Jatiya Party (JaPa),266
Narsingdi 4,Sardar Md. Sakhawat Hossain,Bangladesh Nationalist Party (BNP),163392
Narsingdi 4,Md. Jahangir Alam,Bangladesh Jamaat-e-Islami (Jamaat),78744
Narsingdi 4,Md. Saifullah,Islami Andolan Bangladesh (IAB),7079
Narsingdi 4,Mohammad Milon Mia,Insaniyat Biplob Bangladesh (IBB),1728
Narsingdi 4,Md. Kamal Uddin,Jatiya Party (JaPa),1172
Narsingdi 4,Kazi Sazzad Zahir,Communist Party of Bangladesh (CPB),839
Narsingdi 4,Mohammad Nasir Uddin,Khelafat Majlis,464
Narsingdi 4,Abu Darda Md. Maaz,Janotar Dol,454
Narsingdi 4,Kazi Shariful Islam,Bangladesh Congress,163
Narsingdi 5,Md. Ashraf Uddin,Bangladesh Nationalist Party (BNP),137690
Narsingdi 5,Tajul Islam,Khelafat Majlis,44981
Narsingdi 5,Badruzzaman Uzzal,Islami Andolan Bangladesh (IAB),33109
Narsingdi 5,Mohammad Panir Hossain,Independent Candidate (Independent),20580
Narsingdi 5,Jamal Ahmed Chowdhury,Independent Candidate (Independent),5419
Narsingdi 5,Mashiur Rahman,Bangladesh Islami Front (BIF),2424
Narsingdi 5,Taufiqur Rahman,Independent Candidate (Independent),1256
Narsingdi 5,Tahmina Akter,Insaniyat Biplob Bangladesh (IBB),1076
Narsingdi 5,Meherun Nessa Khan Hena,Jatiya Party (JaPa),500
Narsingdi 5,Md. Solaiman Khandaker,Independent Candidate (Independent),300
Narayanganj 1,Mustafizur Rahman Bhuiyan,Bangladesh Nationalist Party (BNP),156358
Narayanganj 1,Md. Anwar Hossain Molla,Bangladesh Jamaat-e-Islami (Jamaat),91690
Narayanganj 1,Md. Imdadullah,Islami Andolan Bangladesh (IAB),7186
Narayanganj 1,Mohammad Dulal,Independent Candidate (Independent),463
Narayanganj 1,Md. Moniruzzaman Chandan,Communist Party of Bangladesh (CPB),261
Narayanganj 1,Wasim Uddin,Gono Odhikar Parishad (GOP),219
Narayanganj 1,Md. Rehan Afzal,Insaniyat Biplob Bangladesh (IBB),207
Narayanganj 2,Md. Nazrul Islam Azad,Bangladesh Nationalist Party (BNP),124291
Narayanganj 2,Md. Elias Molla,Bangladesh Jamaat-e-Islami (Jamaat),81054
Narayanganj 2,Md. Ataur Rahman Khan,Independent Candidate (Independent),18744
Narayanganj 2,Maulana Md. Habibullah,Islami Andolan Bangladesh (IAB),5265
Narayanganj 2,Md. Hafizul Islam,Communist Party of Bangladesh (CPB),350
Narayanganj 2,Md. Abu Hanif Hridoy,Bangladesh Republican Party (BRP),227
Narayanganj 2,Kamrul Mia,Gono Odhikar Parishad (GOP),142
Narayanganj 3,Azharul Islam Mannan,Bangladesh Nationalist Party (BNP),155400
Narayanganj 3,Md. Iqbal Hossain Bhuiyan,Bangladesh Jamaat-e-Islami (Jamaat),134918
Narayanganj 3,Mohammad Gias Uddin,Independent Candidate (Independent),20379
Narayanganj 3,Golam Masih,Islami Andolan Bangladesh (IAB),14223
Narayanganj 3,Prof. Md. Rezaul Karim,Independent Candidate (Independent),4596
Narayanganj 3,Md. Shahjahan,Khelafat Majlis,1193
Narayanganj 3,Md. Atikur Rahman Nannu Munshi,Bangladesh Khelafat Andolon (BKA),1193
Narayanganj 3,Anjan Das,Ganosanhati Andolan (GSA),638
Narayanganj 3,Md. Wahidur Rahman Milki,Gono Odhikar Parishad (GOP),314
Narayanganj 3,Abdul Karim Munshi,Janotar Dol,285
Narayanganj 3,Ariful Islam,Amar Bangladesh Party (AB),137
Narayanganj 4,Abdullah Al Amin,National Citizen Party (NCP),106171
Narayanganj 4,Monir Hossain,Jamiat Ulema-e-Islam Bangladesh (JUIB),80619
Narayanganj 4,Md. Shah Alam,Independent Candidate (Independent),39589
Narayanganj 4,Md. Ismail Hossain Kawsar,Islami Andolan Bangladesh (IAB),16746
Narayanganj 4,Mohammad Ali,Bangladesh Republican Party (BRP),11328
Narayanganj 4,Mohammad Gias Uddin,Independent Candidate (Independent),8771
Narayanganj 4,Md. Salauddin Khoka,Jatiya Party (JaPa),817
Narayanganj 4,Anwar Hossain,Khelafat Majlis,800
Narayanganj 4,Md. Selim Ahmed,Bangladesh Supreme Party (BSP),643
Narayanganj 4,Iqbal Hossain,Communist Party of Bangladesh (CPB),479
Narayanganj 4,Md. Sulaiman Dewan,Jatiya Samajtantrik Dal (JSD),370
Narayanganj 4,Selim Mahmud,Bangladesh Samajtantrik Dal (Basad),282
Narayanganj 4,Md. Arif Bhuiyan,Gono Odhikar Parishad (GOP),106
Narayanganj 5,Abul Kalam,Bangladesh Nationalist Party (BNP),114799
Narayanganj 5,A. B. M. Sirajul Mamun,Khelafat Majlis,101196
Narayanganj 5,Md. Maksud Hossain,Independent Candidate (Independent),34151
Narayanganj 5,Mawlana Md. Masum Billah,Islami Andolan Bangladesh (IAB),7708
Narayanganj 5,Syed Bahadur Shah Mujaddedi,Bangladesh Islami Front (BIF),4650
Narayanganj 5,Montu Chandra Ghosh,Communist Party of Bangladesh (CPB),1575
Narayanganj 5,Tarikul Islam,Ganosanhati Andolan (GSA),1023
Narayanganj 5,Md. Nahid Hossain,Gono Odhikar Parishad (GOP),643
Narayanganj 5,Abu Naim Khan Biplob,Bangladesh Samajtantrik Dal (Basad),370
Narayanganj 5,H. M. Amzad Hossain Molla,Bangladesh Sangskritik Muktijote (BSM),242
Rajbari 1,Ali Newaz Mahmud Khaiyam,Bangladesh Nationalist Party (BNP),154541
Rajbari 1,Md. Nurul Islam,Bangladesh Jamaat-e-Islami (Jamaat),101092
Rajbari 1,Mohammad Ali Biswas,Zaker Party (ZP),8087
Rajbari 1,Khondaker Habibur Rahman,Jatiya Party (JaPa),2586
Rajbari 2,Md. Harun-or-Rashid,Bangladesh Nationalist Party (BNP),237254
Rajbari 2,Jamil Hijazi,National Citizen Party (NCP),67299
Rajbari 2,Md. Nasirul Haque Sabu,Independent Candidate (Independent),36338
Rajbari 2,Mohammad Abdul Malek,Islami Andolan Bangladesh (IAB),8503
Rajbari 2,Md. Shafiul Azam Khan,Jatiya Party (JaPa),2052
Rajbari 2,Sohel Molla,Independent Candidate (Independent),1219
Rajbari 2,Zahid Sheikh,Gono Odhikar Parishad (GOP),633
Rajbari 2,Kazi Minhajul Alam,Khelafat Majlis,321
Rajbari 2,Md. Abdul Malek Mondol,Bangladesh Sangskritik Muktijote (BSM),266
Faridpur 1,Md. Ilias Mollah,Bangladesh Jamaat-e-Islami (Jamaat),154145
Faridpur 1,Khandaker Nasirul Islam,Bangladesh Nationalist Party (BNP),126476
Faridpur 1,Md. Abul Basar Khan,Independent Candidate (Independent),34387
Faridpur 1,Md. Golam Kabir Mia,Independent Candidate (Independent),2059
Faridpur 1,Mrinmoy Kanti Das,Bangladesh Minority Janata Party (BMJP),786
Faridpur 1,Sultan Ahmed Khan,Jatiya Party (JaPa),506
Faridpur 1,Md. Hasibur Rahman,Independent Candidate (Independent),455
Faridpur 1,Sheikh Abdur Rahman Ziko,Independent Candidate (Independent),84
Faridpur 1,Mohammad Arifur Rahman,Independent Candidate (Independent),0
Faridpur 2,Shama Obayed Islam,Bangladesh Nationalist Party (BNP),121694
Faridpur 2,Md. Akram Ali,Khelafat Majlis,89305
Faridpur 2,Shah Md. Jamal Uddin,Islami Andolan Bangladesh (IAB),2368
Faridpur 2,Faruk Fakir,Gono Odhikar Parishad (GOP),675
Faridpur 2,Md. Nazmul Hasan,Bangladesh Congress,257
