seat_name,division,district,area,total_voters,male_voters,female_voters,total_centers,total_candidates,total_votes_cast,referendum_yes,referendum_no,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,independent_total,Bangladesh Nationalist Party (BNP),Bangladesh Jamaat-e-Islami (Jamaat),National Citizen Party (NCP),Khelafat Majlis,Islami Andolan Bangladesh (IAB),Jatiya Party (JaPa),Bangladesh Islami Front (BIF),Gono Odhikar Parishad (GOP),Jamiat Ulema-e-Islam Bangladesh (JUIB),Bangladesh Liberal Democratic Party (LDP),Amar Bangladesh Party (AB),Bangladesh Development Party (BDP),Bangladesh Jatiya Party (BJP),Ganosanhati Andolan (GSA),Communist Party of Bangladesh (CPB),Jatiya Samajtantrik Dal (JSD),Bangladesh Samajtantrik Dal (Basad),Unique - Govinda Chandra Pramanik,Revolutionary Workers Party of Bangladesh (RWPB),Bangladesh Supreme Party (BSP),Bangladesh Nezame Islam Party (BNIP),Jatiya Party (Manju) (JP–Manju),Insaniyat Biplob Bangladesh (IBB),Janotar Dol,Bangladesh Republican Party (BRP),Zaker Party (ZP),Socialist Party of Bangladesh (Marxist) (SPB-M),Bangladesh Minority Janata Party (BMJP),Bangladesh Muslim League (BML),Bangladesh Congress,Nagorik Oikya (NO),Bangladesh Khelafat Andolon (BKA),Amjanatar Dol,National People's Party (NPP),Bangladesh Labour Party,Bangladesh National Awami Party–Bangladesh NAP (BNAP),Gono Forum (GF),Bangladesh Sangskritik Muktijote (BSM),Islami Oikya Jote (IOJ),Jatiya Ganatantrik Party (JAGPA),Nationalist Democratic Movement (NDM),Bangladesh Nationalist Front (BNF),Bangladesh Kallyan Party (BKP),Gono Front (GF),Ganatantri Party (GP),Bangladesh Somo Odhikar Party (BEP)
Habiganj 1,Sylhet,Habiganj,"Bahubal, Nabiganj",466921,236576,230340,177,5,168131,116400,68409,Reza Kibria,Bangladesh Nationalist Party (BNP),111999,Maulana Sirajul Islam,Khelafat Majlis,56132,34637,111999,,,56132,,,5272,,,,,,,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habiganj 2,Sylhet,Habiganj,"Baniachong,  Ajmiriganj",394756,200162,194590,150,5,192345,0,0,Abu Mansoor Sakhawat Hasan,Bangladesh Nationalist Party (BNP),126583,Abdul Bachit Azad,Khelafat Majlis,65762,1843,126583,,,65762,,941,,,,,,,,,,,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habiganj 3,Sylhet,Habiganj,"Lakhai, Habiganj Sadar, Shayestaganj",419573,213298,206262,131,6,208883,111578,71938,Alhaj Md. G. K. Gouch,Bangladesh Nationalist Party (BNP),142348,Kazi Mohsin Ahmed,Bangladesh Jamaat-e-Islami (Jamaat),45568,,142348,45568,,,5443,1259,14133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,
Habiganj 4,Sylhet,Habiganj,"Chunarughat, Madhabpur",552711,278660,274049,177,9,301965,143372,123026,S. M. Faisal,Bangladesh Nationalist Party (BNP),188072,Md Ghiyas Uddin,Bangladesh Islami Front (BIF),84323,1271,188072,,,26466,,,84323,,,,,,,,,,329,,,,,,484,,,,,,536,,,,,,,,,484,,,,,,,,
Jamalpur 1,Mymensingh,Jamalpur,"Bakshiganj, Dewanganj",431707,216207,215498,127,5,271476,192896,45472,M. Rashiduzzaman Millat,Bangladesh Nationalist Party (BNP),173656,Muhammad Nazmul Haque Saeedee,Bangladesh Jamaat-e-Islami (Jamaat),93661,,173656,93661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamalpur 2,Mymensingh,Jamalpur,Islampur,282103,144469,137633,92,4,158294,103120,34804,"A. , E. , Sultan Mahmud Babu",Bangladesh Nationalist Party (BNP),95860,Md. Chamiul Haque,Bangladesh Jamaat-e-Islami (Jamaat),62434,174,95860,62434,,,1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamalpur 3,Mymensingh,Jamalpur,"Melandah, Motherganj",539504,274257,265241,153,9,288842,227445,53897,Md. Mostafizur Rahman Babul,Bangladesh Nationalist Party (BNP),207412,Md. Mujibur Rahman Azadi,Bangladesh Jamaat-e-Islami (Jamaat),81430,22859,207412,81430,,,2546,844,,412,,,,,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamalpur 4,Mymensingh,Jamalpur,Sarishabari,304992,151527,153464,89,6,147406,122778,47588,Md. Faridul Kabir Talukder,Bangladesh Nationalist Party (BNP),147406,Mohammad Abdul Awal,Bangladesh Jamaat-e-Islami (Jamaat),44947,,147406,44947,,,1302,,,383,,,,,,,1314,,,,,,,,,,,,,,,,379,,,,,,,,,,,,,,,
Jamalpur 5,Mymensingh,Jamalpur,Jamalpur Sadar,576810,281747,295053,159,8,312545,0,0,Shah Md. Waresh Ali Mamun,Bangladesh Nationalist Party (BNP),199344,Muhammad Abdus Sattar,Bangladesh Jamaat-e-Islami (Jamaat),113201,,199344,113201,,,4282,,,539,,,,,,,547,580,,,,,,3739,,,,,,,,225,,,,,,,,,,,,,,,,
Jashore 1,Khulna,Jashore,Sharsha,311633,155807,155823,102,4,215801,0,46906,Muhammad Azizur Rahman.,Bangladesh Jamaat-e-Islami (Jamaat),119093,Md. Nuruzzaman Liton,Bangladesh Nationalist Party (BNP),93542,,93542,119093,,,1768,1398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jashore 2,Khulna,Jashore,"Jhikargacha, Chougacha",484866,243374,241490,176,8,334891,214483,96107,Mohammad Mosleh Uddin Farid,Bangladesh Jamaat-e-Islami (Jamaat),180965,Deleted: Sabira Sultana,Bangladesh Nationalist Party (BNP),146447,577,146447,180965,,,5781,,,,,,416,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,
Jashore 3,Khulna,Jashore,Jessore Sadar (Basundia Union),613460,307549,305901,189,6,388802,290758,93430,Anindya Islam Amit,Bangladesh Nationalist Party (BNP),201339,Md. Abdul Quader,Bangladesh Jamaat-e-Islami (Jamaat),187463,,201339,187463,,,13322,3404,,,,,,,,,753,,,,,,,,,,,,,,,,,,,,,,,,,1772,,,,,,
Jashore 4,Khulna,Jashore,"Bagharpara, Jessore Sadar (Basundia Union), Abhaynagar",458531,228433,230094,149,8,308829,209399,101532,Md. Gholam Rashul,Bangladesh Jamaat-e-Islami (Jamaat),176912,Md. Matiar Rahman Farazi,Bangladesh Nationalist Party (BNP),131917,797,131917,176912,,301,11838,1751,,257,,,,,,,,,,,,,,,,,,,,1510,,,,,,,,,,,,,,,,,,
Jashore 5,Khulna,Jashore,Manirampur,374252,188480,185768,128,6,187751,175871,88809,Gazi Enamul Haque,Bangladesh Jamaat-e-Islami (Jamaat),132876,Shaheed Md. Iqbal Hossain,Independent Candidate (Independent),85045,87148,54875,132876,,,4400,2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jashore 6,Khulna,Jashore,Keshavpur,229163,115244,113917,81,5,172375,103489,63105,Md. Mokhtar Ali,Bangladesh Jamaat-e-Islami (Jamaat),92234,Md. Abul Hossain Azad,Bangladesh Nationalist Party (BNP),80141,,80141,92234,,,1285,990,,,,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhalokathi 1,Barishal,Jhalokathi,"Kathalia, Rajapur",228431,116427,112002,90,10,117130,0,0,Rafiqul Islam Jamal,Bangladesh Nationalist Party (BNP),62010,Faizul Haque,Bangladesh Jamaat-e-Islami (Jamaat),55120,938,62010,55120,,,7744,321,,132,,,,,,,,110,,,,,,2562,,63,,,,,,,,,,,,,,,,,,,,,,
Jhalokathi 2,Barishal,Jhalokathi,"Jhalkathi Sadar, Nalchiti",365397,185451,179944,147,8,183975,147287,53920,Israt Sultana Ilein Bhutto,Bangladesh Nationalist Party (BNP),113419,S. M. Neyamul Karim,Bangladesh Jamaat-e-Islami (Jamaat),70556,3202,113419,70556,,,24543,,,212,,,,,,,,105,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,
Jhenaidah 1,Khulna,Jhenaidah,Shailkupa,325278,163001,162277,117,5,230436,95743,119762,Md. Asaduzzaman,Bangladesh Nationalist Party (BNP),173381,Abu Saleh Md. Matiur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),57055,,173381,57055,,,,969,,,,,610,,,,,,,,,,,,,,,,309,,,,,,,,,,,,,,,,,,,
Jhenaidah 2,Khulna,Jhenaidah,"Harina Kundu, Jhenaidah Sadar (Maharajpur Union, Fursandi Union, Ghorshal Union, Naldanga Union)",506640,251666,254963,185,6,371686,240355,108911,Ali Azam Md. Abu Bakar,Bangladesh Jamaat-e-Islami (Jamaat),195702,Md. Abdul Majeed,Bangladesh Nationalist Party (BNP),175984,,175984,195702,,,4571,994,,,,,,,,,557,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhenaidah 3,Khulna,Jhenaidah,"Maheshpur, Kotchandpur",431015,217470,213542,166,4,325678,198885,111917,Md. Motiyar Rahman,Bangladesh Jamaat-e-Islami (Jamaat),175857,Mohammad Mehdi Hasan,Bangladesh Nationalist Party (BNP),149821,,149821,175857,,,3820,,,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhenaidah 4,Khulna,Jhenaidah,"Jhenaidah Sadar (Maharajpur Union, Fursandi Union, Ghorshal Union, Naldanga Union), Kaliganj, Jhenaidah",333464,168255,165204,117,6,183139,157707,65526,Md. Abu Talib,Bangladesh Jamaat-e-Islami (Jamaat),105999,Md. Saiful Islam Feroze,Independent Candidate (Independent),77104,77104,56224,105999,,,3907,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,,,,,,,,,
Joypurhat 1,Rajshahi,Joypurhat,"Panchbibi, Joypurhat Sadar",466274,231984,234282,151,5,320501,0,0,Md. Fazlur Rahman Sayeed,Bangladesh Jamaat-e-Islami (Jamaat),165192,Md. Masud Rana Prodhan,Bangladesh Nationalist Party (BNP),155309,13286,155309,165192,,,,,,,,,,,,,,,578,,,,,,,,,,617,,,,,,,,,,,,,,,,,,,
Joypurhat 2,Rajshahi,Joypurhat,"Kalai, Khetlal, Akkelpur",351572,174177,177393,103,3,252137,0,0,Md. Abdul Bari,Bangladesh Nationalist Party (BNP),158065,S. M. Rashedul Alam,Bangladesh Jamaat-e-Islami (Jamaat),92517,,158065,92517,,,,,,,,,1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khagrachhari 1,Chattogram,Khagrachhari,Khagrachhari Hill District,554119,280206,273909,196,11,219355,144355,155942,Abdul Wadud Bhuiyan,Bangladesh Nationalist Party (BNP),151040,Dharma Jyoti Chakma,Independent Candidate (Independent),68315,117129,151040,58545,,,3089,1024,,755,,,,,,,,,,,,,,,683,,,,,1030,184,,,,,,,,,,,,,,,,,
Khulna 1,Khulna,Khulna,"Dakop, Batiaghata",307103,152285,154814,110,12,191698,101144,96690,Ameer Ejaz Khan,Bangladesh Nationalist Party (BNP),121352,Krishna Nandi,Bangladesh Jamaat-e-Islami (Jamaat),70346,1604,121352,70346,,,5619,630,169,84,,,,,,,4742,513,,,,,,,,,,,,567,,,,,,,,,,,,,,,,,,169
Khulna 2,Khulna,Khulna,Khulna City Corporation (Wards No. 16 to 31),335241,165762,169469,157,3,181986,136150,50021,Sheikh Jahangir Hossain Helal,Bangladesh Jamaat-e-Islami (Jamaat),93789,Nazrul Islam Manju,Bangladesh Nationalist Party (BNP),88197,,88197,93789,,,7298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khulna 3,Khulna,Khulna,"Khulna City Corporation (Wards No. 1 to 15), Dighlia (Aranghata Union, Yogipol Union)",254409,127636,126765,116,10,140855,101703,44558,Rakibul Islam,Bangladesh Nationalist Party (BNP),74845,Mohammad Mahfuzur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),66010,1087,74845,66010,,,5705,1070,,,,,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,
Khulna 4,Khulna,Khulna,"Rupsa, Dighalia (Aranghata Union, Yogipol Union Except), Terkhada",378453,188526,189922,133,4,232692,158550,76349,Azizul Baree Helal,Bangladesh Nationalist Party (BNP),123162,S. M. Sakhaowat Hossain,Khelafat Majlis,109530,859,123162,,,109530,13345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khulna 5,Khulna,Khulna,"Gilatala Cantonment, Phultala, Dumuria",402798,199354,203443,135,4,295100,161938,127381,Mohammad Ali Asghar,Bangladesh Nationalist Party (BNP),148854,Mia Golam Parwar,Bangladesh Jamaat-e-Islami (Jamaat),146246,,148854,146246,,,,1319,,,,,,,,,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khulna 6,Khulna,Khulna,"Paikgacha, Koira",423331,212869,210461,142,5,275434,176887,94550,Md. Abul Kalam Azad,Bangladesh Jamaat-e-Islami (Jamaat),150724,S. M. Monirul Hasan (Bappi),Bangladesh Nationalist Party (BNP),124710,,124710,150724,,,2950,2717,,,,,,,,,1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kishoreganj 1,Dhaka,Kishoreganj,"Hossainpur, Kishoreganj Sadar",555136,280657,274476,174,8,225167,167822,74597,Md. Mazharul Islam,Bangladesh Nationalist Party (BNP),124035,Hedayatullah Hadi,Khelafat Majlis,101132,37334,124035,,,101816,,,,,,,,,,,925,,234,,,,,,,,,,960,,,,,,,247,,,,,,,,,,,,
Kishoreganj 2,Dhaka,Kishoreganj,"Pakundia, Katiadi",532516,268568,263939,170,8,264644,173377,68644,Advocate Md. Jalal Uddin,Bangladesh Nationalist Party (BNP),143669,Mohammed Shafiqul Islam,Bangladesh Jamaat-e-Islami (Jamaat),120975,1676,143669,120975,,,3566,2113,,121370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,
Kishoreganj 3,Dhaka,Kishoreganj,"Karimganj, Tarail",448625,230210,218412,149,7,214942,143571,61393,Dr. Muhammad Osman Farooq,Bangladesh Nationalist Party (BNP),112466,Jehad Khan,Bangladesh Jamaat-e-Islami (Jamaat),102476,1487,112466,102476,,,10777,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,191,
Kishoreganj 4,Dhaka,Kishoreganj,"Itna, Mithamoin, Austagram",408352,211182,197166,147,8,190301,99267,70002,Md. Fazlur Rahman,Bangladesh Nationalist Party (BNP),132472,Md. Rokon Reza Sheikh,Bangladesh Jamaat-e-Islami (Jamaat),57829,5509,132472,57829,,879,2487,,,,,,,,,,,,,,,,,,516,,,,,,,,,,,105,,,,,,,,,,,,
Kishoreganj 5,Dhaka,Kishoreganj,"Nikli, Bajitpur",353566,182452,171108,115,8,146054,134467,48746,Sheikh Mujibur Rahman Iqbal,Independent Candidate (Independent),79604,Sayed Ehsanul Huda,Bangladesh Nationalist Party (BNP),66450,81501,66450,54400,,,2688,295,1313,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,
Kishoreganj 6,Dhaka,Kishoreganj,"Kuliarchar, Bhairab",428804,221114,207687,142,9,231254,157683,60002,Md. Shariful Alam,Bangladesh Nationalist Party (BNP),187159,Ataullah Amin,Khelafat Majlis,44095,,187159,,,44095,2411,806,2172,,,,,,,,312,,,,,,,,630,,,,,,,,,,,185,,,220,,,,,,,,,
Kurigram 1,Rangpur,Kurigram,"Bhurungamari, Nageshwari",563978,281424,282551,229,6,264115,0,0,Md. Anowarul Islam,Bangladesh Jamaat-e-Islami (Jamaat),141090,Saifur Rahman Rana,Bangladesh Nationalist Party (BNP),123025,,123025,141090,,,3377,2689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurigram 2,Rangpur,Kurigram,"Phulbari, Kurigram Sadar, Rajarhat",604738,299890,304841,204,9,349204,0,0,Atiqur Rahman Mujahid,National Citizen Party (NCP),178869,Md. Sohail Hosnain Kaykobad,Bangladesh Nationalist Party (BNP),170335,,170335,,178869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurigram 3,Rangpur,Kurigram,Ulipur,368470,183064,185406,139,6,187282,0,0,Md. Mahbubul Alam,Bangladesh Jamaat-e-Islami (Jamaat),106923,Tasvir Ul Islam,Bangladesh Nationalist Party (BNP),79352,,79352,106923,,,33380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurigram 4,Rangpur,Kurigram,"Chilmari, Raomari, Char Rajibpur",362753,181361,181388,130,7,192633,0,0,Md. Mostafizur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),108210,Md. Azizur Rahman,Bangladesh Nationalist Party (BNP),84423,,84423,108210,,,9449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kushtia 1,Khulna,Kushtia,Daulatpur,404504,203492,201011,129,8,252591,0,0,Reza Ahammed,Bangladesh Nationalist Party (BNP),165909,Muhommad Belal Uddin,Bangladesh Jamaat-e-Islami (Jamaat),86682,17864,165909,86682,,,4063,1094,241,613,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kushtia 2,Khulna,Kushtia,"Bheramara, Mirpur",478001,239126,238872,161,5,335904,0,0,Md. Abdul Ghafoor,Bangladesh Jamaat-e-Islami (Jamaat),192083,Raghib Rauf Chowdhury,Bangladesh Nationalist Party (BNP),143821,,143821,192083,,,3887,,1123,,,,,,,,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kushtia 3,Khulna,Kushtia,Kushtia Sadar,440842,217269,223569,140,6,307599,234879,65289,Md. Amir Hamza,Bangladesh Jamaat-e-Islami (Jamaat),182476,Md. Zakir Hossain Sarkar,Bangladesh Nationalist Party (BNP),127559,,127559,182476,,,5153,,,299,,,,,,,,,442,,,,,,,,475,,,,,,,,,,,,,,,,,,,,,
Kushtia 4,Khulna,Kushtia,"Kumarkhali, Khoksa",424417,213504,210908,148,6,287804,197013,85696,Md. Afzal Hossain,Bangladesh Jamaat-e-Islami (Jamaat),148201,Syed Mehdi Ahmed Roomy,Bangladesh Nationalist Party (BNP),139603,,139603,148201,,,13739,,,,,,,,,,,,,,,,,,,,,,,671,,,,,,,308,,255,,,,,,,,,
Lakshmipur 1,Chattogram,Lakshmipur,Ramganj,281302,144658,136644,85,7,146076,101758,47996,Md. Shahadat Hossain,Bangladesh Nationalist Party (BNP),86811,Md. Mahbub Alam,National Citizen Party (NCP),59265,,86811,,59265,,11156,414,,115,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,
Lakshmipur 2,Chattogram,Lakshmipur,"Raipur, Laxmipur Sadar (North Hamchadi Union, South Hamchadi Union, Dalal Bazar Union, Char Ruhita Union, Parbatinagar Union, Bashikpur Union, Shakchar Union, Char Ramani Mohan Union, Tumchor Union)",493970,254407,239558,146,7,280019,190369,74145,Md. Abul Khair Bhuiyan,Bangladesh Nationalist Party (BNP),146321,S. U. M. Ruhul Amin Bhuiyan,Bangladesh Jamaat-e-Islami (Jamaat),133698,,146321,133698,,,6774,,,424,,,,,,,,,,,,1780,,,,,,,,,,,253,,,,,,,,,,,,288,,,
Lakshmipur 3,Chattogram,Lakshmipur,"Laxmipur Sadar, Lakshmipur Municipality (Bangakhan Union, Dattapara Union, North Jaipur Union, chandrogonj Union, Hazirpara Union, Charshahi Union, Dighli Union, Mandari Union, Laharkandi Union, Bhavaniganj Union, Kusakhali Union,Tewariganj Union)",444472,229709,214758,125,6,258414,177508,68230,Md. Shahid Uddin Chowdhury Annie,Bangladesh Nationalist Party (BNP),135612,Md. Rezaul Karim,Bangladesh Jamaat-e-Islami (Jamaat),122802,,135612,122802,,,5051,1139,,,,488,,,,,,,,,,,,,,,,,,,,,,,,289,,,,,,,,,,,,
Lakshmipur 4,Chattogram,Lakshmipur,"Kamalnagar, Ramgati",418160,218483,199676,120,9,188955,146343,60378,A. B. M. Ashraf Uddin (Nizan),Bangladesh Nationalist Party (BNP),115199,Md. Ashrafur Rahman Hafizullah,Bangladesh Jamaat-e-Islami (Jamaat),73756,1229,115199,73756,,,21103,,,259,,,,,,,,22040,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalmonirhat 1,Rangpur,Lalmonirhat,"Patgram, Hatibandha",403561,202707,200852,132,9,268258,0,0,Md. Hasan Razib Prodhan,Bangladesh Nationalist Party (BNP),138686,Md. Anwarul Islam Raju,Bangladesh Jamaat-e-Islami (Jamaat),129572,8954,138686,129572,,,2242,5158,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,
Lalmonirhat 2,Rangpur,Lalmonirhat,"Kaliganj, Aditmari",432964,217200,215761,144,7,241198,0,0,Md. Rokon Uddin Babul,Bangladesh Nationalist Party (BNP),123946,Md. Firoz Haidar,Bangladesh Jamaat-e-Islami (Jamaat),117252,,123946,117252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalmonirhat 3,Rangpur,Lalmonirhat,Lalmonirhat Sadar,307970,154167,153801,89,6,195895,0,0,Asadul Habib Dulu,Bangladesh Nationalist Party (BNP),139651,Md. Abu Taher,Bangladesh Jamaat-e-Islami (Jamaat),56244,,139651,56244,,,3283,2150,,,,,,,,427,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madaripur 1,Dhaka,Madaripur,Shibchar,324289,169041,155246,102,10,129433,100797,65418,Sayed Uddin Ahmad Hanzala,Khelafat Majlis,64909,Nadira Akhter,Bangladesh Nationalist Party (BNP),64524,39870,64524,,,64909,6205,180,,3026,,,,,,,208,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,
Madaripur 2,Dhaka,Madaripur,"Rajoir, Madaripur Sadar",436233,223624,212601,143,10,108220,88317,87911,Md. Jahandar Ali Mia,Bangladesh Nationalist Party (BNP),61744,Milton Baidya,Independent Candidate (Independent),46476,69837,61744,,,36169,16865,646,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,301,,,
Madaripur 3,Dhaka,Madaripur,"Madaripur Sadar (Khoajpur, Jhaudi, Ghatmajhi, Mostafapur, Kendua), Kalkini",387806,202645,185159,134,5,180834,110859,70058,Anishur Rahman,Bangladesh Nationalist Party (BNP),96188,Md. Rafiqul Islam,Bangladesh Jamaat-e-Islami (Jamaat),84646,,96188,84646,,,13058,,,,,,,,,,,,363,,,2507,,,,,,,,,,,,,,,,,,,,,,,,,,
Magura 1,Khulna,Magura,"Sripur, Magura Sadar (Shatrujitpur Union, Berail Polita Union, Kuchiamora Union, Gopalgram Union except)",430775,215268,215504,152,7,292560,154613,114695,Md. Monowar Hossain,Bangladesh Nationalist Party (BNP),185338,Abdul Mateen,Bangladesh Jamaat-e-Islami (Jamaat),89691,,185338,89691,,,13414,1767,,292,,,,,,,,,1237,,,,,,,,,,,,,821,,,,,,,,,,,,,,,,
Magura 2,Khulna,Magura,"Shalikha, Mohammadpur, Magura Sadar (Shatrujitpur Union, Berail Polita Union, Kuchiamora Union, Gopalgram Union)",416634,211546,205085,143,4,284084,157532,103980,Nitai Roy Chowdhury,Bangladesh Nationalist Party (BNP),147896,Md. Mushtarshed Billah,Bangladesh Jamaat-e-Islami (Jamaat),117018,,147896,117018,,,16223,2947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manikganj 1,Dhaka,Manikganj,"Daulatpur, Ghior, Shivalaya",461942,231857,230081,180,7,291497,199252,74366,S. A. Jinnah Kabir,Bangladesh Nationalist Party (BNP),137773,Md. Tozammel Hoque,Independent Candidate (Independent),77818,84784,137773,71310,,,3247,,,1066,,,,,,,,,,,,,,,,283,,,,,,,,,,,,,,,,,,,,,,
Manikganj 2,Dhaka,Manikganj,"Harirampur, Manikganj Sadar, ( Putail, Bhararia, Hatipara )  Singair",472622,237205,235413,193,4,268235,188465,55980,Moinul Islam Khan,Bangladesh Nationalist Party (BNP),175776,Md. Salah Uddin,Khelafat Majlis,81531,,175776,,,81531,3847,7081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manikganj 3,Dhaka,Manikganj,"Manikganj Sadar,  Saturia",400059,199398,200660,143,9,231587,191908,52595,Afroza Khanam,Bangladesh Nationalist Party (BNP),167345,Muhammad Saeed Noor,Khelafat Majlis,64242,24845,167345,,,64242,2787,1966,,,,,,,,,,3510,,,,,,1337,,,,,,,,,,,,,,,,,,,,,,,,
Meherpur 1,Khulna,Meherpur,"Mujibnagar, Meherpur Sadar",316975,157890,159082,117,4,228712,0,0,Md. Tajuddin Khan,Bangladesh Jamaat-e-Islami (Jamaat),123271,Masood Arun,Bangladesh Nationalist Party (BNP),105441,,105441,123271,,,,1429,,,,,,,,,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meherpur 2,Khulna,Meherpur,Gangni,270705,135087,135615,190,3,182294,126547,31159,Md. Nazmul Huda,Bangladesh Jamaat-e-Islami (Jamaat),96306,Md. Amzad Hossain,Bangladesh Nationalist Party (BNP),85988,,85988,96306,,,,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moulvibazar 1,Sylhet,Moulvibazar,"Barlekha, Juri",337816,172998,164816,112,6,181295,0,0,Nasir Uddin Ahmed,Bangladesh Nationalist Party (BNP),98282,Md. Shariful Islam,Bangladesh Jamaat-e-Islami (Jamaat),83013,,98282,166026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moulvibazar 2,Sylhet,Moulvibazar,Kulaura,303020,157128,145892,103,8,141839,0,0,Md. Shawkatul Islam,Bangladesh Nationalist Party (BNP),88381,Md. Sayeed Ali,Bangladesh Jamaat-e-Islami (Jamaat),53458,,88381,53458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moulvibazar 3,Sylhet,Moulvibazar,"Rajnagar, Moulvibazar Sadar",486212,248109,238099,174,4,234393,0,0,Nasser Rahman,Bangladesh Nationalist Party (BNP),156757,Md. Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),77636,,156757,77636,,1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moulvibazar 4,Sylhet,Moulvibazar,"Kamolganj, Sreemangal",487892,246202,241688,160,6,218797,0,0,Md. Mujibur Rahman Chowdhury,Bangladesh Nationalist Party (BNP),169608,Sheikh Noor E Alam Hamidi,Khelafat Majlis,49189,33911,169608,,71,49189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munshiganj 1,Dhaka,Munshiganj,"Srinagar, Sirajdikhan",545519,280716,264802,170,6,269130,210728,77561,Md. Abdullah,Bangladesh Nationalist Party (BNP),167562,A. K. M. Fakhruddin Razi,Bangladesh Jamaat-e-Islami (Jamaat),101568,30678,167562,101568,,,9039,,,,,,,,,,443,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,
Munshiganj 2,Dhaka,Munshiganj,"Louhajang, Tongibari",378492,194720,183772,130,5,179727,132557,51842,Abdus Salam Azad,Bangladesh Nationalist Party (BNP),121154,Majedul Islam,National Citizen Party (NCP),58573,,121154,,58573,,13387,2857,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munshiganj 3,Dhaka,Munshiganj,"Munshiganj Sadar, Gazaria",509467,263075,246390,169,8,213627,197792,57164,Md. Kamruzzaman,Bangladesh Nationalist Party (BNP),124691,Md. Mohiuddin,Independent Candidate (Independent),88936,88936,124691,,,54456,6392,804,,,,,,,,,304,,,,174,,,,,,,,,,,,,,,,155,,,,,,,,,,,
