seat_name,division,district,area,total_voters,male_voters,female_voters,total_centers,total_candidates,total_votes_cast,referendum_yes,referendum_no,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,independent_total,Bangladesh Nationalist Party (BNP),Bangladesh Jamaat-e-Islami (Jamaat),National Citizen Party (NCP),Khelafat Majlis,Islami Andolan Bangladesh (IAB),Jatiya Party (JaPa),Bangladesh Islami Front (BIF),Gono Odhikar Parishad (GOP),Jamiat Ulema-e-Islam Bangladesh (JUIB),Bangladesh Liberal Democratic Party (LDP),Amar Bangladesh Party (AB),Bangladesh Development Party (BDP),Bangladesh Jatiya Party (BJP),Ganosanhati Andolan (GSA),Communist Party of Bangladesh (CPB),Jatiya Samajtantrik Dal (JSD),Bangladesh Samajtantrik Dal (Basad),Unique - Govinda Chandra Pramanik,Revolutionary Workers Party of Bangladesh (RWPB),Bangladesh Supreme Party (BSP),Bangladesh Nezame Islam Party (BNIP),Jatiya Party (Manju) (JP–Manju),Insaniyat Biplob Bangladesh (IBB),Janotar Dol,Bangladesh Republican Party (BRP),Zaker Party (ZP),Socialist Party of Bangladesh (Marxist) (SPB-M),Bangladesh Minority Janata Party (BMJP),Bangladesh Muslim League (BML),Bangladesh Congress,Nagorik Oikya (NO),Bangladesh Khelafat Andolon (BKA),Amjanatar Dol,National People's Party (NPP),Bangladesh Labour Party,Bangladesh National Awami Party–Bangladesh NAP (BNAP),Gono Forum (GF),Bangladesh Sangskritik Muktijote (BSM),Islami Oikya Jote (IOJ),Jatiya Ganatantrik Party (JAGPA),Nationalist Democratic Movement (NDM),Bangladesh Nationalist Front (BNF),Bangladesh Kallyan Party (BKP),Gono Front (GF),Ganatantri Party (GP),Bangladesh Somo Odhikar Party (BEP)
Bogura 6,Rajshahi,Bogura,Bogra Sadar,454043,222796,231237,144,5,,0,0,Tarique Rahman,Bangladesh Nationalist Party (BNP),216284,Md. Abidur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),97626,,216284,97626,,,2508,,,,,,,,,,,276,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogura 7,Rajshahi,Bogura,"Gabtali, Shajahanpur",538092,270070,268017,172,4,158196,0,0,Morshed Milton,Bangladesh Nationalist Party (BNP),264212,Md. Golam Rabbani,Bangladesh Jamaat-e-Islami (Jamaat),116665,,264212,116665,,,2061,,,,,,,,,,,,,,,,,,,,,,,,536,,,,,,,,,,,,,,,,,
Brahmanbaria 1,Chattogram,Brahmanbaria,Nasirnagar,275629,146269,129357,79,8,146825,72228,49342,M. A. Hannan,Bangladesh Nationalist Party (BNP),68092,A. K. M. Kamruzzaman,Independent Candidate (Independent),35220,52992,68092,24430,,,907,265,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,
Brahmanbaria 2,Chattogram,Brahmanbaria,"Sarail, Ashuganj",499448,265245,234201,132,9,198981,145462,66541,Rumin Farhana,Independent Candidate (Independent),118547,Mohammad Junayed Al Habib,Jamiat Ulema-e-Islam Bangladesh (JUIB),80434,131107,,,20401,,3851,199,,,80434,,,,,,,384,,,,,,,1419,,,,,,,,,,181,,,,,,,,,,,,,
Brahmanbaria 3,Chattogram,Brahmanbaria,"Brahmanbaria Sadar, Bijoynagar",624601,328182,296419,192,7,272183,181221,86368,Md. Khaled Hossain Mahbub,Bangladesh Nationalist Party (BNP),209636,Ataullah,National Citizen Party (NCP),62547,278,209636,,62547,,6321,3891,1344,,,,,,,,,,,,,,,,3345,,,,,,,,,,,,,,,,,,,,,,,
Brahmanbaria 4,Chattogram,Brahmanbaria,"Akhaura, Kasba",443909,230647,213256,118,7,231638,150036,71226,Mushfiqur Rahman,Bangladesh Nationalist Party (BNP),139842,Md. Ataur Rahman Sarkar,Bangladesh Jamaat-e-Islami (Jamaat),91796,,139842,91796,,,2277,2453,,117,,,,,,,,,,,,,,,773,,,,,,,,,,,109,,,,,,,,,,,,
Brahmanbaria 5,Chattogram,Brahmanbaria,Nabinagar,474826,248737,226085,149,8,170477,166631,57649,Md. Abdul Mannan,Bangladesh Nationalist Party (BNP),85769,Kazi Nazmul Hossain,Independent Candidate (Independent),84708,84708,85769,,,60857,20696,372,,,,,,,,266,359,,,,,,,,257,,,,,,,,,,,,,,,,,,,,,,,
Brahmanbaria 6,Chattogram,Brahmanbaria,Bancharampur,289674,147260,142413,91,10,137671,109603,24065,Md. Jonayed Abdur Rahim Shaki,Ganosanhati Andolan (GSA),95342,Md. Mohsin,Bangladesh Jamaat-e-Islami (Jamaat),39976,2592,,39976,,,8572,,2353,289,,,,,,95342,,167,,,,,,,139,,,,,,,,,,,106,,,,,,,,,,,,
Chandpur 1,Chattogram,Chandpur,"Kachua, Chandpur",356485,184802,171680,109,6,203400,111453,80949,A. N. M. Ehsanul Hoque Milon,Bangladesh Nationalist Party (BNP),133032,Abu Nashar Mohammad Maqbool Ahmad,Bangladesh Jamaat-e-Islami (Jamaat),70368,,133032,70368,,,,652,4371,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,,,,,,,,,
Chandpur 2,Chattogram,Chandpur,"Matlab North,Matlab South",501061,256500,244559,155,8,229979,166743,62874,Md. Jalal Uddin,Bangladesh Nationalist Party (BNP),172506,Md. Billal Hossain,Bangladesh Liberal Democratic Party (LDP),57473,,172506,,,,12307,1328,,315,,57473,,,,,,,,,,,,,,,509,,,,,,143,,,,283,,,,,,,,,,,
